Binomial,Genus,Subgenus,Section,Series,Subseries,Species,Subspecies,Regeneration Strategy,RowTree,FieldID,binomial
Eucalyptus gomphocephala,Eucalyptus,Symphyomyrtus,Bolites,,,gomphocephala,,Stem,R047/T35,CCA0699,eucalyptus gomphocephala
Eucalyptus gomphocephala,Eucalyptus,Symphyomyrtus,Bolites,,,gomphocephala,,Stem,R047/T36,CCA0700,eucalyptus gomphocephala
Eucalyptus gomphocephala,Eucalyptus,Symphyomyrtus,Bolites,,,gomphocephala,,Stem,R069/T12,CCA1202,eucalyptus gomphocephala
Eucalyptus gomphocephala,Eucalyptus,Symphyomyrtus,Bolites,,,gomphocephala,,Stem,R069/T13,CCA1203,eucalyptus gomphocephala
Eucalyptus vesiculosa,Eucalyptus,Symphyomyrtus,'Glandulosae' ms,Clinatae,,vesiculosa,,Seeder,R234/T09,CCA4637,eucalyptus vesiculosa
Eucalyptus vesiculosa,Eucalyptus,Symphyomyrtus,'Glandulosae' ms,Clinatae,,vesiculosa,,Seeder,R234/T10,CCA4638,eucalyptus vesiculosa
Eucalyptus vesiculosa,Eucalyptus,Symphyomyrtus,'Glandulosae' ms,Clinatae,,vesiculosa,,Seeder,R234/T12,CCA4639,eucalyptus vesiculosa
Eucalyptus astringens subsp. astringens,Eucalyptus,Symphyomyrtus,'Glandulosae' ms,Erectae,Pedicellatae,astringens,astringens,Seeder,R227/T02,CCA4441,eucalyptus astringens subsp. astringens
Eucalyptus astringens subsp. astringens,Eucalyptus,Symphyomyrtus,'Glandulosae' ms,Erectae,Pedicellatae,astringens,astringens,Seeder,R227/T03,CCA4442,eucalyptus astringens subsp. astringens
Eucalyptus astringens subsp. astringens,Eucalyptus,Symphyomyrtus,'Glandulosae' ms,Erectae,Pedicellatae,astringens,astringens,Seeder,R227/T04,CCA4443,eucalyptus astringens subsp. astringens
Eucalyptus astringens subsp. astringens,Eucalyptus,Symphyomyrtus,'Glandulosae' ms,Erectae,Pedicellatae,astringens,astringens,Seeder,R230/T17,CCA4539,eucalyptus astringens subsp. astringens
Eucalyptus astringens subsp. astringens,Eucalyptus,Symphyomyrtus,'Glandulosae' ms,Erectae,Pedicellatae,astringens,astringens,Seeder,R230/T18,CCA4540,eucalyptus astringens subsp. astringens
Eucalyptus astringens subsp. astringens,Eucalyptus,Symphyomyrtus,'Glandulosae' ms,Erectae,Pedicellatae,astringens,astringens,Seeder,R230/T19,CCA4541,eucalyptus astringens subsp. astringens
Eucalyptus astringens subsp. redacta,Eucalyptus,Symphyomyrtus,'Glandulosae' ms,Erectae,Pedicellatae,astringens,redacta,Seeder,R085/T17,CCA1454,eucalyptus astringens subsp. redacta
Eucalyptus astringens subsp. redacta,Eucalyptus,Symphyomyrtus,'Glandulosae' ms,Erectae,Pedicellatae,astringens,redacta,Seeder,R085/T18,CCA1455,eucalyptus astringens subsp. redacta
