currentname,RowTree,FieldID,DNNumber
eucalyptus leptopoda subsp. elevata,R009/T03,CCA0001,8
eucalyptus leptopoda subsp. elevata,R009/T04,CCA0002,8
eucalyptus mannensis subsp. mannensis,R009/T05,CCA0003,NA
eucalyptus gamophylla,R009/T09,CCA0004,NA
eucalyptus victrix,R009/T14,CCA0005,NA
eucalyptus populnea subsp. bimbil,R009/T15,CCA0006,NA
eucalyptus populnea subsp. bimbil,R009/T16,CCA0007,NA
eucalyptus populnea subsp. bimbil,R009/T17,CCA0008,NA
eucalyptus populnea subsp. bimbil,R009/T18,CCA0009,NA
eucalyptus yilgarnensis,R009/T19,CCA0010,NA
eucalyptus yilgarnensis,R009/T21,CCA0011,NA
eucalyptus yilgarnensis,R009/T22,CCA0012,NA
eucalyptus glomerosa,R009/T25,CCA0013,NA
eucalyptus alatissima,R009/T26,CCA0014,7
eucalyptus oxymitra,R009/T28,CCA0015,NA
eucalyptus socialis subsp. victoriensis,R009/T31,CCA0016,113
eucalyptus socialis subsp. victoriensis,R009/T32,CCA0017,113
eucalyptus socialis subsp. victoriensis,R009/T33,CCA0018,113
eucalyptus socialis subsp. victoriensis,R009/T34,CCA0019,113
eucalyptus pimpiniana,R009/T35,CCA0020,110
eucalyptus pimpiniana,R009/T37,CCA0021,110
eucalyptus suggrandis subsp. promiscua,R010/T01,CCA0022,311
eucalyptus suggrandis subsp. promiscua,R010/T02,CCA0023,311
eucalyptus suggrandis subsp. promiscua,R010/T04,CCA0024,311
eucalyptus ebbanoensis subsp. photina,R010/T06,CCA0025,270
eucalyptus ebbanoensis subsp. photina,R010/T07,CCA0026,270
eucalyptus ebbanoensis subsp. photina,R010/T08,CCA0027,270
eucalyptus leptopoda subsp. arctata,R010/T11,CCA0028,291
eucalyptus leptopoda subsp. arctata,R010/T12,CCA0029,291
eucalyptus steedmanii,R010/T13,CCA0030,317
eucalyptus steedmanii,R010/T14,CCA0031,317
eucalyptus steedmanii,R010/T15,CCA0032,317
eucalyptus myriadena,R010/T17,CCA0033,316
eucalyptus myriadena,R010/T18,CCA0034,316
eucalyptus myriadena,R010/T19,CCA0035,316
eucalyptus myriadena,R010/T20,CCA0036,316
eucalyptus ebbanoensis subsp. ebbanoensis,R010/T24,CCA0037,293
eucalyptus ebbanoensis subsp. ebbanoensis,R010/T25,CCA0038,293
eucalyptus ebbanoensis subsp. ebbanoensis,R010/T26,CCA0039,293
eucalyptus oraria,R010/T27,CCA0040,269
eucalyptus oraria,R010/T28,CCA0041,269
eucalyptus oraria,R010/T29,CCA0042,269
eucalyptus oraria,R010/T30,CCA0043,269
eucalyptus obtusiflora subsp. dongarraensis,R010/T31,CCA0044,266
eucalyptus obtusiflora subsp. dongarraensis,R010/T32,CCA0045,266
eucalyptus obtusiflora subsp. dongarraensis,R010/T33,CCA0046,266
eucalyptus macrocarpa subsp. macrocarpa,R010/T35,CCA0047,261
eucalyptus macrocarpa subsp. macrocarpa,R010/T36,CCA0048,261
eucalyptus macrocarpa subsp. macrocarpa,R010/T37,CCA0049,261
eucalyptus platydisca,R011/T01,CCA0050,133
eucalyptus platydisca,R011/T02,CCA0051,133
eucalyptus flavida,R011/T04,CCA0052,343
eucalyptus flavida,R011/T05,CCA0053,343
eucalyptus flavida,R011/T06,CCA0054,343
eucalyptus goniocarpa,R011/T07,CCA0055,186
eucalyptus goniocarpa,R011/T08,CCA0056,186
eucalyptus goniocarpa,R011/T09,CCA0057,186
eucalyptus goniocarpa,R011/T10,CCA0058,186
eucalyptus laevis,R011/T11,CCA0059,120
eucalyptus laevis,R011/T13,CCA0060,120
eucalyptus dundasii,R011/T14,CCA0061,129
eucalyptus dundasii,R011/T15,CCA0062,129
eucalyptus dundasii,R011/T16,CCA0063,129
eucalyptus dundasii,R011/T17,CCA0064,129
eucalyptus leptopoda subsp. subluta,R011/T18,CCA0065,336
eucalyptus clelandii,R011/T19,CCA0066,333
eucalyptus clelandii,R011/T20,CCA0067,333
