TaxonoriginalDN,Collector,Collector's #,Row #,Tree #,RowTree,Year planted
Angophora costata subsp. costata,D.Nicolle,2073,158,09,R158/T09,1998
Angophora costata subsp. costata,D.Nicolle,2073,158,10,R158/T10,1998
Angophora costata subsp. costata,D.Nicolle,2073,158,11,R158/T11,1998
Angophora costata subsp. costata,D.Nicolle,2073,158,12,R158/T12,1998
Angophora costata subsp. costata,D.Nicolle,6796,294,01,R294/T01,2015
Angophora costata subsp. costata,D.Nicolle,6796,294,02,R294/T02,2015
Angophora costata subsp. costata,D.Nicolle,6796,294,03,R294/T03,2015
Angophora costata subsp. costata,D.Nicolle,6796,294,04,R294/T04,2015
Angophora costata subsp. euryphylla,D.Nicolle,2082,152,01,R152/T01,1998
Angophora costata subsp. euryphylla,D.Nicolle,2082,152,02,R152/T02,1998
Angophora costata subsp. euryphylla,D.Nicolle,2082,152,03,R152/T03,1998
Angophora costata subsp. euryphylla,D.Nicolle,2082,152,04,R152/T04,1998
Angophora costata subsp. euryphylla,D.Nicolle,2082,349,01,R349/T01,2018
Angophora costata subsp. euryphylla,D.Nicolle,2082,349,02,R349/T02,2018
Angophora costata subsp. euryphylla,D.Nicolle,2082,349,03,R349/T03,2018
Angophora costata subsp. euryphylla,D.Nicolle,2082,349,04,R349/T04,2018
Angophora costata subsp. euryphylla,D.Nicolle,3206,242,01,R242/T01,2002
Angophora costata subsp. euryphylla,D.Nicolle,3206,242,02,R242/T02,2002
Angophora costata subsp. euryphylla,D.Nicolle,3206,242,03,R242/T03,2002
Angophora costata subsp. euryphylla,D.Nicolle,3206,242,04,R242/T04,2002
Angophora floribunda,D.Nicolle,2551,171,15,R171/T15,1999
Angophora floribunda,D.Nicolle,2551,171,16,R171/T16,1999
Angophora floribunda,D.Nicolle,2551,171,17,R171/T17,1999
Angophora floribunda,D.Nicolle,2551,171,18,R171/T18,1999
Angophora hispida,D.Nicolle,6746,295,08,R295/T08,2015
Angophora hispida,D.Nicolle,6746,295,09,R295/T09,2015
Angophora hispida,D.Nicolle,6746,295,10,R295/T10,2015
Angophora hispida,-,-,240,07,R240/T07,2001
Angophora inopina,D.Nicolle,6258,279,05,R279/T05,2013
Angophora inopina,D.Nicolle,6258,279,06,R279/T06,2013
Angophora inopina,D.Nicolle,6258,279,07,R279/T07,2013
Angophora inopina,D.Nicolle,6258,279,08,R279/T08,2013
Angophora leiocarpa,D.Nicolle,2103,084,05,R084/T05,1998
Angophora leiocarpa,D.Nicolle,2103,084,06,R084/T06,1998
Angophora leiocarpa,D.Nicolle,2103,084,07,R084/T07,1998
Angophora leiocarpa,D.Nicolle,2103,084,08,R084/T08,1998
Angophora melanoxylon,D.Nicolle,2552,173,01,R173/T01,1999
Angophora melanoxylon,D.Nicolle,2552,173,02,R173/T02,1999
Angophora melanoxylon,D.Nicolle,2552,173,03,R173/T03,1999
Angophora melanoxylon,D.Nicolle,2552,173,04,R173/T04,1999
Angophora subvelutina,D.Nicolle,3204,239,21,R239/T21,2001
Angophora subvelutina,D.Nicolle,3204,239,22,R239/T22,2001
Angophora subvelutina,D.Nicolle,3204,239,23,R239/T23,2001
Angophora subvelutina,D.Nicolle,3204,239,24,R239/T24,2001
Corymbia abbreviata,D.Nicolle,1932,084,20,R084/T20,1998
Corymbia abbreviata,D.Nicolle,1932,084,21,R084/T21,1998
Corymbia abbreviata,D.Nicolle,1932,182,38,R182/T38,2000
Corymbia abbreviata,D.Nicolle,1932,182,39,R182/T39,2000
Corymbia abbreviata,D.Nicolle,1932,241,01,R241/T01,2002
Corymbia abbreviata,D.Nicolle,1932,241,02,R241/T02,2002
Corymbia abbreviata,D.Nicolle,1932,241,03,R241/T03,2002
Corymbia abbreviata,D.Nicolle,1932,241,04,R241/T04,2002
Corymbia abergiana,D.Nicolle,1303,093,19,R093/T19,1996
Corymbia abergiana,D.Nicolle,1303,159,13,R159/T13,1998
Corymbia abergiana,D.Nicolle,1303,159,14,R159/T14,1998
Corymbia abergiana,D.Nicolle,1303,159,15,R159/T15,1998
Corymbia abergiana,D.Nicolle,1303,159,16,R159/T16,1998
Corymbia aparrerinja,-,-,132,05,R132/T05,1997
Corymbia aparrerinja,-,-,132,06,R132/T06,1997
Corymbia aparrerinja,-,-,132,07,R132/T07,1997
Corymbia aparrerinja,-,-,132,08,R132/T08,1997
Corymbia arnhemensis,D.Nicolle,2484,312,29,R312/T29,2011
Corymbia arnhemensis,D.Nicolle,2484,312,30,R312/T30,2011
Corymbia aureola,D.Nicolle,2542,168,11,R168/T11,1999
Corymbia aureola,D.Nicolle,2542,168,12,R168/T12,1999
Corymbia aureola,D.Nicolle,2542,168,13,R168/T13,1999
Corymbia bella,D.Nicolle,4204,245,14,R245/T14,2002
Corymbia bella,D.Nicolle,4204,307,03,R307/T03,2010
Corymbia bella,D.Nicolle,4204,307,04,R307/T04,2010
Corymbia bella,D.Nicolle,4204,307,05,R307/T05,2010
Corymbia bella,D.Nicolle,4204,307,06,R307/T06,2010
Corymbia bleeseri,D.Nicolle,1923,142,37,R142/T37,1997
Corymbia bleeseri,D.Nicolle,1923,142,38,R142/T38,1997
Corymbia blesseri,D.Nicolle,1923,247,06,R247/T06,2002
Corymbia blesseri,D.Nicolle,1923,247,07,R247/T07,2002
Corymbia bloxsomei,D.Nicolle,687,055,28,R055/T28,1994
Corymbia bloxsomei,D.Nicolle,687,055,29,R055/T29,1994
Corymbia bloxsomei,D.Nicolle,687,055,30,R055/T30,1994
Corymbia bloxsomei,D.Nicolle,687,055,31,R055/T31,1994
Corymbia brachycarpa,D.Nicolle,2534,168,22,R168/T22,1999
Corymbia brachycarpa,D.Nicolle,2534,168,23,R168/T23,1999
Corymbia brachycarpa,D.Nicolle,2534,168,24,R168/T24,1999
Corymbia brachycarpa,D.Nicolle,5141,303,20,R303/T20,2010
Corymbia brachycarpa,D.Nicolle,5141,303,21,R303/T21,2010
Corymbia brachycarpa,D.Nicolle,5141,303,22,R303/T22,2010
Corymbia brachycarpa,D.Nicolle,5141,303,23,R303/T23,2010
Corymbia bunites,D.Nicolle,711,054,01,R054/T01,1994
Corymbia bunites,D.Nicolle,711,054,02,R054/T02,1994
Corymbia bunites,D.Nicolle,711,054,03,R054/T03,1994
Corymbia bunites,D.Nicolle,711,054,04,R054/T04,1994
Corymbia cadophora subsp. cadophora,D.Nicolle,1905,188,17,R188/T17,2000
Corymbia cadophora subsp. cadophora,D.Nicolle,1905,188,18,R188/T18,2000
Corymbia cadophora subsp. cadophora,D.Nicolle,1905,188,19,R188/T19,2000
Corymbia cadophora subsp. cadophora,D.Nicolle,1905,188,20,R188/T20,2000
Corymbia cadophora subsp. cadophora,D.Nicolle,1905,207,24,R207/T24,2002
Corymbia cadophora subsp. cadophora,D.Nicolle,1905,207,25,R207/T25,2002
Corymbia cadophora subsp. cadophora,D.Nicolle,1905,207,26,R207/T26,2002
Corymbia cadophora subsp. cadophora,D.Nicolle,1905,207,27,R207/T27,2002
Corymbia cadophora subsp. pliantha,D.Nicolle,1929,140,29,R140/T29,1997
Corymbia cadophora subsp. pliantha,D.Nicolle,1929,140,30,R140/T30,1997
Corymbia cadophora subsp. pliantha,D.Nicolle,1929,140,31,R140/T31,1997
Corymbia cadophora subsp. pliantha,D.Nicolle,1929,140,32,R140/T32,1997
Corymbia cadophora subsp. pliantha,D.Nicolle,1929,191,21,R191/T21,2000
Corymbia cadophora subsp. pliantha,D.Nicolle,1929,191,22,R191/T22,2000
Corymbia cadophora subsp. pliantha,D.Nicolle,1929,191,23,R191/T23,2000
Corymbia cadophora subsp. pliantha,D.Nicolle,1929,191,24,R191/T24,2000
Corymbia cadophora subsp. pliantha,D.Nicolle,1929,243,05,R243/T05,2002
Corymbia cadophora subsp. pliantha,D.Nicolle,1929,243,06,R243/T06,2002
Corymbia cadophora subsp. pliantha,D.Nicolle,1929,243,07,R243/T07,2002
Corymbia cadophora subsp. polychroma ,D.Nicolle,5858,316,29,R316/T29,2011
Corymbia calophylla,D.Nicolle,229,075,01,R075/T01,1995
Corymbia calophylla,D.Nicolle,3421,237,05,R237/T05,2001
Corymbia calophylla,D.Nicolle,3421,237,06,R237/T06,2001
Corymbia calophylla,D.Nicolle,3421,237,07,R237/T07,2001
Corymbia calophylla,D.Nicolle,3421,237,08,R237/T08,2001
Corymbia calophylla,D.Nicolle,6707,332,09,R332/T09,2015
Corymbia calophylla,D.Nicolle,6707,332,10,R332/T10,2015
Corymbia calophylla,D.Nicolle,6707,332,11,R332/T11,2015
Corymbia calophylla,D.Nicolle,6707,332,12,R332/T12,2015
Corymbia calophylla ,D.Nicolle,1160,072,27,R072/T27,1995
Corymbia calophylla ,D.Nicolle,1160,072,28,R072/T28,1995
Corymbia calophylla ,D.Nicolle,1160,072,29,R072/T29,1995
Corymbia calophylla ,D.Nicolle,1160,072,30,R072/T30,1995
Corymbia candida,D.Nicolle,7230,346,05,R346/T05,2017
Corymbia candida,D.Nicolle,7230,346,06,R346/T06,2017
Corymbia candida,D.Nicolle,7230,346,07,R346/T07,2017
Corymbia candida,D.Nicolle,7230,346,08,R346/T08,2017
Corymbia capricornia,D.Nicolle,1335,093,28,R093/T28,1996
Corymbia capricornia,D.Nicolle,1335,093,29,R093/T29,1996
Corymbia capricornia,D.Nicolle,4192,202,16,R202/T16,2002
Corymbia capricornia,D.Nicolle,4192,202,17,R202/T17,2002
Corymbia capricornia,D.Nicolle,4192,202,18,R202/T18,2002
Corymbia capricornia,D.Nicolle,4192,202,19,R202/T19,2002
Corymbia capricornia,D.Nicolle,4192,305,29,R305/T29,2010
Corymbia capricornia,D.Nicolle,4192,305,30,R305/T30,2010
Corymbia capricornia,D.Nicolle,4192,305,31,R305/T31,2010
Corymbia chartacea,D.Nicolle,2474,177,31,R177/T31,1999
Corymbia chippendalei,D.Nicolle,2695,182,09,R182/T09,2000
Corymbia chippendalei,D.Nicolle,2695,182,10,R182/T10,2000
Corymbia chippendalei,D.Nicolle,4264,201,17,R201/T17,2002
Corymbia chippendalei,D.Nicolle,4264,201,18,R201/T18,2002
Corymbia chippendalei,D.Nicolle,4264,201,19,R201/T19,2002
Corymbia chippendalei,D.Nicolle,4264,201,20,R201/T20,2002
Corymbia chippendalei,D.Nicolle,4288,200,33,R200/T33,2002
Corymbia chippendalei,D.Nicolle,4288,200,34,R200/T34,2002
Corymbia chippendalei,D.Nicolle,4288,200,35,R200/T35,2002
Corymbia chippendalei,D.Nicolle,4288,200,36,R200/T36,2002
Corymbia chippendalei,D.Nicolle,4288,318,05,R318/T05,2011
Corymbia chippendalei,D.Nicolle,4288,318,06,R318/T06,2011
Corymbia chippendalei,D.Nicolle,4288,318,07,R318/T07,2011
Corymbia chippendalei,D.Nicolle,4288,318,08,R318/T08,2011
Corymbia chlorolampra,D.Nicolle,2213,189,21,R189/T21,2000
Corymbia chlorolampra,D.Nicolle,2213,189,22,R189/T22,2000
Corymbia chlorolampra,D.Nicolle,5076,311,29,R311/T29,2011
Corymbia chlorolampra,D.Nicolle,7227,341,13,R341/T13,2017
Corymbia chlorolampra,D.Nicolle,7227,341,14,R341/T14,2017
Corymbia chlorolampra,D.Nicolle,7227,403,25,R403/T25,2018
Corymbia citriodora,D.Nicolle,702,131,28,R131/T28,1997
Corymbia citriodora,D.Nicolle,702,131,29,R131/T29,1997
Corymbia citriodora,D.Nicolle,702,131,30,R131/T30,1997
Corymbia citriodora,D.Nicolle,702,131,31,R131/T31,1997
Corymbia citriodora ,D.Nicolle,702,054,24,R054/T24,1994
Corymbia citriodora ,D.Nicolle,702,054,25,R054/T25,1994
Corymbia citriodora ,D.Nicolle,702,054,26,R054/T26,1994
Corymbia clandestina,D.Nicolle,2541,173,09,R173/T09,1999
Corymbia clandestina,D.Nicolle,2541,173,10,R173/T10,1999
Corymbia clarksoniana,D.Nicolle,2511,246,08,R246/T08,2002
Corymbia clarksoniana,D.Nicolle,2511,246,09,R246/T09,2002
Corymbia clarksoniana,D.Nicolle,2511,246,10,R246/T10,2002
Corymbia clarksoniana,D.Nicolle,2511,246,11,R246/T11,2002
Corymbia clarksoniana,-,-,059,35,R059/T35,1994
Corymbia clarksoniana,-,-,059,36,R059/T36,1994
Corymbia clarksoniana,-,-,059,37,R059/T37,1994
Corymbia cliftoniana,D.Nicolle,1940,202,05,R202/T05,2002
Corymbia cliftoniana,D.Nicolle,1940,202,06,R202/T06,2002
Corymbia cliftoniana,D.Nicolle,1940,202,07,R202/T07,2002
Corymbia cliftoniana,D.Nicolle,5851,316,01,R316/T01,2011
Corymbia cliftoniana,D.Nicolle,5851,316,02,R316/T02,2011
Corymbia cliftoniana,D.Nicolle,5851,316,03,R316/T03,2011
Corymbia cliftoniana,D.Nicolle,5851,316,04,R316/T04,2011
Corymbia collina,D.Nicolle,1915,139,12,R139/T12,1997
Corymbia collina,D.Nicolle,1915,139,13,R139/T13,1997
Corymbia collina,D.Nicolle,1915,139,14,R139/T14,1997
Corymbia collina,D.Nicolle,1915,139,15,R139/T15,1997
Corymbia collina,D.Nicolle,1915,243,08,R243/T08,2002
Corymbia collina,D.Nicolle,1915,243,09,R243/T09,2002
Corymbia collina,D.Nicolle,1915,243,10,R243/T10,2002
Corymbia dampieri,D.Nicolle,1900,135,33,R135/T33,1997
Corymbia dampieri,D.Nicolle,1900,135,34,R135/T34,1997
Corymbia dampieri,D.Nicolle,1900,135,35,R135/T35,1997
Corymbia dampieri,D.Nicolle,1900,135,36,R135/T36,1997
Corymbia dampieri,D.Nicolle,1900,186,15,R186/T15,2000
Corymbia dampieri,D.Nicolle,1900,186,16,R186/T16,2000
Corymbia dampieri,D.Nicolle,1900,186,17,R186/T17,2000
Corymbia dampieri,D.Nicolle,1900,186,18,R186/T18,2000
Corymbia dampieri,D.Nicolle,1900,204,25,R204/T25,2002
Corymbia dampieri,D.Nicolle,1900,204,26,R204/T26,2002
Corymbia dampieri,D.Nicolle,1900,204,27,R204/T27,2002
Corymbia dampieri,D.Nicolle,1900,204,28,R204/T28,2002
Corymbia dampieri (C. greeniana),D.Nicolle,1906,137,30,R137/T30,1997
Corymbia dampieri (C. greeniana),D.Nicolle,1906,137,31,R137/T31,1997
Corymbia dampieri (C. greeniana),D.Nicolle,1906,137,32,R137/T32,1997
Corymbia dampieri (C. greeniana),D.Nicolle,1906,137,33,R137/T33,1997
Corymbia dampieri (C. greeniana),D.Nicolle,1906,240,18,R240/T18,2002
Corymbia dampieri (C. greeniana),D.Nicolle,1906,240,19,R240/T19,2002
Corymbia dampieri (C. greeniana),D.Nicolle,1906,240,20,R240/T20,2002
Corymbia dampieri (C. greeniana),D.Nicolle,1906,240,21,R240/T21,2002
Corymbia deserticola subsp. deserticola,D.Nicolle,542,041,25,R041/T25,1994
Corymbia deserticola subsp. deserticola,D.Nicolle,542,083,09,R083/T09,1998
Corymbia deserticola subsp. deserticola,D.Nicolle,542,083,10,R083/T10,1998
Corymbia deserticola subsp. deserticola,D.Nicolle,542,083,11,R083/T11,1998
Corymbia deserticola subsp. deserticola,D.Nicolle,4267,199,31,R199/T31,2002
Corymbia deserticola subsp. deserticola,D.Nicolle,4267,199,32,R199/T32,2002
Corymbia deserticola subsp. deserticola,D.Nicolle,4267,199,33,R199/T33,2002
Corymbia deserticola subsp. deserticola,D.Nicolle,5750,317,25,R317/T25,2011
Corymbia deserticola subsp. deserticola,D.Nicolle,5750,317,26,R317/T26,2011
Corymbia deserticola subsp. deserticola,D.Nicolle,5750,317,27,R317/T27,2011
Corymbia deserticola subsp. deserticola,D.Nicolle,5750,317,28,R317/T28,2011
Corymbia deserticola subsp. deserticola,D.Nicolle,5750,298,12,R298/T12,2015
Corymbia deserticola subsp. deserticola,D.Nicolle,5750,298,13,R298/T13,2015
Corymbia deserticola subsp. mesogeotica,D.Nicolle,2439,201,36,R201/T36,2002
Corymbia deserticola subsp. mesogeotica,D.Nicolle,2439,201,37,R201/T37,2002
Corymbia deserticola subsp. mesogeotica,D.Nicolle,2439,201,38,R201/T38,2002
Corymbia deserticola subsp. mesogeotica,D.Nicolle,2439,201,39,R201/T39,2002
Corymbia deserticola subsp. mesogeotica,D.Nicolle,2439,319,26,R319/T26,2011
Corymbia deserticola subsp. mesogeotica,D.Nicolle,2439,319,27,R319/T27,2011
Corymbia dichromophloia,D.Nicolle,2463,305,26,R305/T26,2010
Corymbia dichromophloia,D.Nicolle,2463,305,27,R305/T27,2010
Corymbia dichromophloia,D.Nicolle,2463,305,28,R305/T28,2010
Corymbia dichromophloia (C. rubens),D.Nicolle,1928,140,21,R140/T21,1997
Corymbia dichromophloia (C. rubens),D.Nicolle,1928,140,22,R140/T22,1997
Corymbia dichromophloia (C. rubens),D.Nicolle,1928,140,23,R140/T23,1997
Corymbia dichromophloia (C. rubens),D.Nicolle,1928,140,24,R140/T24,1997
Corymbia dichromophloia (C. rubens),D.Nicolle,1928,243,25,R243/T25,2002
Corymbia dichromophloia (C. rubens),D.Nicolle,1928,243,26,R243/T26,2002
Corymbia dichromophloia (C. rubens),D.Nicolle,1928,243,27,R243/T27,2002
