name,cca.synonym,genus,species,subspecies,habit_tree,habit_mallee,habit_marlock,habit_shrub,height_max_m,leaf_length_mm_min,leaf_length_mm_max,leaf_width_mm_min,leaf_width_mm_max,botanical_desc
angophora costata subsp. costata,,Angophora,costata,costata,TRUE,FALSE,FALSE,FALSE,30,70,190,12,35,"Medium-sized to tall tree to 30 m high. Forming a lignotuber. -BREAK- Bark smooth, pink to orange to dull pink-grey, weathering to grey. Glands (or ducts) sometimes present in the pith but only seen just below the nodes on young branchlets. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stem rounded in cross-section, smooth; juvenile leaves opposite, sessile, elliptical to ovate, 6--12.5 cm long, 2--6.5 cm wide, base amplexicaul, margin entire, apex acute, green, glabrous. -BREAK- Adult leaves opposite, petioles 0.9--2.5 cm long; blade lanceolate or falcate, 7--19 cm long, 1.2--3.5 cm wide, flat, base tapering to petiole or rounded, margin entire, apex acute, discolorous, glossy green, penniveined, densely to very densely reticulate, intramarginal vein present, oil glands obscure or absent. -BREAK- Inflorescence terminal compound, peduncles 0.3--2 cm long, buds 3, rarely 7 per umbel, pedicellate (pedicels 0.3--0.8 cm long). Mature buds globular (0.4--0.8 cm long, 0.5--0.7 cm wide), hypanthium glabrous (rarely pubescent), longitudinally ribbed, petals white with a green keel, stamens inflexed, anthers oblong, versatile, dehiscing by longitudinal slits (non-confluent), style long, stigma blunt, mop-like, locules 3 or 4, the placentae each with 5 vertical ovule rows. Flowers white or creamy white. -BREAK- Fruit pedicellate (pedicels 0.2--1.2 cm long), barrel-shaped or cylindrical, 1.0--1.8 cm long, (0.7)0.9--1.7 cm wide, longitudinally ribbed, disc descending, valves 3 or 4, enclosed. -BREAK- Seeds reddish brown to brown, 5--8 mm long, flattened-ellipsoidal, dorsal surface smooth, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10): cotyledons reniform to orbicular; stems rounded in cross-section, scabrid with bristle-glands and hairs; leaves opposite, sessile, lanceolate to oblong, 6--13 cm long, 2--5 cm wide, amplexicaul, margin entire or irregular, apex pointed, discolorous, green, scabrid."
angophora costata subsp. euryphylla,,Angophora,costata,euryphylla,TRUE,FALSE,FALSE,FALSE,25,100,210,20,50,"Medium-sized to large tree to 25 m tall. Forming a lignotuber. -BREAK- Bark smooth, pink to orange to dull grey-pink, weathering to grey. Glands (or ducts) sometimes present in the pith but only seen just below the nodes on young branchlets. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stem rounded in cross-section, pubescent; juvenile leaves opposite, sessile, ovate, 6--13 cm long, 4--5.5 cm wide, base amplexicaul, margin entire, apex acute, green, glabrous. -BREAK- Adult leaves opposite, petioles 1--2.5 cm long; blade lanceolate, sometimes falcate, 10--21 cm long, 2--5 cm wide, undulate, base tapering to petiole or rounded, margin entire, apex acute, discolorous, glossy green, penniveined, densely to very densely reticulate, intramarginal vein present, oil glands obscure or apparently absent. -BREAK- Inflorescence terminal compound, peduncles 1.7--2.5 cm long, buds 3 per umbel, rarely 7, pedicellate, pedicels 0.8--1.5(1.9) cm long. Mature buds globular (0.6--1 cm long, 0.6--1.1 cm wide), hypanthium pubescent, longitudinally ribbed, petals white with a green keel, stamens inflexed, anthers oblong, versatile, dehiscing by longitudinal slits (non-confluent), style long, stigma blunt, mop-like, locules 3 or 4, the placentae each with 5 vertical ovule rows. Flowers white or creamy white. -BREAK- Fruit pedicellate (pedicels 0.7--1.7 cm long), cylindrical to barrel-shaped, (1.3)1.4--2(2.1) cm long, 1.2--2 cm wide, longitudinally ribbed, disc descending, valves 3 or 4, enclosed. -BREAK- Seeds reddish brown, 6--8 mm long, flattened-ellipsoidal, dorsal surface smooth, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10): cotyledons reniform to orbicular; stems rounded in cross-section, scabrid with bristle-glands and hairs; leaves opposite, sessile, elliptical to oblong, 5--11 cm long, 1.8--4 cm wide, amplexicaul, margin entire or irregular, apex pointed, discolorous, green, scabrid."
angophora floribunda,,Angophora,floribunda,NA,TRUE,FALSE,FALSE,FALSE,30,55,150,10,50,"Medium-sized to large tree to 30 m tall. Forming a lignotuber. -BREAK- Bark rough to the small branches, shortly fibrous and generally furrowed, grey to brown. Glands (or ducts) sometimes present in the pith but only seen just below the nodes on young branchlets. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stem rounded in cross-section, pubescent or glabrous; juvenile leaves opposite, petiolate or sessile, cordate to oblong to narrowly lanceolate to ovate, 4.5--12 cm long, 2--5 cm wide, base amplexicaul to rounded, margin entire or rarely finely toothed, apex acute, green, pubescent or glabrous. -BREAK- Adult leaves opposite, petioles 0.6--1.5 cm long; blade narrowly lanceolate to ovate, occasionally falcate, 5.5--15 cm long, 1--5 cm wide, flat to undulate, base tapering to petiole or rounded, margin entire, apex acute, discolorous, glossy green to dull grey-green, penniveined, densely to very densely reticulate, intramarginal vein present, oil glands island. -BREAK- Inflorescence terminal compound, peduncles 1--3.3 cm long, buds 3 or 7 per umbel, pedicellate (pedicels 0.3--0.9 cm long). Mature buds globular (0.3--0.5 cm long, 0.3--0.5 cm wide), hypanthium pubescent or glabrous, longitudinally ribbed, petals white with a green keel, stamens inflexed, anthers oblong, versatile, dehiscing by longitudinal slits (non-confluent), style long, stigma blunt, mop-like, locules 3 or 4, the placentae each with 5 vertical ovule rows. Flowers white or creamy white. -BREAK- Fruit pedicellate (pedicels 0.3--1.4 cm long), barrel-shaped to cup-shaped, (0.6)0.7--1.2 cm long, 0.7--1.1 cm wide, longitudinally ribbed, disc descending, valves 3 or 4, enclosed. -BREAK- Seeds reddish brown to brown, 5.5--7 mm long, flattened-ellipsoidal, dorsal surface smooth, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10): cotyledons reniform to orbicular; stems rounded in cross-section, scabrid with bristle-glands and hairs; leaves opposite, sessile, lanceolate to oblong, 4.5--9(10)cm long, (1.5)2--4(5) cm wide, amplexicaul, margin entire or irregular, apex pointed or rounded, discolorous, green, slightly scabrid or glabrous."
angophora hispida,,Angophora,hispida,NA,TRUE,FALSE,FALSE,TRUE,8,50,115,20,60,"Large shrub to small tree , 1.5--8 m tall. Forming a lignotuber. -BREAK- Bark rough to the small branches, fibrous, grey to grey-brown. Oil glands not seen in the pith but expected to be found on young branchlets at the nodes. -BREAK- Juvenile stem rounded in cross-section, pubescent; juvenile leaves opposite, sessile, ovate, 10--14 cm long, 4--6 cm wide, base amplexicaul, margin entire, apex acute, green, pubescent or glabrous. -BREAK- Adult leaves opposite, sessile (or rarely petiolate), petioles 0--0.4 cm long; blade ovate to elliptical to cordate, 5--11.5 cm long, 2--6 cm wide, usually thick and rigid, undulate to flat, base amplexicaul, margin entire or occasionally crenulate, apex usually rounded, sometimes acute, discolorous, slightly glossy, green to olive green to dull grey-green, penniveined, very densely reticulate, intramarginal vein present or absent, oil glands obscure or apparently absent, lamina glabrous to moderately pubescent. -BREAK- Inflorescence terminal compound, peduncles 1.5--7 cm long, buds 3 or 7 per umbel, pedicellate (pedicels 0.8--3.2 cm long). Mature buds globular (0.9--1.3 cm wide, 0.7--1.3 cm wide), hypanthium pubescent, longitudinally ribbed, petals white with a green keel, stamens inflexed, anthers oblong, versatile, dehiscing by longitudinal slits (non-confluent), style long, stigma blunt, mop-like, locules 3 or 4, the placentae each with 5 vertical ovule rows. Flowers white to creamy white, or yellow to lemon, or pink (rarely). -BREAK- Fruit pedicellate (pedicels 0.8--3.6 cm long), cup-shaped, 1.5--2.6 cm long, 1.3--2 cm wide, longitudinally ribbed, disc level or descending, valves 3 or 4, enclosed. -BREAK- Seeds reddish brown to brown, 8--10 mm long, flattened-ellipsoidal, dorsal surface smooth, hilum ventral.  -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10): cotyledons reniform to orbicular; stems rounded in cross-section, scabrid with bristle-glands and hairs; leaves opposite, sessile, cordate to oblong, 5--9(10) cm long, 2.5--5(5.5) cm wide, amplexicaul, margin entire or irregular, apex pointed, discolorous, green, scabrid. -BREAK-"
angophora inopina,,Angophora,inopina,NA,TRUE,FALSE,FALSE,TRUE,8,45,120,8,30,"Small tree or shrub to 8 m tall, often multistemmed. Forming a lignotuber. -BREAK- Bark rough to the small branches, fibrous, grey to grey-brown. Glands (or ducts) sometimes present in the pith but only seen just below the nodes on young branchlets. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stem rounded in cross-section, glabrous (expected to have hairs early in development but not seen in the field); juvenile leaves opposite, sessile to shortly petiolate, ovate to lanceolate, 4--7 cm long, 1.5--3 cm wide, base tapering to petiole or rounded, margin entire, apex acute, green, glabrous. -BREAK- Adult leaves opposite, petioles 0.4--1.5 cm long; blade lanceolate or falcate, 4.5--12 cm long, 0.8--3 cm wide, flat, base tapering to petiole or sometimes rounded, margin entire, apex acute, discolorous, glossy, green or occasionally dull, green, penniveined, densely to very densely reticulate, intramarginal vein present, oil glands island. -BREAK- Inflorescence terminal compound, peduncles 0.3--2.7 cm long, buds 3 or 7 per umbel, pedicellate (pedicels 0.7--1.2 cm long). Mature buds globular (0.5--0.8 cm long, 0.5--0.8 cm wide), hypanthium pubescent, longitudinally ribbed, petals white with a green keel, stamens inflexed, anthers oblong, versatile, dehiscing by longitudinal slits (non-confluent), style long, stigma blunt, mop-like, locules 3 or 4, the placentae each with 5 vertical ovule rows. Flowers white or creamy white. -BREAK- Fruit pedicellate, pedicels 1--1.3(1.5), cup-shaped, 0.6--1.3 cm long, 0.9--1.5 cm wide, longitudinally ribbed, not glaucous, disc descending, valves three or four, enclosed. -BREAK- Seeds brown, 4--6 mm long, flattened-ellipsoidal, dorsal surface smooth, hilum ventral.  -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10): not grown yet."
angophora leiocarpa,,Angophora,leiocarpa,NA,TRUE,FALSE,FALSE,FALSE,25,55,160,6,22,"Small to medium-sized tree to 25 m high. Forming a lignotuber. -BREAK- Bark smooth, pink to orange to dull pink-grey (occasionally cream), weathering to grey or grey brown. Glands (or ducts) sometimes present in the pith but only seen just below the nodes on young branchlets. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stem rounded in cross-section, pubescent; juvenile leaves opposite, sessile or rarely shortly petiolate, narrowly lanceolate, 4.5--14 cm long, 0.7--2.8 cm wide, base amplexicaul (sessile) to lobed or tapering to petiole (petiolate), margin entire, apex acute, green, leaf hairs absent or rarely present. -BREAK- Adult leaves opposite, petioles 0.6--1.5 cm long; blade lanceolate to falcate, 5.5--16 cm long, 0.6--2.2 cm wide, flat, base tapering to petiole, margin entire, apex acute, discolorous, glossy green, penniveined, densely to very densely reticulate, intramarginal vein present, oil glands obscure or apparently absent. -BREAK- Inflorescence terminal compound, peduncles 0.9--3.2 cm long, buds 3 per umbel, rarely 7, pedicellate (pedicels 0.3--0.8 cm long). Mature buds globular (0.4--0.6 cm long, 0.4--0.5 cm wide), hypanthium glabrous (rarely pubescent), longitudinally ribbed, petals white with a green keel, stamens inflexed, anthers oblong, versatile, dehiscing by longitudinal slits (non-confluent), style long, stigma blunt, mop-like, locules 3 or 4, the placentae each with 5 vertical ovule rows. Flowers white or creamy white. -BREAK- Fruit pedicellate (pedicels 0.4--1.5 cm long), barrel-shaped to cup-shaped (rarely urceolate), (0.8)1--1.5 cm long, 0.7--1.2 cm wide, longitudinal ribs absent or slight, fruit wall thin, disc descending, valves 3 or 4, enclosed. -BREAK- Seeds reddish brown, 6--8 mm long, flattened-ellipsoidal, dorsal surface smooth, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10): cotyledons reniform to orbicular; stems rounded in cross-section, scabrid with bristle-glands and hairs; leaves opposite, sessile, narrowly lanceolate to narrowly oblong, 8--12 cm long, 1--2 cm wide, base amplexicaul and much wider at the base than the rest of the leaf blade, margin entire or irregular due to hairs, apex pointed, discolorous, green, scabrid."
angophora melanoxylon,,Angophora,melanoxylon,NA,TRUE,FALSE,FALSE,TRUE,15,30,90,6,22,"Small multistemmed shrub to medium-sized tree to 15 m tall. Forming a lignotuber. -BREAK- Bark rough to the small branches, fibrous, grey to grey-brown.  -BREAK- Young branchlets with dense white short multicellular simple hairs and much longer sparse brown setae (bristle-glands); glands (or ducts) sometimes present in the pith but only seen just below the nodes on young branchlets. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stem rounded in cross-section, pubescent; juvenile leaves opposite, sessile, lanceolate, 4.5--10 cm long, 1.2--2.5 cm wide, base amplexicaul, sometimes truncate and wider than the lamina, margin entire or finely toothed, apex acute, dull, grey-green to blue-grey to green, pubescent becoming glabrous with age. -BREAK- Adult leaves opposite, sessile or with petioles 0--1 cm long; blade narrowly lanceolate to linear or sometimes narrowly elliptical, 3--9 cm long, 0.6--2.2 cm wide, flat, base amplexicaul (sessile) or tapering to petiole or lobed (sometimes the lobes wider than the lamina) or rounded, margin entire, apex acute, discolorous, dull grey-green to green, penniveined, densely to very densely reticulate, intramarginal vein present, oil glands small island or obscure. -BREAK- Inflorescence terminal compound, peduncles 0.6--2.3 cm long, buds 3 or 7 per umbel, pedicellate (pedicels 0.5--0.8 cm long). Mature buds globular (0.4--0.6 cm long, 0.4--0.7 cm wide), hypanthium pubescent, longitudinally ribbed, petals white with a green keel, stamens inflexed, anthers oblong, versatile, dehiscing by longitudinal slits (non-confluent), style long, stigma blunt, mop-like, locules 3 or 4, the placentae each with 5 vertical ovule rows. Flowers white or creamy white. -BREAK- Fruit pedicellate (pedicels 0.3--0.9 cm long), cup-shaped to cylindrical to barrel-shaped, 0.8--1.3 cm long, 0.7--1.1 cm wide, longitudinally ribbed, disc descending, valves 3 or 4, enclosed. -BREAK- Seeds reddish brown to brown, 4--7 mm long, flattened-ellipsoidal, dorsal surface smooth, hilum ventral.  -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10): cotyledons reniform to orbicular; stems rounded in cross-section, scabrid with bristle-glands and hairs; leaves opposite, sessile (rarely subsessile), lanceolate to oblong, 3--9 cm long, 0.8--3 cm wide, amplexicaul, margin entire or irregular, apex pointed, discolorous, green to grey-green, scabrid."
angophora subvelutina,,Angophora,subvelutina,NA,TRUE,FALSE,FALSE,FALSE,20,60,120,20,50,"Medium-sized tree to 20 m tall. Forming a lignotuber. -BREAK- Bark rough to the small branches, fibrous to flaky, grey. Glands (or ducts) sometimes present in the pith but only seen just below the nodes on young branchlets. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stem rounded in cross-section, pubescent; juvenile leaves opposite, sessile, ovate to elliptical to lanceolate, 5--11 cm long, 2.5--5 cm wide, base amplexicaul, margin entire, apex acute, green, pubescent. -BREAK- Adult leaves opposite, usually sessile, rarely shortly petiolate, petioles 0--0.2 cm long; blade lanceolate to ovate to elliptical, 6--12 cm long, 2--5 cm wide, undulate, base amplexicaul, rarely lobed or tapering to petiole (when petiolate), margin entire or rarely crenulate, apex acute to rounded, discolorous, glossy green to dull grey-green, penniveined, densely to very densely reticulate, intramarginal vein present, oil glands island or obscure or apparently absent. -BREAK- Inflorescence terminal compound, peduncles 0.9--3 cm long, buds 3 or 7 per umbel, pedicellate (pedicels 0.4--1 cm long). Mature buds globular (0.4--0.6 cm long, 0.4--0.6 cm wide), hypanthium pubescent, longitudinally ribbed, petals white with a green keel, stamens inflexed, anthers oblong, versatile, dehiscing by longitudinal slits (non-confluent), style long, stigma blunt, mop-like, locules 3 or 4, the placentae each with 5 vertical ovule rows. Flowers white or creamy white. -BREAK- Fruit pedicellate (pedicels 0.6--1.2 cm long), cup-shaped, (0.6)0.8--1.1 cm long, 0.6--1.1 cm wide, longitudinally ribbed, disc descending, valves 3 or 4, enclosed. -BREAK- Seeds reddish brown to brown, 5--8 mm long, flattened-ellipsoidal, dorsal surface smooth, hilum ventral.  -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10): cotyledons reniform to orbicular; stems rounded in cross-section, scabrid with bristle-glands and hairs; leaves opposite, sessile (rarely subsessile), elliptic to oblong, 7--10 cm long, 2.5--4.5 cm wide, amplexicaul, margin entire, apex pointed, discolorous, green, scabrid."
corymbia abbreviata,,Corymbia,abbreviata,NA,TRUE,FALSE,FALSE,FALSE,7,70,235,30,110,"Tree to 7 m tall. Forming a lignotuber. -BREAK- Bark rough to the small branches, thick, tessellated to flaky, grey to grey-brown over red-brown. -BREAK- Branchlets lack oil glands in the pith; smooth (glabrous), silvery to greenish, not glaucous. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section, smooth; juvenile leaves opposite, sessile, cordate, large, 15--23 cm long, 8--15 cm wide, stem-clasping, green, more or less smooth, sometimes a few scattered bristle-glands bearing simple hairs can be found on the lamina.  -BREAK- Crown of stiff, juvenile leaves, opposite, sessile or on very short petioles (0--0.5 cm); blade cordate to broadly lanceolate, 7--23.5 cm long, 3--11 cm wide, undulate, base usually amplexicaul or lobed, rarely rounded, margin entire, apex pointed, concolorous or slightly discolorous, dull, green but yellowish near main veins, glabrous (rarely a few sparse bristle-glands at the base of the lamina), side-veins at a wide angle to the midrib and widely spaced, and looping to form intramarginal vein, reticulation very dense, oil glands apparently absent. -BREAK- Inflorescence usually terminal compound although somewhat congested and with very few branches, sometimes reduced to solitary axillary umbels, the inflorescence internodes and peduncles scabrid with ferrugineous setae (bristle-glands) when first formed but soon becoming smooth, peduncles stout, rounded to angular, ultimately smooth, 0.3--1.8(2.5) cm long; umbels of usually 7, rarely 9 or 11 buds per umbel, sessile or on pedicels to 0.3 cm long. Mature buds obovoid to pyriform (1.1--1.6 cm long, 0.9--1.2 cm wide when mature), reddish and smooth, scar absent (both opercula shed together at flowering), operculum rounded, stamens inflexed, all fertile, anthers versatile, dorsifixed, oblong, dehiscing by longitudinal slits, style long and straight, stigma blunt and ?papillose, locules 4, with ca 7 or 8 vertical ovule rows on the placentae, or the rows indistinct. Flowers creamy white. -BREAK- Fruit sessile or pedicellate (pedicels to 0.5 cm long), urceolate with a conspicuous erect neck, 2--3.5 cm long, 1.7--3 cm wide, longer than wide, surface smooth, disc descending vertically, valves 4, enclosed. -BREAK- Seeds brown, 10--16 mm long, ellipsoidal with terminal wing, hilum ventral. Cultivated seedlings (measured at ca node 10): cotyledons large, reniform; stems rounded in cross-section, setose with bristle-glands bearing short simple hairs; leaves opposite, sessile to very shortly petiolate (petioles to 0.3 cm), ovate to elliptical, 4--9.5 cm long, 2--5 cm wide, base rounded or tapering to petiole, becoming stem-clasping higher up the stem, apex rounded or pointed, mid-green, Â± concolorous, setose on both sides with bristle-glands bearing short simple hairs."
corymbia abergiana,,Corymbia,abergiana,NA,TRUE,FALSE,FALSE,FALSE,12,80,152,20,64,"Tree 3 m to 12 m tall. Forming a lignotuber. -BREAK- Bark rough, more or less tessellated or at least deeply fissured, coarsely fibrous and brittle, extending over trunk and limbs to 5--10 cm diameter, greyish brown. -BREAK- Branchlets smooth (glabrous); long oil ducts sometimes visible in the pith. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section, setose; juvenile leaves always shortly petiolate, opposite for ca 20 nodes then becoming alternate, ovate-elliptic to elliptic-lanceolate, (4.5)8--13.5 cm long, (1.3)2--5(8) cm wide, base rounded or tapering to petiole, apex rounded or scarcely pointed, green, discolorous, glossy above, glabrous except for setae on petiole. -BREAK- Adult leaves predominantly alternate but opposite and sub-opposite pairs are always present, petioles 1.3--4 cm long; blade lanceolate to broadly so, ovate intermediate leaves present at times, 8--15.2(18) cm long, 2--6.4 cm wide, base rounded or tapering to petiole, margin entire, apex finely pointed, strongly discolorous, glossy dark green above, paler below, smooth, side-veins at greater than 45° to midrib, reticulation dense to very dense, intramarginal vein present but very close to margin (more easily seen from underside when dry), oil glands small, island. -BREAK- Inflorescence terminal compound, peduncles rounded, 0.5--3.8 cm long, buds in umbels of (3)7, usually sessile, very rarely with pedicels to 0.5 cm long and then most other buds in that umbel sessile. Mature buds ovoid to obovoid to broadly fusiform (1.2--1.8 cm long, 0.8--1.1 cm wide), basally green with operculum rusty and Â± scurfy to warty, scar absent (both opercula shed together at flowering), operculum rounded to conical and with the thick outer (calycine) operculum incompletely fused at the apex of lobes whilst inner (petaline) operculum is much thinner and completely fused but with 4 suture lines visible on its surface, stamens inflexed, all fertile, anthers oblong, dorsifixed, versatile, dehiscing by longitudinal slits, style long and straight, stigma blunt and shortly papillose, locules 4, the ovules not arranged in clear rows on the placentae (sometimes 7 rows Â± discernable). Flowers creamy white. -BREAK- Fruit sessile, truncate-ovoid to barrel-shaped lacking a contracted neck but having a very thick rim, rarely slightly urceolate, (1.8)2.1--3.4 cm long, (1.5)1.8--2.6 cm wide, longer than wide, Â± rusty, rim thick, flat and sometimes split but disc descending vertically from the rim, valves 4, enclosed. -BREAK- Seeds brown to red-brown, 6--12(14) mm long, ellipsoidal with terminal wing, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10): cotyledons reniform; stems rounded in cross-section, setose with long bristle-glands; leaves petiolate, opposite, ovate-elliptic, 7--10.5 cm long, 1.7--5.5 cm wide, base rounded at lower nodes but from ca node 6--8 to node 14 peltate, apex rounded or bluntly pointed, green, discolorous, glossy above after node ca 7, sparsely setose on both sides especially on midrib and margins throughout seedling phase."
