phylo.tip.label.match,new.tip_unique.ID,uniqueID
angophora_costata,angophora_costata_subsp._costata_2073,2073
angophora_costata,angophora_costata_subsp._costata_6796,6796
angophora_costata,angophora_costata_subsp._euryphylla_2082,2082
angophora_costata,angophora_costata_subsp._euryphylla_3206,3206
angophora_hispida,angophora_hispida_6746,6746
angophora_hispida,angophora_hispida_Ahisp_1,Ahisp_1
angophora_costata,angophora_leiocarpa_2103,2103
corymbia_arenaria,corymbia_arnhemensis_2484,2484
corymbia_brachycarpa,corymbia_brachycarpa_2534,2534
corymbia_brachycarpa,corymbia_brachycarpa_5141,5141
corymbia_cadophora,corymbia_cadophora_subsp._cadophora_1905,1905
corymbia_cadophora,corymbia_cadophora_subsp._pliantha_1929,1929
corymbia_cadophora,corymbia_cadophora_subsp._polychroma_5858,5858
corymbia_calophylla,corymbia_calophylla_229,229
corymbia_calophylla,corymbia_calophylla_1160,1160
corymbia_calophylla,corymbia_calophylla_3421,3421
corymbia_calophylla,corymbia_calophylla_6707,6707
corymbia_dichromophloia,corymbia_capricornia_1335,1335
corymbia_dichromophloia,corymbia_capricornia_4192,4192
corymbia_papillosa,corymbia_chartacea_2474,2474
corymbia_chippendalei,corymbia_chippendalei_2695,2695
corymbia_chippendalei,corymbia_chippendalei_4264,4264
corymbia_chippendalei,corymbia_chippendalei_4288,4288
corymbia_haematoxylon,corymbia_chlorolampra_2213,2213
corymbia_haematoxylon,corymbia_chlorolampra_5076,5076
corymbia_haematoxylon,corymbia_chlorolampra_7227,7227
corymbia_citriodora,corymbia_citriodora_702,702
corymbia_brachycarpa,corymbia_clandestina_2541,2541
corymbia_erythrophloia,corymbia_cliftoniana_1940,1940
corymbia_erythrophloia,corymbia_cliftoniana_5851,5851
corymbia_greeniana,corymbia_dampieri_1900,1900
corymbia_greeniana,corymbia_dampieri_(c._greeniana)_1906,1906
corymbia_deserticola,corymbia_deserticola_subsp._deserticola_542,542
corymbia_deserticola,corymbia_deserticola_subsp._deserticola_4267,4267
corymbia_deserticola,corymbia_deserticola_subsp._deserticola_5750,5750
corymbia_deserticola,corymbia_deserticola_subsp._mesogeotica_2439,2439
corymbia_dichromophloia,corymbia_dichromophloia_2463,2463
corymbia_dichromophloia,corymbia_dichromophloia_1928,1928
corymbia_dichromophloia,corymbia_drysdalensis_1907,1907
corymbia_ellipsoidea,corymbia_ellipsoidea_5112,5112
corymbia_eremaea,corymbia_eremaea_subsp._eremaea_1210,1210
corymbia_eremaea,corymbia_eremaea_subsp._eremaea_1708,1708
corymbia_eremaea,corymbia_eremaea_subsp._oligiocarpa_1208,1208
corymbia_erythrophloia,corymbia_erythrophloia_2530,2530
corymbia_ferruginea,corymbia_ferruginea_subsp._ferruginea_2466,2466
corymbia_ferruginea,corymbia_ferruginea_subsp._stypophylla_1336,1336
corymbia_ferruginea,corymbia_ferruginea_subsp._stypophylla_2443,2443
corymbia_ficifolia,corymbia_ficifolia_1138,1138
corymbia_ficifolia,corymbia_ficifolia_3761,3761
corymbia_ficifolia,corymbia_ficifolia_5523,5523
corymbia_grandifolia,corymbia_grandifolia_subsp._lamprocardia_2461,2461
corymbia_grandifolia,corymbia_grandifolia_subsp._longa_4215,4215
corymbia_haematoxylon,corymbia_haematoxylon_1147,1147
corymbia_hamersleyana,corymbia_hamersleyana_1190,1190
corymbia_hamersleyana,corymbia_hamersleyana_4260,4260
corymbia_lenziana,corymbia_lenziana_537,537
corymbia_lenziana,corymbia_lenziana_5733,5733
corymbia_ligans,corymbia_ligans_2527,2527
corymbia_ligans,corymbia_ligans_(subsp._novacastrensis)_2504,2504
corymbia_henryi,corymbia_maculata_(c._henryi)_1259,1259
corymbia_henryi,corymbia_maculata_(c._henryi)_2092,2092
corymbia_nesophila,corymbia_nesophila_1319,1319
corymbia_nesophila,corymbia_nesophila_2515,2515
corymbia_dichromophloia,corymbia_oocarpa_2479,2479
corymbia_opaca,corymbia_opaca_1196,1196
corymbia_opaca,corymbia_opaca_2434,2434
corymbia_pachycarpa,corymbia_pachycarpa_1939,1939
corymbia_pachycarpa,corymbia_pachycarpa_(subsp._glabrescens)_1198,1198
corymbia_papillosa,corymbia_papillosa_4207,4207
corymbia_papillosa,corymbia_papillosa_(subsp._globifera)_5806,5806
corymbia_ellipsoidea,corymbia_pocillum_2497,2497
corymbia_polycarpa,corymbia_polycarpa_1902,1902
corymbia_polycarpa,corymbia_polycarpa_4197,4197
corymbia_polysciada,corymbia_polysciada_2457,2457
corymbia_polysciada,corymbia_polysciada_4218,4218
corymbia_ptychocarpa,corymbia_ptychocarpa_subsp._aptycha_2476,2476
corymbia_ptychocarpa,corymbia_ptychocarpa_subsp._ptychocarpa_1343,1343
corymbia_ptychocarpa,corymbia_ptychocarpa_subsp._ptychocarpa_1912,1912
corymbia_arenaria,corymbia_serendipita_2502,2502
corymbia_pachycarpa,corymbia_sphaerica_2437,2437
corymbia_stockeri,corymbia_stockeri_subsp._peninsularis_1318,1318
corymbia_stockeri,corymbia_stockeri_subsp._peninsularis_2513,2513
corymbia_stockeri,corymbia_stockeri_subsp._stockeri_2507,2507
corymbia_stockeri,corymbia_stockeri_subsp._stockeri_(c._lamprophylla)_1290,1290
