phylo.tip.label.match,new.tip_unique.ID,uniqueID
angophora_floribunda,angophora_floribunda_2551,2551
angophora_inopina,angophora_inopina_6258,6258
angophora_melanoxylon,angophora_melanoxylon_2552,2552
angophora_subvelutina,angophora_subvelutina_3204,3204
corymbia_abbreviata,corymbia_abbreviata_1932,1932
corymbia_abergiana,corymbia_abergiana_1303,1303
corymbia_aureola,corymbia_aureola_2542,2542
corymbia_bella,corymbia_bella_4204,4204
corymbia_bleeseri,corymbia_bleeseri_1923,1923
corymbia_bloxsomei,corymbia_bloxsomei_687,687
corymbia_bunites,corymbia_bunites_711,711
corymbia_aspera,corymbia_candida_7230,7230
corymbia_clarksoniana,corymbia_clarksoniana_2511,2511
corymbia_collina,corymbia_collina_1915,1915
corymbia_dimorpha,corymbia_dimorpha_2528,2528
corymbia_dolichocarpa,corymbia_dolichocarpa_2550,2550
corymbia_eximia,corymbia_eximia_632,632
corymbia_ferriticola,corymbia_ferriticola_2752,2752
corymbia_foelscheana,corymbia_foelscheana_2470,2470
corymbia_gummifera,corymbia_gummifera_1228,1228
corymbia_hendersonii,corymbia_hendersonii_701,701
corymbia_intermedia,corymbia_intermedia_708,708
corymbia_jacobsiana,corymbia_jacobsiana_2464,2464
corymbia_latifolia,corymbia_latifolia_1922,1922
corymbia_leichhardtii,corymbia_leichhardtii_1277,1277
corymbia_leptoloma,corymbia_leptoloma_1302,1302
corymbia_maculata,corymbia_maculata_1752,1752
corymbia_peltata,corymbia_peltata_2505,2505
corymbia_petalophylla,corymbia_petalophylla_1262,1262
corymbia_plena,corymbia_plena_2535,2535
corymbia_porrecta,corymbia_porrecta_2471,2471
corymbia_rhodops,corymbia_rhodops_1306,1306
corymbia_scabrida,corymbia_scabrida_1278,1278
corymbia_xanthope,corymbia_xanthope_2543,2543
corymbia_zygophylla,corymbia_zygophylla_1185,1185
eucalyptus_absita,eucalyptus_absita_1154,1154
eucalyptus_accedens,eucalyptus_accedens_1164,1164
eucalyptus_acies,eucalyptus_acies_225,225
eucalyptus_castrensis,eucalyptus_aenea_(e._castrensis)_5263,5263
eucalyptus_ancophila,eucalyptus_ancophila_646,646
eucalyptus_angophoroides,eucalyptus_angophoroides_1745,1745
eucalyptus_annulata,eucalyptus_annulata_206,206
eucalyptus_apodophylla,eucalyptus_apodophylla_2456,2456
eucalyptus_argillacea,eucalyptus_argillacea_4241,4241
eucalyptus_argophloia,eucalyptus_argophloia_686,686
eucalyptus_articulata,eucalyptus_articulata_520,520
eucalyptus_atrata,eucalyptus_atrata_1308,1308
eucalyptus_badjensis,eucalyptus_badjensis_1767,1767
eucalyptus_beaniana,eucalyptus_beaniana_6472,6472
eucalyptus_beyeriana,eucalyptus_beyeriana_1761,1761
eucalyptus_blaxellii,eucalyptus_blaxellii_272,272
eucalyptus_boliviana,eucalyptus_boliviana_6197,6197
eucalyptus_brachyandra,eucalyptus_brachyandra_4223,4223
eucalyptus_brevipes,eucalyptus_brevipes_299,299
eucalyptus_brevistylis,eucalyptus_brevistylis_1141,1141
eucalyptus_populnea,eucalyptus_brownii_1293,1293
eucalyptus_brunnea,eucalyptus_brunnea_669,669
eucalyptus_burdettiana,eucalyptus_burdettiana_2246,2246
eucalyptus_burracoppinensis,eucalyptus_burracoppinensis_306,306
eucalyptus_cadens,eucalyptus_cadens_1772,1772
eucalyptus_canaliculata,eucalyptus_canaliculata_1232,1232
eucalyptus_canobolensis,eucalyptus_canobolensis_1222,1222
eucalyptus_cephalocarpa,eucalyptus_cephalocarpa_1730,1730
eucalyptus_ceracea,eucalyptus_ceracea_1926,1926
eucalyptus_cerasiformis,eucalyptus_cerasiformis_329,329
eucalyptus_cloeziana,eucalyptus_cloeziana_696,696
eucalyptus_cneorifolia,eucalyptus_cneorifolia_75,75
eucalyptus_conglomerata,eucalyptus_conglomerata_719,719
eucalyptus_conica,eucalyptus_conica_747,747
eucalyptus_consideniana,eucalyptus_consideniana_611,611
eucalyptus_coronata,eucalyptus_coronata_2247,2247
eucalyptus_crenulata,eucalyptus_crenulata_1775,1775
eucalyptus_croajingolensis,eucalyptus_croajingolensis_1744,1744
eucalyptus_cuprea,eucalyptus_cuprea_3536,3536
eucalyptus_curtisii,eucalyptus_curtisii_2108,2108
eucalyptus_cyanophylla,eucalyptus_cyanophylla_983,983
eucalyptus_cyclostoma,eucalyptus_cyclostoma_125,125
eucalyptus_cylindriflora,eucalyptus_cylindriflora_144,144
eucalyptus_quinniorum,eucalyptus_cypellocarpa_(e._quinniorum)_2946,2946
eucalyptus_dawsonii,eucalyptus_dawsonii_743,743
eucalyptus_deanei,eucalyptus_deanei_633,633
eucalyptus_decolor,eucalyptus_decolor_2545,2545
eucalyptus_decorticans,eucalyptus_decorticans_1260,1260
eucalyptus_denticulata,eucalyptus_denticulata_1743,1743
eucalyptus_desmondensis,eucalyptus_desmondensis_192,192
eucalyptus_deuaensis,eucalyptus_deuaensis_1769,1769
eucalyptus_diptera,eucalyptus_diptera_146,146
eucalyptus_dolichorhyncha,eucalyptus_dolichorhyncha_152,152
eucalyptus_dorotoxylon,eucalyptus_doratoxylon_178,178
eucalyptus_dunnii,eucalyptus_dunnii_1257,1257
eucalyptus_extrica,eucalyptus_extrica_1092,1092
eucalyptus_farinosa,eucalyptus_farinosa_5136,5136
eucalyptus_fastigata,eucalyptus_fastigata_596,596
eucalyptus_foliosa,eucalyptus_foliosa_161,161
eucalyptus_fulgens,eucalyptus_fulgens_1729,1729
eucalyptus_fusiformis,eucalyptus_fusiformis_645,645
eucalyptus_gigantangion,eucalyptus_gigantangion_2483,2483
eucalyptus_glomerosa,eucalyptus_glomerosa_1508,1508
eucalyptus_gomphocephala,eucalyptus_gomphocephala_1148,1148
eucalyptus_goniocarpa,eucalyptus_goniocarpa_186,186
eucalyptus_granitica,eucalyptus_granitica_1305,1305
eucalyptus_gregoriensis,eucalyptus_gregoriensis_2447,2447
eucalyptus_gregsoniana,eucalyptus_gregsoniana_1756,1756
eucalyptus_haemastoma,eucalyptus_haemastoma_6795,6795
eucalyptus_halophila,eucalyptus_halophila_155,155
eucalyptus_houseana,eucalyptus_houseana_1911,1911
eucalyptus_howittiana,eucalyptus_howittiana_2526,2526
eucalyptus_johnsoniana,eucalyptus_johnsoniana_3547,3547
eucalyptus_kartzoffiana,eucalyptus_kartzoffiana_1765,1765
eucalyptus_koolpinensis,eucalyptus_koolpinensis_2486,2486
eucalyptus_kybeanensis,eucalyptus_kybeanensis_593,593
eucalyptus_laeliae,eucalyptus_laeliae_1150,1150
eucalyptus_laevopinea,eucalyptus_laevopinea_649,649
eucalyptus_latens,eucalyptus_latens_1613,1613
eucalyptus_latisinensis,eucalyptus_latisinensis_715,715
eucalyptus_ligustrina,eucalyptus_ligustrina_624,624
eucalyptus_lirata,eucalyptus_lirata_1917,1917
eucalyptus_famelica,eucalyptus_litorea_(e._famelica)_199,199
eucalyptus_livida,eucalyptus_livida_318,318
eucalyptus_longirostrata,eucalyptus_longirostrata_2112,2112
eucalyptus_lucens,eucalyptus_lucens_1353,1353
eucalyptus_mackintii,eucalyptus_mackintii_1737,1737
eucalyptus_malacoxylon,eucalyptus_malacoxylon_1368,1368
eucalyptus_melanophitra,eucalyptus_melanophitra_211,211
eucalyptus_michaeliana,eucalyptus_michaeliana_650,650
eucalyptus_microcorys,eucalyptus_microcorys_1238,1238
eucalyptus_microneura,eucalyptus_microneura_1326,1326
eucalyptus_microtheca,eucalyptus_microtheca_1338,1338
eucalyptus_misella,eucalyptus_misella_147,147
eucalyptus_mitchelliana,eucalyptus_mitchelliana_574,574
eucalyptus_muelleriana,eucalyptus_muelleriana_1753,1753
eucalyptus_newbeyi,eucalyptus_newbeyi_212,212
eucalyptus_nitens,eucalyptus_nitens_1766,1766
eucalyptus_nova-anglica,eucalyptus_nova-anglica_656,656
eucalyptus_oblonga,eucalyptus_oblonga_622,622
eucalyptus_ochrophloia,eucalyptus_ochrophloia_2119,2119
eucalyptus_odontocarpa,eucalyptus_odontocarpa_1199,1199
eucalyptus_olida,eucalyptus_olida_661,661
eucalyptus_ophitica,eucalyptus_ophitica_2099,2099
eucalyptus_orgadophila,eucalyptus_orgadophila_698,698
eucalyptus_oxymitra,eucalyptus_oxymitra_1704,1704
eucalyptus_pachycalyx,eucalyptus_pachycalyx_subsp._pachycalyx_1307,1307
eucalyptus_paliformis,eucalyptus_paliformis_592,592
eucalyptus_paludicola,eucalyptus_paludicola_69,69
eucalyptus_parvula,eucalyptus_parvula_591,591
eucalyptus_patellaris,eucalyptus_patellaris_1339,1339
eucalyptus_pendens,eucalyptus_pendens_256,256
eucalyptus_percostata,eucalyptus_percostata_1603,1603
eucalyptus_persistens,eucalyptus_persistens_1291,1291
eucalyptus_pilbarensis,eucalyptus_pilbarensis_1189,1189
eucalyptus_pilularis,eucalyptus_pilularis_644,644
eucalyptus_planchoniana,eucalyptus_planchoniana_663,663
eucalyptus_platydisca,eucalyptus_platydisca_133,133
eucalyptus_porosa,eucalyptus_porosa_482,482
eucalyptus_praetermissa,eucalyptus_praetermissa_213,213
eucalyptus_prava,eucalyptus_prava_671,671
eucalyptus_prominens,eucalyptus_prominens_1184,1184
eucalyptus_proxima,eucalyptus_proxima_3571,3571
eucalyptus_pulchella,eucalyptus_pulchella_1984,1984
eucalyptus_pumila,eucalyptus_pumila_636,636
eucalyptus_pyriformis,eucalyptus_pyriformis_1660,1660
eucalyptus_pyrocarpa,eucalyptus_pyrocarpa_2093,2093
eucalyptus_quadrangulata,eucalyptus_quadrangulata_618,618
eucalyptus_raveretiana,eucalyptus_raveretiana_1297,1297
eucalyptus_recurva,eucalyptus_recurva_1755,1755
eucalyptus_remota,eucalyptus_remota_812,812
eucalyptus_retusa,eucalyptus_retusa_4801,4801
eucalyptus_rhodantha,eucalyptus_rhodantha_282,282
eucalyptus_rhombica,eucalyptus_rhombica_2104,2104
eucalyptus_rhomboidea,eucalyptus_rhomboidea_2272,2272
eucalyptus_risdonii,eucalyptus_risdonii_1982,1982
eucalyptus_rubiginosa,eucalyptus_rubiginosa_2114,2114
eucalyptus_rummeryi,eucalyptus_rummeryi_1245,1245
eucalyptus_scopulorum,eucalyptus_scopulorum_2927,2927
eucalyptus_seeana,eucalyptus_seeana_2089,2089
eucalyptus_semota,eucalyptus_semota_2193,2193
eucalyptus_sessilis,eucalyptus_sessilis_1352,1352
eucalyptus_sicilifolia,eucalyptus_sicilifolia_1276,1276
eucalyptus_siderophloia,eucalyptus_siderophloia_717,717
eucalyptus_sieberi,eucalyptus_sieberi_1749,1749
eucalyptus_similis,eucalyptus_similis_1282,1282
eucalyptus_sphaerocarpa,eucalyptus_sphaerocarpa_704,704
eucalyptus_splendens,eucalyptus_splendens_1722,1722
eucalyptus_squamosa,eucalyptus_squamosa_2072,2072
eucalyptus_staeri,eucalyptus_staeri_1133,1133
eucalyptus_stenostoma,eucalyptus_stenostoma_2900,2900
eucalyptus_stoatei,eucalyptus_stoatei_181,181
eucalyptus_stowardii,eucalyptus_stowardii_281,281
eucalyptus_sturgissiana,eucalyptus_sturgissiana_1757,1757
eucalyptus_suberea,eucalyptus_suberea_3520,3520
eucalyptus_tenella,eucalyptus_tenella_763,763
eucalyptus_depauperata,eucalyptus_tenera_(e._depauperata)_5053,5053
eucalyptus_tenuis,eucalyptus_tenuis_326,326
eucalyptus_tetrapleura,eucalyptus_tetrapleura_1242,1242
eucalyptus_tetrodonta,eucalyptus_tetrodonta_1918,1918
eucalyptus_thozetiana,eucalyptus_thozetiana_1281,1281
eucalyptus_torquata,eucalyptus_torquata_135,135
eucalyptus_tortilis,eucalyptus_tortilis_130,130
eucalyptus_transcontinentalis,eucalyptus_transcontinentalis_550,550
eucalyptus_tumida,eucalyptus_tumida_159,159
eucalyptus_valens,eucalyptus_valens_158,158
eucalyptus_vesiculosa,eucalyptus_vesiculosa_3565,3565
eucalyptus_virens,eucalyptus_virens_2116,2116
