phylo.tip.label.match,new.tip,unique.ID,new.tip_unique.ID,edge.length
angophora_costata,angophora_costata_subsp._costata,2073,angophora_costata_subsp._costata_2073,NA
angophora_costata,angophora_costata_subsp._costata,6796,angophora_costata_subsp._costata_6796,NA
angophora_costata,angophora_costata_subsp._euryphylla,2082,angophora_costata_subsp._euryphylla_2082,NA
angophora_costata,angophora_costata_subsp._euryphylla,3206,angophora_costata_subsp._euryphylla_3206,NA
angophora_floribunda,angophora_floribunda,2551,angophora_floribunda_2551,NA
angophora_hispida,angophora_hispida,6746,angophora_hispida_6746,NA
angophora_hispida,angophora_hispida,Ahisp_1,angophora_hispida_Ahisp_1,NA
angophora_inopina,angophora_inopina,6258,angophora_inopina_6258,NA
angophora_costata,angophora_leiocarpa,2103,angophora_leiocarpa_2103,NA
angophora_melanoxylon,angophora_melanoxylon,2552,angophora_melanoxylon_2552,NA
angophora_subvelutina,angophora_subvelutina,3204,angophora_subvelutina_3204,NA
corymbia_abbreviata,corymbia_abbreviata,1932,corymbia_abbreviata_1932,NA
corymbia_abergiana,corymbia_abergiana,1303,corymbia_abergiana_1303,NA
corymbia_arenaria,corymbia_arnhemensis,2484,corymbia_arnhemensis_2484,NA
corymbia_aureola,corymbia_aureola,2542,corymbia_aureola_2542,NA
corymbia_bella,corymbia_bella,4204,corymbia_bella_4204,NA
corymbia_bleeseri,corymbia_bleeseri,1923,corymbia_bleeseri_1923,NA
corymbia_bloxsomei,corymbia_bloxsomei,687,corymbia_bloxsomei_687,NA
corymbia_brachycarpa,corymbia_brachycarpa,2534,corymbia_brachycarpa_2534,NA
corymbia_brachycarpa,corymbia_brachycarpa,5141,corymbia_brachycarpa_5141,NA
corymbia_bunites,corymbia_bunites,711,corymbia_bunites_711,NA
corymbia_cadophora,corymbia_cadophora_subsp._cadophora,1905,corymbia_cadophora_subsp._cadophora_1905,NA
corymbia_cadophora,corymbia_cadophora_subsp._pliantha,1929,corymbia_cadophora_subsp._pliantha_1929,NA
corymbia_cadophora,corymbia_cadophora_subsp._polychroma,5858,corymbia_cadophora_subsp._polychroma_5858,NA
corymbia_calophylla,corymbia_calophylla,229,corymbia_calophylla_229,NA
corymbia_calophylla,corymbia_calophylla,1160,corymbia_calophylla_1160,NA
corymbia_calophylla,corymbia_calophylla,3421,corymbia_calophylla_3421,NA
corymbia_calophylla,corymbia_calophylla,6707,corymbia_calophylla_6707,NA
corymbia_aspera,corymbia_candida,7230,corymbia_candida_7230,NA
corymbia_dichromophloia,corymbia_capricornia,1335,corymbia_capricornia_1335,NA
corymbia_dichromophloia,corymbia_capricornia,4192,corymbia_capricornia_4192,NA
corymbia_papillosa,corymbia_chartacea,2474,corymbia_chartacea_2474,NA
corymbia_chippendalei,corymbia_chippendalei,2695,corymbia_chippendalei_2695,NA
