phylo.tip.label.match,new.tip_unique.ID,edge.length
angophora_costata,angophora_costata_subsp._costata_2073,NA
angophora_costata,angophora_costata_subsp._costata_6796,NA
angophora_costata,angophora_costata_subsp._euryphylla_2082,NA
angophora_costata,angophora_costata_subsp._euryphylla_3206,NA
angophora_floribunda,angophora_floribunda_2551,NA
angophora_hispida,angophora_hispida_6746,NA
angophora_hispida,angophora_hispida_Ahisp_1,NA
angophora_inopina,angophora_inopina_6258,NA
angophora_costata,angophora_leiocarpa_2103,NA
angophora_melanoxylon,angophora_melanoxylon_2552,NA
angophora_subvelutina,angophora_subvelutina_3204,NA
corymbia_abbreviata,corymbia_abbreviata_1932,NA
corymbia_abergiana,corymbia_abergiana_1303,NA
corymbia_arenaria,corymbia_arnhemensis_2484,NA
corymbia_aureola,corymbia_aureola_2542,NA
corymbia_bella,corymbia_bella_4204,NA
corymbia_bleeseri,corymbia_bleeseri_1923,NA
corymbia_bloxsomei,corymbia_bloxsomei_687,NA
corymbia_brachycarpa,corymbia_brachycarpa_2534,NA
corymbia_brachycarpa,corymbia_brachycarpa_5141,NA
corymbia_bunites,corymbia_bunites_711,NA
corymbia_cadophora,corymbia_cadophora_subsp._cadophora_1905,NA
corymbia_cadophora,corymbia_cadophora_subsp._pliantha_1929,NA
corymbia_cadophora,corymbia_cadophora_subsp._polychroma_5858,NA
corymbia_calophylla,corymbia_calophylla_229,NA
corymbia_calophylla,corymbia_calophylla_1160,NA
corymbia_calophylla,corymbia_calophylla_3421,NA
corymbia_calophylla,corymbia_calophylla_6707,NA
corymbia_aspera,corymbia_candida_7230,NA
corymbia_dichromophloia,corymbia_capricornia_1335,NA
corymbia_dichromophloia,corymbia_capricornia_4192,NA
corymbia_papillosa,corymbia_chartacea_2474,NA
corymbia_chippendalei,corymbia_chippendalei_2695,NA
corymbia_chippendalei,corymbia_chippendalei_4264,NA
corymbia_chippendalei,corymbia_chippendalei_4288,NA
corymbia_haematoxylon,corymbia_chlorolampra_2213,NA
corymbia_haematoxylon,corymbia_chlorolampra_5076,NA
corymbia_haematoxylon,corymbia_chlorolampra_7227,NA
corymbia_citriodora,corymbia_citriodora_702,NA
corymbia_brachycarpa,corymbia_clandestina_2541,NA
corymbia_clarksoniana,corymbia_clarksoniana_2511,NA
corymbia_erythrophloia,corymbia_cliftoniana_1940,NA
corymbia_erythrophloia,corymbia_cliftoniana_5851,NA
corymbia_collina,corymbia_collina_1915,NA
corymbia_greeniana,corymbia_dampieri_1900,NA
corymbia_greeniana,corymbia_dampieri_(c._greeniana)_1906,NA
corymbia_deserticola,corymbia_deserticola_subsp._deserticola_542,NA
corymbia_deserticola,corymbia_deserticola_subsp._deserticola_4267,NA
corymbia_deserticola,corymbia_deserticola_subsp._deserticola_5750,NA
corymbia_deserticola,corymbia_deserticola_subsp._mesogeotica_2439,NA
corymbia_dichromophloia,corymbia_dichromophloia_2463,NA
corymbia_dichromophloia,corymbia_dichromophloia_1928,NA
corymbia_dimorpha,corymbia_dimorpha_2528,NA
corymbia_dolichocarpa,corymbia_dolichocarpa_2550,NA
corymbia_dichromophloia,corymbia_drysdalensis_1907,NA
corymbia_ellipsoidea,corymbia_ellipsoidea_5112,NA
corymbia_eremaea,corymbia_eremaea_subsp._eremaea_1210,NA
corymbia_eremaea,corymbia_eremaea_subsp._eremaea_1708,NA
corymbia_eremaea,corymbia_eremaea_subsp._oligiocarpa_1208,NA
corymbia_erythrophloia,corymbia_erythrophloia_2530,NA
corymbia_eximia,corymbia_eximia_632,NA
corymbia_ferriticola,corymbia_ferriticola_2752,NA
corymbia_ferruginea,corymbia_ferruginea_subsp._ferruginea_2466,NA
corymbia_ferruginea,corymbia_ferruginea_subsp._stypophylla_1336,NA
corymbia_ferruginea,corymbia_ferruginea_subsp._stypophylla_2443,NA
corymbia_ficifolia,corymbia_ficifolia_1138,NA
corymbia_ficifolia,corymbia_ficifolia_3761,NA
corymbia_ficifolia,corymbia_ficifolia_5523,NA
corymbia_foelscheana,corymbia_foelscheana_2470,NA
corymbia_grandifolia,corymbia_grandifolia_subsp._lamprocardia_2461,NA
corymbia_grandifolia,corymbia_grandifolia_subsp._longa_4215,NA
corymbia_gummifera,corymbia_gummifera_1228,NA
corymbia_haematoxylon,corymbia_haematoxylon_1147,NA
corymbia_hamersleyana,corymbia_hamersleyana_1190,NA
corymbia_hamersleyana,corymbia_hamersleyana_4260,NA
corymbia_hendersonii,corymbia_hendersonii_701,NA
corymbia_intermedia,corymbia_intermedia_708,NA
corymbia_jacobsiana,corymbia_jacobsiana_2464,NA
corymbia_latifolia,corymbia_latifolia_1922,NA
corymbia_leichhardtii,corymbia_leichhardtii_1277,NA
corymbia_lenziana,corymbia_lenziana_537,NA
corymbia_lenziana,corymbia_lenziana_5733,NA
corymbia_leptoloma,corymbia_leptoloma_1302,NA
corymbia_ligans,corymbia_ligans_2527,NA
corymbia_ligans,corymbia_ligans_(subsp._novacastrensis)_2504,NA
corymbia_maculata,corymbia_maculata_1752,NA
corymbia_henryi,corymbia_maculata_(c._henryi)_1259,NA
corymbia_henryi,corymbia_maculata_(c._henryi)_2092,NA
corymbia_nesophila,corymbia_nesophila_1319,NA
corymbia_nesophila,corymbia_nesophila_2515,NA
corymbia_dichromophloia,corymbia_oocarpa_2479,NA
corymbia_opaca,corymbia_opaca_1196,NA
corymbia_opaca,corymbia_opaca_2434,NA
corymbia_pachycarpa,corymbia_pachycarpa_1939,NA
corymbia_pachycarpa,corymbia_pachycarpa_(subsp._glabrescens)_1198,NA
corymbia_papillosa,corymbia_papillosa_4207,NA
corymbia_papillosa,corymbia_papillosa_(subsp._globifera)_5806,NA
corymbia_peltata,corymbia_peltata_2505,NA
corymbia_petalophylla,corymbia_petalophylla_1262,NA
corymbia_plena,corymbia_plena_2535,NA
corymbia_ellipsoidea,corymbia_pocillum_2497,NA
corymbia_polycarpa,corymbia_polycarpa_1902,NA
corymbia_polycarpa,corymbia_polycarpa_4197,NA
corymbia_polysciada,corymbia_polysciada_2457,NA
corymbia_polysciada,corymbia_polysciada_4218,NA
corymbia_porrecta,corymbia_porrecta_2471,NA
corymbia_ptychocarpa,corymbia_ptychocarpa_subsp._aptycha_2476,NA
corymbia_ptychocarpa,corymbia_ptychocarpa_subsp._ptychocarpa_1343,NA
corymbia_ptychocarpa,corymbia_ptychocarpa_subsp._ptychocarpa_1912,NA
corymbia_rhodops,corymbia_rhodops_1306,NA
corymbia_scabrida,corymbia_scabrida_1278,NA
corymbia_arenaria,corymbia_serendipita_2502,NA
corymbia_pachycarpa,corymbia_sphaerica_2437,NA
corymbia_stockeri,corymbia_stockeri_subsp._peninsularis_1318,NA
corymbia_stockeri,corymbia_stockeri_subsp._peninsularis_2513,NA
corymbia_stockeri,corymbia_stockeri_subsp._stockeri_2507,NA
corymbia_stockeri,corymbia_stockeri_subsp._stockeri_(c._lamprophylla)_1290,NA
corymbia_terminalis,corymbia_terminalis_2120,NA
corymbia_terminalis,corymbia_terminalis_2449,NA
corymbia_terminalis,corymbia_terminalis_4175,NA
corymbia_trachyphloia,corymbia_trachyphloia_subsp._amphistomatica_684,NA
corymbia_trachyphloia,corymbia_trachyphloia_subsp._amphistomatica_2084,NA
corymbia_trachyphloia,corymbia_trachyphloia_subsp._trachyphloia_714,NA
corymbia_trachyphloia,corymbia_trachyphloia_subsp._trachyphloia_2110,NA
corymbia_trachyphloia,corymbia_trachyphloia_subsp._trachyphloia_5128,NA
corymbia_erythrophloia,corymbia_umbonata_2488,NA
corymbia_citriodora,corymbia_variegata_1246,NA
corymbia_citriodora,corymbia_citriodora_721,NA
corymbia_watsoniana,corymbia_watsoniana_subsp._capillata_2547,NA
corymbia_watsoniana,corymbia_watsoniana_subsp._capillata_(c._catenaria)_700,NA
corymbia_watsoniana,corymbia_watsoniana_subsp._watsoniana_688,NA
corymbia_xanthope,corymbia_xanthope_2543,NA
corymbia_zygophylla,corymbia_zygophylla_1185,NA
eucalyptus_absita,eucalyptus_absita_1154,NA
eucalyptus_acaciiformis,eucalyptus_acaciiformis_657,NA
eucalyptus_acaciiformis,eucalyptus_acaciiformis_6217,NA
eucalyptus_accedens,eucalyptus_accedens_1164,NA
eucalyptus_acies,eucalyptus_acies_225,NA
eucalyptus_acmenoides,eucalyptus_acmenoides_2087,NA
eucalyptus_acmenoides,eucalyptus_acmenoides_(e._contracta)_6456,NA
eucalyptus_acmenoides,eucalyptus_acmenoides_(e._uvida)_1299,NA
eucalyptus_decipiens,eucalyptus_adesmophloia_216,NA
eucalyptus_decipiens,eucalyptus_adesmophloia_-_e._obesa_intergrade_(e._communalis)_200,NA
eucalyptus_viridis,eucalyptus_aenea_2083,NA
eucalyptus_castrensis,eucalyptus_aenea_(e._castrensis)_5263,NA
eucalyptus_aequioperta,eucalyptus_aequioperta_3448,NA
eucalyptus_aequioperta,eucalyptus_aequioperta_4677,NA
eucalyptus_aequioperta,eucalyptus_aequioperta_5458,NA
eucalyptus_trivalvis,eucalyptus_aff._trivalva_5200,NA
eucalyptus_umbra,eucalyptus_aff._umbra_(?helidonica)_2934,NA
eucalyptus_agglomerata,eucalyptus_agglomerata_1754,NA
eucalyptus_aggregata,eucalyptus_aggregata_1224,NA
eucalyptus_aggregata,eucalyptus_aggregata_7365,NA
eucalyptus_cypellocarpa,eucalyptus_cypellocarpa_356,NA
eucalyptus_cypellocarpa,eucalyptus_cypellocarpa_4745,NA
eucalyptus_kingsmillii,eucalyptus_alatissima_7,NA
eucalyptus_kingsmillii,eucalyptus_alatissima_1530,NA
eucalyptus_alba,eucalyptus_alba_var._australasica_2475,NA
eucalyptus_alba,eucalyptus_alba_var._australasica_4211,NA
eucalyptus_albens,eucalyptus_albens_1676,NA
eucalyptus_albens,eucalyptus_albens_2898,NA
eucalyptus_albida,eucalyptus_albida_2214,NA
eucalyptus_albida,eucalyptus_albida_3437,NA
eucalyptus_albida,eucalyptus_albida_3699,NA
eucalyptus_albopurpurea,eucalyptus_albopurpurea_942,NA
eucalyptus_albopurpurea,eucalyptus_albopurpurea_3180,NA
eucalyptus_albopurpurea,eucalyptus_albopurpurea_Ealb_1,NA
eucalyptus_albopurpurea,eucalyptus_albopurpurea_(atypical_form)_825,NA
eucalyptus_alipes,eucalyptus_alipes_3675,NA
eucalyptus_alipes,eucalyptus_alipes_3678,NA
eucalyptus_alipes,eucalyptus_alipes_5480,NA
eucalyptus_alligatrix,eucalyptus_alligatrix_subsp._alligatrix_1774,NA
eucalyptus_alligatrix,eucalyptus_alligatrix_subsp._alligatrix_(subsp._limaensis)_1773,NA
eucalyptus_alligatrix,eucalyptus_alligatrix_subsp._miscella_776,NA
eucalyptus_alligatrix,eucalyptus_alpina_7046,NA
eucalyptus_nudicaulis,eucalyptus_ammophila_1284,NA
eucalyptus_nudicaulis,eucalyptus_ammophila_6497,NA
eucalyptus_amplifolia,eucalyptus_amplifolia_subsp._amplifolia_604,NA
eucalyptus_amplifolia,eucalyptus_amplifolia_subsp._sessiliflora_668,NA
eucalyptus_amygdalina,eucalyptus_amygdalina_1987,NA
eucalyptus_amygdalina,eucalyptus_amygdalina_6723,NA
eucalyptus_ancophila,eucalyptus_ancophila_646,NA
eucalyptus_andrewsii,eucalyptus_andrewsii_670,NA
eucalyptus_angophoroides,eucalyptus_angophoroides_1745,NA
eucalyptus_angulosa,eucalyptus_angulosa_1136,NA
eucalyptus_angulosa,eucalyptus_angulosa_3706,NA
eucalyptus_angulosa,eucalyptus_angulosa_5983,NA
eucalyptus_angulosa,eucalyptus_angulosa_3746,NA
eucalyptus_angulosa,eucalyptus_angulosa_(e._grossifolia)_3554,NA
eucalyptus_angulosa,eucalyptus_angulosa_(sa_variant)_939,NA
eucalyptus_angulosa,eucalyptus_angulosa_(sa_variant)_5905,NA
eucalyptus_angustissima,eucalyptus_angustissima_150,NA
eucalyptus_angustissima,eucalyptus_angustissima_2264,NA
eucalyptus_angustissima,eucalyptus_angustissima_5996,NA
eucalyptus_kessellii,eucalyptus_annettae_6359,NA
eucalyptus_annulata,eucalyptus_annulata_206,NA
eucalyptus_apiculata,eucalyptus_apiculata_617,NA
eucalyptus_apiculata,eucalyptus_apiculata_(e._laophila)_772,NA
eucalyptus_apodophylla,eucalyptus_apodophylla_2456,NA
eucalyptus_apothalassica,eucalyptus_apothalassica_1263,NA
eucalyptus_approximans,eucalyptus_approximans_2090,NA
eucalyptus_aquilina,eucalyptus_aquilina_176,NA
eucalyptus_aquilina,eucalyptus_aquilina_4604,NA
eucalyptus_arachnaea,eucalyptus_arachnaea_subsp._arachnaea_296,NA
eucalyptus_arachnaea,eucalyptus_arachnaea_subsp._arrecta_2216,NA
eucalyptus_arachnaea,eucalyptus_arachnaea_subsp._arrecta_5556,NA
eucalyptus_arborella,eucalyptus_arborella_1127,NA
eucalyptus_arborella,eucalyptus_arborella_4803,NA
eucalyptus_aromaphloia,eucalyptus_arcana_1800,NA
eucalyptus_aromaphloia,eucalyptus_arcana_4319,NA
eucalyptus_gunnii,eucalyptus_archeri_1990,NA
eucalyptus_gunnii,eucalyptus_archeri_7389,NA
eucalyptus_arenacea,eucalyptus_arenacea_1588,NA
eucalyptus_argillacea,eucalyptus_argillacea_4241,NA
eucalyptus_argophloia,eucalyptus_argophloia_686,NA
eucalyptus_argutifolia,eucalyptus_argutifolia_249,NA
eucalyptus_argutifolia,eucalyptus_argutifolia_4626,NA
eucalyptus_lucasii,eucalyptus_aridomontana_1191,NA
eucalyptus_lucasii,eucalyptus_aridomontana_5766,NA
eucalyptus_lucasii,eucalyptus_aridomontana_5778,NA
eucalyptus_erythronema,eucalyptus_armillata_287,NA
eucalyptus_aromaphloia,eucalyptus_aromaphloia_4313,NA
eucalyptus_aromaphloia,eucalyptus_aromaphloia_(smooth_bark)_355,NA
eucalyptus_articulata,eucalyptus_articulata_520,NA
eucalyptus_aspersa,eucalyptus_aspersa_1149,NA
eucalyptus_aspersa,eucalyptus_aspersa_1888,NA
eucalyptus_aspersa,eucalyptus_aspersa_1890,NA
eucalyptus_aspratilis,eucalyptus_aspratilis_328,NA
eucalyptus_aspratilis,eucalyptus_aspratilis_7001,NA
eucalyptus_aspratilis,eucalyptus_aspratilis_-_e._sporadica_intergrade_5468,NA
eucalyptus_assimilans,eucalyptus_assimilans_1826,NA
eucalyptus_assimilans,eucalyptus_assimilans_4551,NA
eucalyptus_astringens,eucalyptus_astringens_subsp._astringens_3423,NA
eucalyptus_astringens,eucalyptus_astringens_subsp._astringens_3438,NA
eucalyptus_astringens,eucalyptus_astringens_subsp._astringens_3503,NA
eucalyptus_astringens,eucalyptus_astringens_subsp._redacta_194,NA
eucalyptus_astringens,eucalyptus_astringens_subsp._redacta_214,NA
eucalyptus_astringens,eucalyptus_astringens_subsp._redacta_2243,NA
eucalyptus_astringens,eucalyptus_astringens_subsp._redacta_(pink_form)_3585,NA
eucalyptus_atrata,eucalyptus_atrata_1308,NA
eucalyptus_miniata,eucalyptus_aurantiaca_1903,NA
eucalyptus_miniata,eucalyptus_aurantiaca_4224,NA
eucalyptus_arenacea,eucalyptus_aurifodina_6104,NA
eucalyptus_badjensis,eucalyptus_badjensis_1767,NA
eucalyptus_baeuerlenii,eucalyptus_baeuerlenii_1227,NA
eucalyptus_baeuerlenii,eucalyptus_baeuerlenii_6263,NA
eucalyptus_baeuerlenii,eucalyptus_baeuerlenii_6312,NA
eucalyptus_baileyana,eucalyptus_baileyana_665,NA
eucalyptus_baileyana,eucalyptus_baileyana_2938,NA
eucalyptus_baileyana,eucalyptus_baileyana_6455,NA
eucalyptus_bakeri,eucalyptus_bakeri_1269,NA
eucalyptus_bakeri,eucalyptus_bakeri_6177,NA
eucalyptus_balladoniensis,eucalyptus_balladoniensis_subsp._balladoniensis_118,NA
eucalyptus_balladoniensis,eucalyptus_balladoniensis_subsp._balladoniensis_3602,NA
eucalyptus_balladoniensis,eucalyptus_balladoniensis_subsp._sedens_347,NA
eucalyptus_balladoniensis,eucalyptus_balladoniensis_subsp._sedens_2784,NA
eucalyptus_interstans,eucalyptus_bancroftii_1241,NA
eucalyptus_goniocalyx,eucalyptus_banksii_653,NA
eucalyptus_barberi,eucalyptus_barberi_1989,NA
eucalyptus_barberi,eucalyptus_barberi_7412,NA
eucalyptus_ovularis,eucalyptus_baudiniana_5577,NA
eucalyptus_ovularis,eucalyptus_baudiniana_-_e._oraria_intergrade_5575,NA
eucalyptus_baueriana,eucalyptus_baueriana_1734,NA
eucalyptus_baueriana,eucalyptus_baueriana_(subsp._deddickensis)_7378,NA
eucalyptus_baueriana,eucalyptus_baueriana_(subsp._thalassina)_6097,NA
eucalyptus_baxteri,eucalyptus_baxteri_815,NA
