phylo.tip.label.match,new.tip,unique.ID,new.tip_unique.ID
angophora_costata,angophora_costata_subsp._costata,2073,angophora_costata_subsp._costata_2073
angophora_costata,angophora_costata_subsp._costata,6796,angophora_costata_subsp._costata_6796
angophora_costata,angophora_costata_subsp._euryphylla,2082,angophora_costata_subsp._euryphylla_2082
angophora_costata,angophora_costata_subsp._euryphylla,3206,angophora_costata_subsp._euryphylla_3206
angophora_hispida,angophora_hispida,6746,angophora_hispida_6746
angophora_hispida,angophora_hispida,Ahisp_1,angophora_hispida_Ahisp_1
angophora_costata,angophora_leiocarpa,2103,angophora_leiocarpa_2103
corymbia_arenaria,corymbia_arnhemensis,2484,corymbia_arnhemensis_2484
corymbia_brachycarpa,corymbia_brachycarpa,2534,corymbia_brachycarpa_2534
corymbia_brachycarpa,corymbia_brachycarpa,5141,corymbia_brachycarpa_5141
corymbia_cadophora,corymbia_cadophora_subsp._cadophora,1905,corymbia_cadophora_subsp._cadophora_1905
corymbia_cadophora,corymbia_cadophora_subsp._pliantha,1929,corymbia_cadophora_subsp._pliantha_1929
corymbia_cadophora,corymbia_cadophora_subsp._polychroma,5858,corymbia_cadophora_subsp._polychroma_5858
corymbia_calophylla,corymbia_calophylla,229,corymbia_calophylla_229
corymbia_calophylla,corymbia_calophylla,1160,corymbia_calophylla_1160
corymbia_calophylla,corymbia_calophylla,3421,corymbia_calophylla_3421
corymbia_calophylla,corymbia_calophylla,6707,corymbia_calophylla_6707
corymbia_dichromophloia,corymbia_capricornia,1335,corymbia_capricornia_1335
corymbia_dichromophloia,corymbia_capricornia,4192,corymbia_capricornia_4192
corymbia_papillosa,corymbia_chartacea,2474,corymbia_chartacea_2474
corymbia_chippendalei,corymbia_chippendalei,2695,corymbia_chippendalei_2695
corymbia_chippendalei,corymbia_chippendalei,4264,corymbia_chippendalei_4264
corymbia_chippendalei,corymbia_chippendalei,4288,corymbia_chippendalei_4288
corymbia_haematoxylon,corymbia_chlorolampra,2213,corymbia_chlorolampra_2213
corymbia_haematoxylon,corymbia_chlorolampra,5076,corymbia_chlorolampra_5076
corymbia_haematoxylon,corymbia_chlorolampra,7227,corymbia_chlorolampra_7227
corymbia_citriodora,corymbia_citriodora,702,corymbia_citriodora_702
corymbia_brachycarpa,corymbia_clandestina,2541,corymbia_clandestina_2541
corymbia_erythrophloia,corymbia_cliftoniana,1940,corymbia_cliftoniana_1940
corymbia_erythrophloia,corymbia_cliftoniana,5851,corymbia_cliftoniana_5851
corymbia_greeniana,corymbia_dampieri,1900,corymbia_dampieri_1900
corymbia_greeniana,corymbia_dampieri_(c._greeniana),1906,corymbia_dampieri_(c._greeniana)_1906
corymbia_deserticola,corymbia_deserticola_subsp._deserticola,542,corymbia_deserticola_subsp._deserticola_542
corymbia_deserticola,corymbia_deserticola_subsp._deserticola,4267,corymbia_deserticola_subsp._deserticola_4267
corymbia_deserticola,corymbia_deserticola_subsp._deserticola,5750,corymbia_deserticola_subsp._deserticola_5750
corymbia_deserticola,corymbia_deserticola_subsp._mesogeotica,2439,corymbia_deserticola_subsp._mesogeotica_2439
corymbia_dichromophloia,corymbia_dichromophloia,2463,corymbia_dichromophloia_2463
corymbia_dichromophloia,corymbia_dichromophloia,1928,corymbia_dichromophloia_1928
corymbia_dichromophloia,corymbia_drysdalensis,1907,corymbia_drysdalensis_1907
corymbia_ellipsoidea,corymbia_ellipsoidea,5112,corymbia_ellipsoidea_5112
corymbia_eremaea,corymbia_eremaea_subsp._eremaea,1210,corymbia_eremaea_subsp._eremaea_1210
corymbia_eremaea,corymbia_eremaea_subsp._eremaea,1708,corymbia_eremaea_subsp._eremaea_1708
corymbia_eremaea,corymbia_eremaea_subsp._oligiocarpa,1208,corymbia_eremaea_subsp._oligiocarpa_1208
corymbia_erythrophloia,corymbia_erythrophloia,2530,corymbia_erythrophloia_2530
corymbia_ferruginea,corymbia_ferruginea_subsp._ferruginea,2466,corymbia_ferruginea_subsp._ferruginea_2466
corymbia_ferruginea,corymbia_ferruginea_subsp._stypophylla,1336,corymbia_ferruginea_subsp._stypophylla_1336
corymbia_ferruginea,corymbia_ferruginea_subsp._stypophylla,2443,corymbia_ferruginea_subsp._stypophylla_2443
corymbia_ficifolia,corymbia_ficifolia,1138,corymbia_ficifolia_1138
corymbia_ficifolia,corymbia_ficifolia,3761,corymbia_ficifolia_3761
corymbia_ficifolia,corymbia_ficifolia,5523,corymbia_ficifolia_5523
corymbia_grandifolia,corymbia_grandifolia_subsp._lamprocardia,2461,corymbia_grandifolia_subsp._lamprocardia_2461
corymbia_grandifolia,corymbia_grandifolia_subsp._longa,4215,corymbia_grandifolia_subsp._longa_4215
corymbia_haematoxylon,corymbia_haematoxylon,1147,corymbia_haematoxylon_1147
corymbia_hamersleyana,corymbia_hamersleyana,1190,corymbia_hamersleyana_1190
