UniqueID,Yearplanted.x,Drought2006Scale.mean,Drought2006Scale.sd,Drought2006Scale.l,Drought2019Scale.mean,Drought2019Scale.sd,Drought2019Scale.l,Drought2020Scale.mean,Drought2020Scale.sd,Drought2020Scale.l,Taxonsimplified_DN,Provenance.x,latitude,longitude,AICorrected,Aridclass,MAT,MTWarmQ,MTColdQ,AP,PWetM,PDryM,PS,PWetQ,PDryQ,PWarmQ,PColdQ,MDR,ISOT,TS,MaxTWarmM,MinTCM,TAR,MTWetQ,MeanTDryQ,et0_yr_corrected,PrecDeficit,Taxonthornhill_AC_VPM,Thornhill_bionomial_tip_match,MotherTreeHeight_AVG_m,RegenStrategysimplified,height_max_m,Habit,LeafLenghtavg_mm,LeafWidth_avg_mm,LeafAreaEst_cm2,n,Diamthickness.mm..mean,Diamthickness.mm..sd,Diamthickness.mm..l,Wooddensity.g.cm3..mean,Wooddensity.g.cm3..sd,Wooddensity.g.cm3..l,Average.Size_cm2.mean,Average.Size_cm2.sd,Average.Size_cm2.l,SLA_m2.kg.mean,SLA_m2.kg.sd,SLA_m2.kg.l,d13C.mean,d13C.sd,d13C.l,totalN.mean,totalN.sd,totalN.l,totalC.mean,totalC.sd,totalC.l
7,1993,0,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus alatissima,"Wanna Lakes, WA",-28.40833333,128.0083333,0.0053,Hyper arid,22.15833282,29.76666641,13.53333282,15,4,0,60.30226898,9,0,0,9,14,45.01607513,665.1514893,37.29999924,6.199999809,31.09999847,14.75,28.71666718,0.2822,-14.7178,NA,Eucalyptus kingsmillii,8,Lignotuber resprouter,7,Mallee,92.5,20,12.95,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus alatissima,"Wanna Lakes, WA",-28.40833333,128.0083333,0.0053,Hyper arid,22.15833282,29.76666641,13.53333282,15,4,0,60.30226898,9,0,0,9,14,45.01607513,665.1514893,37.29999924,6.199999809,31.09999847,14.75,28.71666718,0.2822,-14.7178,NA,Eucalyptus kingsmillii,8,Lignotuber resprouter,7,Mallee,92.5,20,12.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1993,0,0,2,0,0,2,0,0,2,Eucalyptus leptopoda subsp. elevata,"Ilkurlka, WA",-28.35833333,127.525,0.0028,Hyper arid,22.39166641,29.73333359,13.83333397,8,1,0,29.54195786,3,0,0,3,14.01666641,45.50865555,655.2752075,37.20000076,6.400000095,30.80000114,15.1833334,29.73333359,0.2832,-7.7168,Eucalyptus leptopoda subsp. elevata,NA,2.5,Lignotuber resprouter,5,Mallee,85,10,5.95,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus leptopoda subsp. elevata,"Ilkurlka, WA",-28.35833333,127.525,0.0028,Hyper arid,22.39166641,29.73333359,13.83333397,8,1,0,29.54195786,3,0,0,3,14.01666641,45.50865555,655.2752075,37.20000076,6.400000095,30.80000114,15.1833334,29.73333359,0.2832,-7.7168,Eucalyptus leptopoda subsp. elevata,NA,2.5,Lignotuber resprouter,5,Mallee,85,10,5.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,1994,0,0,4,0,0,4,0,0,4,Eucalyptus lansdowneana,"Scrubby Peak, SA",-32.59166667,135.2583333,0.2786,Semiarid,18.70833397,25.03333282,11.78333282,541,140,0,113.9093323,360,0,0,360,10.13333321,42.57703018,548.3356323,30.5,6.699999809,23.79999924,11.78333282,24.78333282,0.1941,-540.8059,Eucalyptus lansdowneana,eucalyptus lansdowneana,4,Lignotuber resprouter,6,Mallee,120,21,17.64,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,1998,0,0,4,0,0,4,0,0,4,Eucalyptus lansdowneana,"Scrubby Peak, SA",-32.59166667,135.2583333,0.2786,Semiarid,18.70833397,25.03333282,11.78333282,541,140,0,113.9093323,360,0,0,360,10.13333321,42.57703018,548.3356323,30.5,6.699999809,23.79999924,11.78333282,24.78333282,0.1941,-540.8059,Eucalyptus lansdowneana,eucalyptus lansdowneana,4,Lignotuber resprouter,6,Mallee,120,21,17.64,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,1993,0,0,4,0,0,4,0,0,4,Eucalyptus calcareana,"Lock, SA",-33.59416667,135.5944444,0.1904,Arid,16.8125,21.93333244,11.5666666,370,57,11,52.42546463,161,40,45,161,13.375,54.14979935,421.9927063,30.29999924,5.599999905,24.69999886,11.5666666,21.78333282,0.1942,-369.8058,Eucalyptus calcareana,eucalyptus calcareana,5,Lignotuber resprouter,8,Mallee,107.5,17.5,13.16875,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus paludicola,"Cox Scrub Con Park, SA",-35.335,139.7544444,0.2062,Semiarid,16.30416679,21.63333321,11.0666666,382,47,15,34.86752319,134,52,56,134,13.34166622,53.36666489,429.4629822,30.5,5.5,25,11.0666666,21.35000038,0.1852,-381.8148,eucalyptus paludicola,eucalyptus paludicola,6.5,Combination resprouter,12,Tree,145,30,30.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,1994,0,0,3,1.666666667,0.577350269,3,1.333333333,0.577350269,3,Eucalyptus cneorifolia,"Waitpinga, SA",-35.575,138.5416667,0.241,Semiarid,18.94583321,26.35000038,11.76666641,459,122,0,101.3949051,277,3,4,277,10.99166679,41.16729355,607.2533569,32.79999924,6.099999905,26.69999886,11.76666641,26.14999962,0.1904,-458.8096,Eucalyptus cneorifolia,eucalyptus cneorifolia,3,Lignotuber resprouter,10,Mallee,72.5,7.5,3.80625,3,1.95,0.3865553,3,0.72,0.03,3,4.422886667,1.254019807,3,3.454584752,1.33668986,3,-28.20666667,0.910896994,3,1.066666667,0.2081666,3,49.43333333,0.115470054,3
75,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus cneorifolia,"Waitpinga, SA",-35.575,138.5416667,0.241,Semiarid,18.94583321,26.35000038,11.76666641,459,122,0,101.3949051,277,3,4,277,10.99166679,41.16729355,607.2533569,32.79999924,6.099999905,26.69999886,11.76666641,26.14999962,0.1904,-458.8096,Eucalyptus cneorifolia,eucalyptus cneorifolia,3,Lignotuber resprouter,10,Mallee,72.5,7.5,3.80625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
