Taxon,taxon,binomial,genus,species,subspecies,taxon,Status,Accepted name,Authority,Collection source,ETS accession,ITS accession,matK accession,psbA accession
Acmena smithii,acmena smithii,acmena smithii,acmena,smithii,NA,acmena smithii,Synonym,Syzygium smithii,(Poir.) Nied.,GenBank,AM489889,AM234137,DQ088545,AM489808
Agonis flexuosa,agonis flexuosa,agonis flexuosa,agonis,flexuosa,NA,agonis flexuosa,Accepted,,(Muhl. ex Willd.) Sweet,GenBank,EU850635,DQ499115,AF184711,
Allosyncarpia ternata,allosyncarpia ternata,allosyncarpia ternata,allosyncarpia,ternata,NA,allosyncarpia ternata,Accepted,,S.T.Blake,GenBank,DQ352477,DQ352477,,AF190370
Amomyrtus luma,amomyrtus luma,amomyrtus luma,amomyrtus,luma,NA,amomyrtus luma,Accepted,,(Molina) D.Legrand & Kausel,GenBank,AM489892,AM234073,,AM489811
Angophora bakeri subsp. bakeri,angophora bakeri subsp. bakeri,angophora bakeri ,angophora,bakeri,bakeri,angophora bakeri subsp. bakeri,Accepted,,C.C.Hall,CANB 786317**,KT631411,KT630893,KT632621,KT632063
Angophora costata subsp. costata,angophora costata subsp. costata,angophora costata,angophora,costata,costata,angophora costata subsp. costata,Accepted,,(Gaertn.) Hochr. ex Britten,CANB 786256**,KT631412,,KT632622,KT632064
Angophora exul,angophora exul,angophora exul,angophora,exul,NA,angophora exul,Accepted,,K.D.Hill,NSW 573034**,KT631413,KT630894,KT632623,KT632065
Angophora floribunda,angophora floribunda,angophora floribunda,angophora,floribunda,NA,angophora floribunda,Accepted,,(Sm.) Sweet,CANB 786321**,KT631414,KT630895,,AF190375
Angophora hispida,angophora hispida,angophora hispida,angophora,hispida,NA,angophora hispida,Accepted,,(Sm.) Blaxell,NSW 589284**,KT631415,KT630896,KT632624,KT632066
Angophora inopina,angophora inopina,angophora inopina,angophora,inopina,NA,angophora inopina,Accepted,,K.D.Hill,CANB 786238**,KT631416,KT630897,KT632625,KT632067
Angophora melanoxylon,angophora melanoxylon,angophora melanoxylon,angophora,melanoxylon,NA,angophora melanoxylon,Accepted,,F.Muell. ex R.T.Baker,NSW 785602**,KT631417,KT630898,KT632626,KT632068
Angophora robur,angophora robur,angophora robur,angophora,robur,NA,angophora robur,Accepted,,L.A.S.Johnson & K.D.Hill,NSW 537287**,KT631418,KT630899,KT632627,
Angophora subvelutina,angophora subvelutina,angophora subvelutina,angophora,subvelutina,NA,angophora subvelutina,Accepted,,F.Muell.,CANB 786273**,KT631419,KT630900,KT632628,KT632069
Angophora woodsiana,angophora woodsiana,angophora woodsiana,angophora,woodsiana,NA,angophora woodsiana,Accepted,,F.M.Bailey,CANB 786271**,KT631420,KT630901,KT632629,KT632070
Arillastrum gummiferum,arillastrum gummiferum,arillastrum gummiferum,arillastrum,gummiferum,NA,arillastrum gummiferum,Accepted,,(Brongn. & Gris) Pancher ex Baill.,GenBank,DQ352479,DQ352479,AF368198,AF190372
Cloezia floribunda,cloezia floribunda,cloezia floribunda,cloezia,floribunda,NA,cloezia floribunda,Accepted,,Brongn. & Gris,GenBank,AY606255,AF172767,AY521533,
Corymbia abbreviata,corymbia abbreviata,corymbia abbreviata,corymbia,abbreviata,NA,corymbia abbreviata,Accepted,,(Blakely & Jacobs),CANB 459002**,KT631421,DQ993136,,
Corymbia abergiana,corymbia abergiana,corymbia abergiana,corymbia,abergiana,NA,corymbia abergiana,Accepted,,(F.Muell.) K.D.Hill &,Currency Creek 1303,KT631422,DQ993145,,KT632071
Corymbia aparrerinja,corymbia aparrerinja,corymbia aparrerinja,corymbia,aparrerinja,NA,corymbia aparrerinja,Accepted,,K.D.Hill & L.A.S.Johnson,CANB 785580**,KT631423,KT630902,KT632630,KT632072
Corymbia arafurica,corymbia arafurica,corymbia arafurica,corymbia,arafurica,NA,corymbia arafurica,Accepted,,K.D.Hill & L.A.S.Johnson,CANB 557707**,KT631424,KT630903,KT632631,KT632073
Corymbia arenaria,corymbia arenaria,corymbia arenaria,corymbia,arenaria,NA,corymbia arenaria,Accepted,,(Blakely) K.D.Hill &,CANB 785523**,KT631425,KT630904,KT632632,KT632074
Corymbia aspera,corymbia aspera,corymbia aspera,corymbia,aspera,NA,corymbia aspera,Accepted,,(F.Muell.) K.D.Hill &,CANB 785505**,KT631426,,,
Corymbia aureola,corymbia aureola,corymbia aureola,corymbia,aureola,NA,corymbia aureola,Accepted,,(Brooker & A.R.Bean),CANB 582839**,KT631427,GQ366352,KT632633,KT632075
Corymbia bella,corymbia bella,corymbia bella,corymbia,bella,NA,corymbia bella,Accepted,,K.D.Hill & L.A.S.Johnson,CANB 785527**,,DQ993123,KT632634,
Corymbia blakei,corymbia blakei,corymbia blakei,corymbia,blakei,NA,corymbia blakei,Accepted,,K.D.Hill & L.A.S.Johnson,CANB 582767**,KT631428,,,
Corymbia bleeseri,corymbia bleeseri,corymbia bleeseri,corymbia,bleeseri,NA,corymbia bleeseri,Accepted,,(Blakely) K.D.Hill &,CANB 785481,KT631429,KT630905,KT632635,KT632076
Corymbia bloxsomei,corymbia bloxsomei,corymbia bloxsomei,corymbia,bloxsomei,NA,corymbia bloxsomei,Accepted,,(Maiden) K.D.Hill &,Currency Creek 687,KT631430,GQ366353,KT632636,
Corymbia brachycarpa,corymbia brachycarpa,corymbia brachycarpa,corymbia,brachycarpa,NA,corymbia brachycarpa,Accepted,,(D.J.Carr & S.G.M.Carr),Mt Annan 891880,KT631431,DQ352484,KT632637,KT632077
Corymbia bunites,corymbia bunites,corymbia bunites,corymbia,bunites,NA,corymbia bunites,Accepted,,(Brooker & A.R.Bean),Currency Creek 711,KT631432,KT630906,KT632638,KT632078
Corymbia cadophora subsp. cadophora,corymbia cadophora subsp. cadophora,corymbia cadophora,corymbia,cadophora,cadophora,corymbia cadophora subsp. cadophora,Accepted,,K.D.Hill & L.A.S.Johnson,CANB 785542**,KT631433,KT630907,KT632639,KT632079
Corymbia calophylla,corymbia calophylla,corymbia calophylla,corymbia,calophylla,NA,corymbia calophylla,Accepted,,(R.Br. ex Lindl.) K.D.Hill,Currency Creek 1160,KT631434,KT630908,HQ287615,KT632080
Corymbia candida subsp. dispodes,corymbia candida subsp. dispodes,corymbia candida,corymbia,candida,dispodes,corymbia candida subsp. dispodes,Accepted,,K.D.Hill & L.A.S.Johnson,Currency Creek 2752,KT631435,KT630909,KT632640,
Corymbia catenaria,corymbia catenaria,corymbia catenaria,corymbia,catenaria,NA,corymbia catenaria,Synonym,Corymbia watsoniana,(Brooker & A.R.Bean),Currency Creek 700,KT631436,KT630910,KT632641,
Corymbia chippendalei,corymbia chippendalei,corymbia chippendalei,corymbia,chippendalei,NA,corymbia chippendalei,Accepted,,(D.J.Carr & S.G.M.Carr),CANB 513580**,KT631437,KT630911,,KT632081
Corymbia citriodora,corymbia citriodora,corymbia citriodora,corymbia,citriodora,NA,corymbia citriodora,Accepted,,(Hook.) K.D.Hill &,Currency Creek 698,KT631438,AF390461,KT632642,KT632082
Corymbia clarksoniana,corymbia clarksoniana,corymbia clarksoniana,corymbia,clarksoniana,NA,corymbia clarksoniana,Accepted,,(D.J.Carr & S.G.M.Carr),ANBG 643951,KT631439,KT630912,KT632643,KT632083
Corymbia collina,corymbia collina,corymbia collina,corymbia,collina,NA,corymbia collina,Accepted,,(W.Fitzg.) K.D.Hill &,CANB 785553**,KT631440,KT630913,KT632644,KT632084
Corymbia confertiflora,corymbia confertiflora,corymbia confertiflora,corymbia,confertiflora,NA,corymbia confertiflora,Accepted,,(Kippist ex F.Muell.) K.D.Hill,CANB 785485**,KT631441,KT630914,KT632645,KT632085
Corymbia dallachiana,corymbia dallachiana,corymbia dallachiana,corymbia,dallachiana,NA,corymbia dallachiana,Accepted,,(Benth.) K.D.Hill &,CANB 697829**,KT631442,KT630915,KT632646,KT632086
Corymbia dampieri,corymbia dampieri,corymbia dampieri,corymbia,dampieri,NA,corymbia dampieri,Synonym,Corymbia greeniana,(D.J.Carr & S.G.M.Carr),GenBank,DQ352493,GQ366359,,
