original,name,name2,name3
Acmena_smithii,acmena smithii,acmena_smithii,acmena_smithii
Agonis_flexuosa,agonis flexuosa,agonis_flexuosa,agonis_flexuosa
Allosyncarpia_ternata_CANB_760015,allosyncarpia ternata,allosyncarpia_ternata,allosyncarpia_ternata
Amomyrtus_luma,amomyrtus luma,amomyrtus_luma,amomyrtus_luma
Angophora_bakeri_subsp_bakeri_LAN103,angophora bakeri subsp. bakeri,angophora_bakeri_subsp._bakeri,angophora_bakeri_subsp_bakeri
Angophora_costata_subsp_costata_LAN043,angophora costata subsp. costata,angophora_costata_subsp._costata,angophora_costata_subsp_costata
Angophora_exul_573034,angophora exul,angophora_exul,angophora_exul
Angophora_floribunda_LAN107,angophora floribunda,angophora_floribunda,angophora_floribunda
Angophora_hispida_LAN009,angophora hispida,angophora_hispida,angophora_hispida
Angophora_inopina_LAN025,angophora inopina,angophora_inopina,angophora_inopina
Angophora_melanoxylon_509,angophora melanoxylon,angophora_melanoxylon,angophora_melanoxylon
Angophora_robur_LAN056,angophora robur,angophora_robur,angophora_robur
Angophora_subvelutina_LAN059,angophora subvelutina,angophora_subvelutina,angophora_subvelutina
Angophora_woodsiana_LAN058,angophora woodsiana,angophora_woodsiana,angophora_woodsiana
Arillastrum_gummiferum,arillastrum gummiferum,arillastrum_gummiferum,arillastrum_gummiferum
Cloezia_floribunda,cloezia floribunda,cloezia_floribunda,cloezia_floribunda
Corymbia_abbreviata_CANB_459002,corymbia abbreviata,corymbia_abbreviata,corymbia_abbreviata
Corymbia_abergiana_633,corymbia abergiana,corymbia_abergiana,corymbia_abergiana
Corymbia_aparrerinja_MC_10615,corymbia aparrerinja,corymbia_aparrerinja,corymbia_aparrerinja
Corymbia_arafurica_CANB_557707,corymbia arafurica,corymbia_arafurica,corymbia_arafurica
Corymbia_arenaria_MC_10558,corymbia arenaria,corymbia_arenaria,corymbia_arenaria
Corymbia_aspera_CANB_785505,corymbia aspera,corymbia_aspera,corymbia_aspera
Corymbia_aureola_CANB_582839,corymbia aureola,corymbia_aureola,corymbia_aureola
Corymbia_bella_MC_10518,corymbia bella,corymbia_bella,corymbia_bella
Corymbia_blakei_CANB_582767,corymbia blakei,corymbia_blakei,corymbia_blakei
Corymbia_bleeseri_MC_10516,corymbia bleeseri,corymbia_bleeseri,corymbia_bleeseri
Corymbia_bloxsomei_238,corymbia bloxsomei,corymbia_bloxsomei,corymbia_bloxsomei
Corymbia_brachycarpa_Mt_Annan_891988,corymbia brachycarpa,corymbia_brachycarpa,corymbia_brachycarpa
Corymbia_bunites_229,corymbia bunites,corymbia_bunites,corymbia_bunites
Corymbia_cadophora_subsp_cadophora_MC_10577,corymbia cadophora subsp. cadophora,corymbia_cadophora_subsp._cadophora,corymbia_cadophora_subsp_cadophora
Corymbia_calophylla_377,corymbia calophylla,corymbia_calophylla,corymbia_calophylla
Corymbia_candida_subsp_dispodes_454,corymbia candida subsp. dispodes,corymbia_candida_subsp._dispodes,corymbia_candida_subsp_dispodes
Corymbia_catenaria_240,corymbia catenaria,corymbia_catenaria,corymbia_catenaria
Corymbia_chippendalei_CANB_513580,corymbia chippendalei,corymbia_chippendalei,corymbia_chippendalei
Corymbia_citriodora_231,corymbia citriodora,corymbia_citriodora,corymbia_citriodora
Corymbia_clarksoniana_ANBG_643951,corymbia clarksoniana,corymbia_clarksoniana,corymbia_clarksoniana
Corymbia_collina_MC_10588,corymbia collina,corymbia_collina,corymbia_collina
Corymbia_confertiflora_CANB_785485,corymbia confertiflora,corymbia_confertiflora,corymbia_confertiflora
Corymbia_dallachiana_CANB_697829,corymbia dallachiana,corymbia_dallachiana,corymbia_dallachiana
Corymbia_dampieri,corymbia dampieri,corymbia_dampieri,corymbia_dampieri
Corymbia_dendromerinx_CANB_644448,corymbia dendromerinx,corymbia_dendromerinx,corymbia_dendromerinx
Corymbia_deserticola_subsp_deserticola_MC_11111,corymbia deserticola subsp. deserticola,corymbia_deserticola_subsp._deserticola,corymbia_deserticola_subsp_deserticola
Corymbia_dichromophloia_MC_10528,corymbia dichromophloia,corymbia_dichromophloia,corymbia_dichromophloia
