Drought2020Scale.mean,AICorrected,AP,height_max_m,tiplabel,CCAtiplabel
0,0.2488,540,15,2552,CCA2552
0.666666667,0.266,561,30,2551,CCA2551
0,0.782,1245,8,6258,CCA6258
0.75,0.5311,857,20,3204,CCA3204
0,0.8738,1333,8,6746,CCA6746
0,0.3621,671,25,2103,CCA2103
1,0.713,1078,25,2082,CCA2082
0,1.0841,1757,30,6796,CCA6796
1.666666667,0.613,946,30,2073,CCA2073
2,0.5615,900,20,632,CCA632
0.5,0.8007,1307,25,2092,CCA2092
0.5,0.5581,946,25,1259,CCA1259
0,0.5983,1024,50,1246,CCA1246
0.6666667,0.3071,641,50,702,CCA702
0.75,0.3314,642,20,687,CCA687
0,0.3544,789,20,2505,CCA2505
0.75,0.7268,1297,15,1302,CCA1302
1,0.2882,637,15,1277,CCA1277
0.5,0.2769,612,15,2542,CCA2542
1,0.3524,650,25,711,CCA711
0,0.3314,642,20,688,CCA688
1.666666667,0.317,655,15,2547,CCA2547
1,0.3392,719,15,2528,CCA2528
1,0.2802,607,18,1278,CCA1278
1,0.0715,219,15,2752,CCA2752
0,0.0863,263,10,7230,CCA7230
0,0.4217,977,20,4204,CCA4204
0,0.1046,299,15,2434,CCA2434
0,0.1668,405,18,2120,CCA2120
0,0.8128,1465,15,1306,CCA1306
0,0.2,599,6,1939,CCA1939
0,0.3359,860,12,1928,CCA1928
0,0.2204,609,15,4192,CCA4192
0,0.5514,1290,20,2464,CCA2464
3,0.3584,642,35,708,CCA708
0,0.7189,1291,12,1303,CCA1303
0,0.4389,900,12,2543,CCA2543
1,0.8191,1564,15,5128,CCA5128
1.5,0.557,1029,15,714,CCA714
0,0.3824,656,15,2084,CCA2084
0,0.3159,620,15,684,CCA684
1.666667,0.5504,794,10,5523,CCA5523
0,0.3112,474,40,6707,CCA6707
0.5,0.3367,662,40,3421,CCA3421
2.75,0.2506,555,40,1160,CCA1160
2.666666667,0.4581,842,15,1147,CCA1147
0,0.2694,581,5,7227,CCA7227
0,0.2307,558,15,5141,CCA5141
0,0.3542,804,12,2502,CCA2502
0,0.0825,252,10,4288,CCA4288
0,0.1311,390,8,1190,CCA1190
0,0.2767,578,15,2550,CCA2550
