new.tip_unique.ID,node
angophora_costata_subsp._costata_2073,10
angophora_costata_subsp._costata_6796,10
angophora_costata_subsp._euryphylla_2082,10
angophora_costata_subsp._euryphylla_3206,10
angophora_floribunda_2551,5
angophora_hispida_6746,9
angophora_hispida_Ahisp_1,9
angophora_inopina_6258,6
angophora_leiocarpa_2103,10
angophora_melanoxylon_2552,1
angophora_subvelutina_3204,7
corymbia_abbreviata_1932,58
corymbia_abergiana_1303,65
corymbia_arnhemensis_2484,73
corymbia_aureola_2542,26
corymbia_bella_4204,43
corymbia_bleeseri_1923,95
corymbia_bloxsomei_687,22
corymbia_brachycarpa_2534,72
corymbia_brachycarpa_5141,72
corymbia_bunites_711,27
corymbia_cadophora_subsp._cadophora_1905,91
corymbia_cadophora_subsp._pliantha_1929,91
corymbia_cadophora_subsp._polychroma_5858,91
corymbia_calophylla_229,70
corymbia_calophylla_1160,70
corymbia_calophylla_3421,70
corymbia_calophylla_6707,70
corymbia_candida_7230,38
corymbia_capricornia_1335,56
corymbia_capricornia_4192,56
corymbia_chartacea_2474,78
corymbia_chippendalei_2695,74
corymbia_chippendalei_4264,74
corymbia_chippendalei_4288,74
corymbia_chlorolampra_2213,71
corymbia_chlorolampra_5076,71
corymbia_chlorolampra_7227,71
corymbia_citriodora_702,14
corymbia_clandestina_2541,72
corymbia_clarksoniana_2511,62
corymbia_cliftoniana_1940,79
corymbia_cliftoniana_5851,79
corymbia_collina_1915,93
corymbia_dampieri_1900,88
corymbia_dampieri_(c._greeniana)_1906,88
corymbia_deserticola_subsp._deserticola_542,86
corymbia_deserticola_subsp._deserticola_4267,86
corymbia_deserticola_subsp._deserticola_5750,86
corymbia_deserticola_subsp._mesogeotica_2439,86
corymbia_dichromophloia_2463,56
corymbia_dichromophloia_1928,56
corymbia_dimorpha_2528,29
corymbia_dolichocarpa_2550,76
corymbia_drysdalensis_1907,56
corymbia_ellipsoidea_5112,83
corymbia_eremaea_subsp._eremaea_1210,85
corymbia_eremaea_subsp._eremaea_1708,85
corymbia_eremaea_subsp._oligiocarpa_1208,85
corymbia_erythrophloia_2530,79
corymbia_eximia_632,11
corymbia_ferriticola_2752,33
corymbia_ferruginea_subsp._ferruginea_2466,89
corymbia_ferruginea_subsp._stypophylla_1336,89
corymbia_ferruginea_subsp._stypophylla_2443,89
corymbia_ficifolia_1138,69
corymbia_ficifolia_3761,69
corymbia_ficifolia_5523,69
corymbia_foelscheana_2470,87
corymbia_grandifolia_subsp._lamprocardia_2461,19
corymbia_grandifolia_subsp._longa_4215,19
corymbia_gummifera_1228,67
corymbia_haematoxylon_1147,71
corymbia_hamersleyana_1190,75
corymbia_hamersleyana_4260,75
corymbia_hendersonii_701,84
corymbia_intermedia_708,64
corymbia_jacobsiana_2464,63
corymbia_latifolia_1922,57
corymbia_leichhardtii_1277,25
corymbia_lenziana_537,48
corymbia_lenziana_5733,48
corymbia_leptoloma_1302,24
corymbia_ligans_2527,81
corymbia_ligans_(subsp._novacastrensis)_2504,81
corymbia_maculata_1752,12
corymbia_maculata_(c._henryi)_1259,13
corymbia_maculata_(c._henryi)_2092,13
corymbia_nesophila_1319,94
corymbia_nesophila_2515,94
corymbia_oocarpa_2479,56
corymbia_opaca_1196,51
corymbia_opaca_2434,51
corymbia_pachycarpa_1939,55
corymbia_pachycarpa_(subsp._glabrescens)_1198,55
corymbia_papillosa_4207,78
corymbia_papillosa_(subsp._globifera)_5806,78
corymbia_peltata_2505,23
corymbia_petalophylla_1262,31
corymbia_plena_2535,80
corymbia_pocillum_2497,83
corymbia_polycarpa_1902,77
corymbia_polycarpa_4197,77
corymbia_polysciada_2457,41
corymbia_polysciada_4218,41
corymbia_porrecta_2471,47
corymbia_ptychocarpa_subsp._aptycha_2476,60
corymbia_ptychocarpa_subsp._ptychocarpa_1343,60
corymbia_ptychocarpa_subsp._ptychocarpa_1912,60
corymbia_rhodops_1306,54
corymbia_scabrida_1278,32
corymbia_serendipita_2502,73
corymbia_sphaerica_2437,55
corymbia_stockeri_subsp._peninsularis_1318,49
corymbia_stockeri_subsp._peninsularis_2513,49
corymbia_stockeri_subsp._stockeri_2507,49
corymbia_stockeri_subsp._stockeri_(c._lamprophylla)_1290,49
corymbia_terminalis_2120,53
corymbia_terminalis_2449,53
corymbia_terminalis_4175,53
corymbia_trachyphloia_subsp._amphistomatica_684,68
corymbia_trachyphloia_subsp._amphistomatica_2084,68
corymbia_trachyphloia_subsp._trachyphloia_714,68
corymbia_trachyphloia_subsp._trachyphloia_2110,68
corymbia_trachyphloia_subsp._trachyphloia_5128,68
corymbia_umbonata_2488,79
corymbia_variegata_1246,14
corymbia_citriodora_721,14
corymbia_watsoniana_subsp._capillata_2547,28
corymbia_watsoniana_subsp._capillata_(c._catenaria)_700,28
corymbia_watsoniana_subsp._watsoniana_688,28
corymbia_xanthope_2543,66
corymbia_zygophylla_1185,82
eucalyptus_absita_1154,457
eucalyptus_acaciiformis_657,448
eucalyptus_acaciiformis_6217,448
eucalyptus_accedens_1164,679
eucalyptus_acies_225,143
eucalyptus_acmenoides_2087,153
eucalyptus_acmenoides_(e._contracta)_6456,153
eucalyptus_acmenoides_(e._uvida)_1299,153
eucalyptus_adesmophloia_216,265
eucalyptus_adesmophloia_-_e._obesa_intergrade_(e._communalis)_200,265
eucalyptus_aenea_2083,503
eucalyptus_aenea_(e._castrensis)_5263,516
eucalyptus_aequioperta_3448,616
eucalyptus_aequioperta_4677,616
eucalyptus_aequioperta_5458,616
eucalyptus_aff._trivalva_5200,675
eucalyptus_aff._umbra_(?helidonica)_2934,147
eucalyptus_agglomerata_1754,213
eucalyptus_aggregata_1224,369
eucalyptus_aggregata_7365,369
eucalyptus_cypellocarpa_356,439
eucalyptus_cypellocarpa_4745,439
eucalyptus_alatissima_7,242
eucalyptus_alatissima_1530,242
eucalyptus_alba_var._australasica_2475,343
eucalyptus_alba_var._australasica_4211,343
eucalyptus_albens_1676,529
eucalyptus_albens_2898,529
eucalyptus_albida_2214,326
eucalyptus_albida_3437,326
eucalyptus_albida_3699,326
eucalyptus_albopurpurea_942,467
eucalyptus_albopurpurea_3180,467
eucalyptus_albopurpurea_Ealb_1,467
eucalyptus_albopurpurea_(atypical_form)_825,467
eucalyptus_alipes_3675,649
eucalyptus_alipes_3678,649
eucalyptus_alipes_5480,649
eucalyptus_alligatrix_subsp._alligatrix_1774,429
eucalyptus_alligatrix_subsp._alligatrix_(subsp._limaensis)_1773,429
eucalyptus_alligatrix_subsp._miscella_776,429
eucalyptus_alpina_7046,429
eucalyptus_ammophila_1284,361
eucalyptus_ammophila_6497,361
eucalyptus_amplifolia_subsp._amplifolia_604,357
eucalyptus_amplifolia_subsp._sessiliflora_668,357
eucalyptus_amygdalina_1987,154
eucalyptus_amygdalina_6723,154
eucalyptus_ancophila_646,526
eucalyptus_andrewsii_670,214
eucalyptus_angophoroides_1745,391
eucalyptus_angulosa_1136,599
eucalyptus_angulosa_3706,599
eucalyptus_angulosa_5983,599
eucalyptus_angulosa_3746,599
eucalyptus_angulosa_(e._grossifolia)_3554,599
eucalyptus_angulosa_(sa_variant)_939,599
eucalyptus_angulosa_(sa_variant)_5905,599
eucalyptus_angustissima_150,273
eucalyptus_angustissima_2264,273
eucalyptus_angustissima_5996,273
eucalyptus_annettae_6359,291
eucalyptus_annulata_206,653
eucalyptus_apiculata_617,208
eucalyptus_apiculata_(e._laophila)_772,208
eucalyptus_apodophylla_2456,339
eucalyptus_apothalassica_1263,148
eucalyptus_approximans_2090,217
eucalyptus_aquilina_176,126
eucalyptus_aquilina_4604,126
eucalyptus_arachnaea_subsp._arachnaea_296,701
eucalyptus_arachnaea_subsp._arrecta_2216,701
eucalyptus_arachnaea_subsp._arrecta_5556,701
eucalyptus_arborella_1127,322
eucalyptus_arborella_4803,322
eucalyptus_arcana_1800,451
eucalyptus_arcana_4319,451
eucalyptus_archeri_1990,444
eucalyptus_archeri_7389,444
eucalyptus_arenacea_1588,160
eucalyptus_argillacea_4241,461
eucalyptus_argophloia_686,508
eucalyptus_argutifolia_249,562
eucalyptus_argutifolia_4626,562
eucalyptus_aridomontana_1191,454
eucalyptus_aridomontana_5766,454
eucalyptus_aridomontana_5778,454
eucalyptus_armillata_287,666
eucalyptus_aromaphloia_4313,451
eucalyptus_aromaphloia_(smooth_bark)_355,451
eucalyptus_articulata_520,670
eucalyptus_aspersa_1149,285
eucalyptus_aspersa_1888,285
eucalyptus_aspersa_1890,285
eucalyptus_aspratilis_328,631
eucalyptus_aspratilis_7001,631
eucalyptus_aspratilis_-_e._sporadica_intergrade_5468,631
eucalyptus_assimilans_1826,590
eucalyptus_assimilans_4551,590
eucalyptus_astringens_subsp._astringens_3423,660
eucalyptus_astringens_subsp._astringens_3438,660
eucalyptus_astringens_subsp._astringens_3503,660
eucalyptus_astringens_subsp._redacta_194,660
eucalyptus_astringens_subsp._redacta_214,660
eucalyptus_astringens_subsp._redacta_2243,660
eucalyptus_astringens_subsp._redacta_(pink_form)_3585,660
eucalyptus_atrata_1308,486
eucalyptus_aurantiaca_1903,101
eucalyptus_aurantiaca_4224,101
eucalyptus_aurifodina_6104,160
eucalyptus_badjensis_1767,440
eucalyptus_baeuerlenii_1227,403
eucalyptus_baeuerlenii_6263,403
eucalyptus_baeuerlenii_6312,403
eucalyptus_baileyana_665,104
eucalyptus_baileyana_2938,104
eucalyptus_baileyana_6455,104
eucalyptus_bakeri_1269,261
eucalyptus_bakeri_6177,261
eucalyptus_balladoniensis_subsp._balladoniensis_118,281
eucalyptus_balladoniensis_subsp._balladoniensis_3602,281
eucalyptus_balladoniensis_subsp._sedens_347,281
eucalyptus_balladoniensis_subsp._sedens_2784,281
eucalyptus_bancroftii_1241,366
eucalyptus_banksii_653,407
eucalyptus_barberi_1989,397
eucalyptus_barberi_7412,397
eucalyptus_baudiniana_5577,609
eucalyptus_baudiniana_-_e._oraria_intergrade_5575,609
eucalyptus_baueriana_1734,546
eucalyptus_baueriana_(subsp._deddickensis)_7378,546
eucalyptus_baueriana_(subsp._thalassina)_6097,546
eucalyptus_baxteri_815,176
eucalyptus_baxteri_7234,176
eucalyptus_beaniana_6472,491
eucalyptus_beardiana_2208,453
eucalyptus_beardiana_5708,453
eucalyptus_behriana_783,547
eucalyptus_behriana_2065,547
eucalyptus_behriana_3183,547
eucalyptus_behriana_5285,547
eucalyptus_behriana_5915,547
eucalyptus_bensonii_773,202
eucalyptus_benthamii_3203,441
eucalyptus_beyeriana_1761,509
eucalyptus_bicostata_468,396
eucalyptus_bicostata_3212,396
eucalyptus_binacag_19492,333
eucalyptus_binacag_21163,333
eucalyptus_biterranea_2518,351
eucalyptus_biterranea_6438,351
eucalyptus_blakelyi_722,367
eucalyptus_blakelyi_3796,367
eucalyptus_blaxellii_272,661
eucalyptus_blaxlandii_1225,205
eucalyptus_blaxlandii_2916,205
eucalyptus_blaxlandii_5872,205
eucalyptus_blaxlandii_6284,205
eucalyptus_boliviana_6197,215
eucalyptus_bosistoana_1733,537
eucalyptus_bosistoana_2902,537
eucalyptus_botryoides_1739,385
eucalyptus_botryoides_6307,385
eucalyptus_brachyandra_4223,332
eucalyptus_brachycalyx_1072,554
eucalyptus_brachycalyx_-_e._laevis_intergrade_5966,554
eucalyptus_brachycalyx_(e._pleurocorys)_553,554
eucalyptus_brachycalyx_(e._pleurocorys)_2245,554
eucalyptus_brachycalyx_(e._pleurocorys)_2801,554
eucalyptus_brandiana_5514,235
eucalyptus_brassiana_1316,356
eucalyptus_brassiana_2512,356
eucalyptus_brevifolia_1936,519
eucalyptus_brevifolia_4220,519
eucalyptus_brevifolia_6640,519
eucalyptus_brevipes_299,644
eucalyptus_brevistylis_1141,131
eucalyptus_bridgesiana_570,392
eucalyptus_bridgesiana_(e._saxicola)_5271,392
eucalyptus_bridgesiana_(large_juveniles)_760,392
eucalyptus_bridgesiana_(large_juveniles)_2950,392
eucalyptus_brockwayi_136,284
eucalyptus_brockwayi_2166,284
eucalyptus_brockwayi_2168,284
eucalyptus_brookeriana_1988,419
eucalyptus_brookeriana_1965,419
eucalyptus_brookeriana_1967,419
eucalyptus_brookeriana_4513,419
eucalyptus_broviniensis_6478,374
eucalyptus_brownii_1293,502
eucalyptus_brunnea_669,380
eucalyptus_buprestium_223,142
eucalyptus_buprestium_6703,142
eucalyptus_burdettiana_2246,628
eucalyptus_burracoppinensis_306,256
eucalyptus_cadens_1772,400
eucalyptus_caesia_subsp._'boyagin'_5542,257
eucalyptus_caesia_subsp._'southern'_3813,257
eucalyptus_caesia_subsp._'southern'_5550,257
eucalyptus_caesia_subsp._'southern'_6026,257
eucalyptus_caesia_subsp._caesia_308,257
eucalyptus_caesia_subsp._caesia_3679,257
