tree_CCAUniqueIDs,tree_UniqueIDs
CCA2552,2552
CCA2551,2551
CCA6258,6258
CCA3204,3204
Ahisp_1,Ahisp_1
CCA6746,6746
CCA2103,2103
CCA3206,3206
CCA2082,2082
CCA6796,6796
CCA2073,2073
CCA632,632
CCA1752,1752
CCA2092,2092
CCA1259,1259
CCA721,721
CCA1246,1246
CCA702,702
CCA4215,4215
CCA2461,2461
CCA687,687
CCA2505,2505
CCA1302,1302
CCA1277,1277
CCA2542,2542
CCA711,711
CCA688,688
CCA700,700
CCA2547,2547
CCA2528,2528
CCA1262,1262
CCA1278,1278
CCA2752,2752
CCA7230,7230
CCA4218,4218
CCA2457,2457
CCA4204,4204
CCA2471,2471
CCA5733,5733
CCA537,537
CCA1290,1290
CCA2507,2507
CCA2513,2513
CCA1318,1318
CCA2434,2434
CCA1196,1196
CCA4175,4175
CCA2449,2449
CCA2120,2120
CCA1306,1306
CCA2437,2437
CCA1198,1198
CCA1939,1939
CCA2479,2479
CCA1907,1907
CCA1928,1928
CCA2463,2463
CCA4192,4192
CCA1335,1335
CCA1922,1922
CCA1932,1932
CCA1912,1912
CCA1343,1343
CCA2476,2476
CCA2511,2511
CCA2464,2464
CCA708,708
CCA1303,1303
CCA2543,2543
CCA1228,1228
CCA5128,5128
CCA2110,2110
CCA714,714
CCA2084,2084
CCA684,684
CCA5523,5523
CCA3761,3761
CCA1138,1138
CCA6707,6707
CCA3421,3421
CCA1160,1160
CCA229,229
CCA1147,1147
CCA7227,7227
CCA5076,5076
CCA2213,2213
CCA2541,2541
CCA5141,5141
CCA2534,2534
CCA2502,2502
CCA2484,2484
CCA4288,4288
CCA4264,4264
CCA2695,2695
CCA4260,4260
CCA1190,1190
CCA2550,2550
CCA4197,4197
CCA1902,1902
CCA5806,5806
CCA4207,4207
CCA2474,2474
CCA2488,2488
CCA2530,2530
CCA5851,5851
CCA1940,1940
CCA2535,2535
CCA2504,2504
CCA2527,2527
CCA1185,1185
CCA2497,2497
CCA5112,5112
CCA701,701
CCA1208,1208
