name,RowTree,FieldID,DNNumber,genus,subgenus,section,subsection,series,subseries,species,subspecies,variety,habit_tree,habit_mallee,habit_marlock,habit_shrub,height_max_m,regen_lignotuber,regen_epi_buds,regen_lat_roots,blade_lanceolate,blade_falcate,blade_elliptic,blade_linear,blade_ovate,blade_oblong,blade_orbicular,blade_cordate,blade_deltoid,blade_oblanceolate,blade_obovate,blade_obcordate,leaf_length_mm_min,leaf_length_mm_max,leaf_width_mm_min,leaf_width_mm_max,reticulation_sparse,reticulation_moderate,reticulation_dense,reticulation_very_dense,reticulation_obscure,reticulation_unknown,reticulation_absent,oil_glands_island,oil_glands_intersectional,oil_glands_obscure,oil_glands_absent,seed_length_mm_min,seed_length_mm_max,seed_shape_flat_ovoid,seed_shape_ovoid,seed_shape_oblique_pyramidal,seed_shape_pyramidal,seed_shape_cuboid,seed_shape_subspherical,flower_white,flower_yellow,flower_green_yellow,flower_red,flower_orange,flower_purple,botanical_desc
eucalyptus leptopoda subsp. elevata,R009/T03,CCA0001,8,Eucalyptus,Symphyomyrtus,Bisectae,Destitutae,Curviptera,Leptopodae,leptopoda,elevata,NA,FALSE,TRUE,FALSE,FALSE,5,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,65,105,5,15,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,2.5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Mallee to 5 m tall. Forming a lignotuber. -BREAK- Bark smooth throughout, mottled red-brown to salmon pink and white, sometimes powdery. -BREAK- Branchlets non-glaucous; lacking oil glands in the pith. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section; juvenile leaves always shortly petiolate, alternate, linear to narrowly lanceolate, 4--8 cm long, 0.3--1.5(1.7) cm wide, green to grey-green, dull.  -BREAK- Adult leaves alternate, petioles 0.5--1.4 cm long; blade linear or narrowly lanceolate, (5)6.5--10.5 cm long, 0.5 --1.5 cm wide, base tapering to petiole, margin entire, apex pointed, concolorous, dull, grey-green to green, side-veins at an acute or wider angle to midrib, reticulation dense, intramarginal present, oil glands scattered, intersectional.  -BREAK- Inflorescence axillary unbranched, peduncles 0.6--1.3 cm long, buds usually 7 per umbel, pedicellate (pedicels 0.3--0.8 cm long). Mature buds ovoid to almost globular (0.75--1 cm long, 0.4--0.7 cm wide), scar present, operculum beaked (0.6--0.7 cm long), stamens erect or oblique, anthers cuboid to globoid, versatile, dorsifixed, dehiscing by longitudinal slits, style long and straight, stigma blunt to rounded, locules 4 or 5, the placentae each with 4 vertical rows of ovules with a long central gap to the placenta. Flowers creamy.  -BREAK- Fruit pedicellate (pedicels 0.2--0.6 cm long), hemispherical, 0.3--0.6 cm long, 0.6--1.3 cm wide, disc steeply raised and convex or oblique, valves 4 or 5, exserted.  -BREAK- Seeds brown, 1--2.5 mm long, angular ovoid to more or less flattened-ovoid, dorsal surface shallowly reticulate, hilum ventral to terminal. -BREAK-  -BREAK- Cultivated seedlings (measured at node 10): cotyledons Y-shaped (bisected); stems rounded in cross-section, non-glaucous; leaves sessile to very shortly petiolate, opposite for ca 5--8 nodes then alternate, linear, 4.5--9 cm long, 0.4--1 cm wide, dull, green to grey-green, intra-marginal vein present. "
eucalyptus mannensis subsp. mannensis,R009/T05,CCA0003,NA,Eucalyptus,Symphyomyrtus,Bisectae,Destitutae,Micrantherae,Bakerianae,mannensis,mannensis,NA,TRUE,TRUE,FALSE,FALSE,10,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,63,115,7,23,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,2.5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Mallee, rarely a straggly tree, to 10 m tall. Forming a lignotuber. -BREAK- Bark usually rough for up to 4 m of trunk, grey-brown, flaky and fibrous or loose strips, smooth above or rarely smooth throughout, grey to white.  -BREAK- Branchlets lacking oil glands in the pith.  -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section; leaves always petiolate, alternate, lanceolate, often narrowly so, 4.5--8.5 cm long, 0.8--2 cm wide, dull, grey-green with a fine point. Leaves green by 1 m tall. -BREAK- Adult leaves alternate, petioles 0.7--2 cm long; blade narrowly lanceolate to narrowly elliptic, 6.3--11.5 cm long, 0.7--2.3 cm wide, base tapering to petiole, concolorous, very glossy, green, side-veins greater than 45° to midrib, densely reticulate, intramarginal vein close to margin, oil glands conspicuously intersectional.  -BREAK- Inflorescence axillary unbranched, peduncles 0.3--1 cm long, buds 7, 9 or 11, pedicellate (pedicels 0.1--0.5 cm long). Mature buds ovoid (0.5--0.8 cm long, 0.3--0.5 cm wide), scar present, operculum conical, rarely rounded and apiculate, a few outer stamens erect, inner inflexed, anthers oblong to reniform (wider than long), versatile, sub-basifixed, dehiscing by short oblique slits, style long, arising between three prominent lobes on the ovary roof, stigma blunt, locules 3 or 4, the placentae each with 4 vertical ovule rows, ovary roof 3 or 4 lobed at style base with the line of each septum bisecting a lobe. Flowers creamy white.  -BREAK- Fruit pedicellate (pedicels 0.1--0.4 cm long), hemispherical and flat-topped, 0.3--0.6 cm long, 0.5--0.8 cm wide, disc level, valves 3 or 4, each valve with an apical notch often containing part of the base of the style.  -BREAK- Seeds dark brownish grey, 1--2.5 mm long, ovoid or flattened-ovoid, dorsal surface shallowly reticulate, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10): cotyledons Y-shaped (bisected); stems rounded in cross-section; leaves always petiolate, opposite for ca 6--9 nodes then alternate, lanceolate, 5.5--10 cm long, 1--2 cm wide, dull, green to grey-green. "
eucalyptus gamophylla,R009/T09,CCA0004,NA,Eucalyptus,Eudesmia,Limbatae,NA,Heteropterae,Patelliformes,gamophylla,NA,NA,FALSE,TRUE,FALSE,FALSE,8,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40,100,9,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,4,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Mallee to 8 m tall but often shorter. Forming a lignotuber. -BREAK- Bark usually smooth throughout, white to grey to brown, sometimes cream to pink; occasionally with a short stocking of pale grey to yellowy brown rough flaky bark.  -BREAK- Branchlets glaucous; oil glands present in the pith but not always easy to find. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section, glaucous, glabrous; juvenile leaves opposite and sessile, ovate to cordate, flat to slightly undulate, 3.5--10 cm long, 2--6 cm wide, base usually connate, sometimes amplexicaul to truncate, apex round to broadly acute, glaucous, glabrous. -BREAK- True Adult leaves rare, mature crown usually with juvenile foliage.  -BREAK- Adult leaves when present are opposite to sub-opposite, petioles 0.1--0.6 cm long; blade lanceolate, 4--10 cm long, 0.9--2 cm wide, base tapering to petiole, concolorous, dull grey-green to green, side-veins at an acute or wider angle to midrib, tertiary venation moderate, intramarginal vein present, oil glands mostly island. -BREAK- Inflorescence terminal compound or axillary compound to simple axillary, peduncles 0.5--1 cm long, buds 3 per umbel, pedicellate (pedicels 0.1--0.3 cm long). Mature buds clavate to pyriform (0.4--0.7 cm long, 0.3--0.4 cm wide), hypanthium slightly angled, glaucous, outer perianth whorl minutely sepaline, inner whorl operculate, operculum rounded, stamens grouped in four clusters (difficult to see once stamens have fully opened), usually inflexed but occasionally with outer stamens more or less erect, anthers oblong, versatile, dorsifixed, dehiscing by longitudinal slits (non-confluent), style long, stigma blunt, locules usually 3 or 4, the ovules usually arranged in 4 distinct vertical rows on the placentae, occasionally the arrangement indistinct. Flowers whitish. -BREAK- Fruit pedicellate (pedicels 0.1--0.3 cm long), cylindrical to barrel-shaped, sometimes cup-shaped to obconical, 0.5--1.4 cm long, 0.5--0.8 cm wide, usually four-angled, glaucous, glaucescence diminishing with age, disc vertically descending, valves 3 or 4, enclosed. -BREAK- Seeds pale brown to grey, boat-shaped, ventral side flattened, the dorsal side with a central longitudinal rib or keel, shallowly lacunose, 3--4 mm long, surface smooth, margin narrowly flanged in part, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at node 10): cotyledons reniform; stems round in cross-section, glabrous, leaves sessile, opposite, ovate to cordate, 3.5--6 (8) cm long, 2.5--5 cm wide, glaucous to dull green, margins entire, apex broadly acute to rounded, base usually connate, rarely amplexicaul, lamina glabrous. -BREAK-  "
eucalyptus victrix,R009/T14,CCA0005,NA,Eucalyptus,Symphyomyrtus,Adnataria,NA,Aquilonares,Protrusae,victrix,NA,NA,TRUE,FALSE,FALSE,FALSE,15,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,90,150,8,25,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Tree to 15 m tall. Forming a lignotuber. -BREAK- Bark smooth throughout, pure white and powdery, some patches of older bark reddish to brown. -BREAK- Branchlets non-glaucous or, more rarely, glaucous; lacking oil glands in the pith.  -BREAK- Juvenile growth (coppice or field seedlings to 50 cm) stems rounded in cross-section, non-glaucous or glaucous; juvenile leaves always petiolate, opposite for 1 or 2 nodes then alternate, broadly lanceolate, 8--12.5 cm long, 3--4.5 cm wide, base rounded or tapering, dull grey-green. -BREAK- Adult leaves alternate, petiole 0.7--2.3 cm long; blade lanceolate to falcate, (7.8)9--15(22) cm long, 0.8--2.5(3.5) cm wide, base tapering to petiole, margin entire, apex pointed, concolorous, dull, light green to grey-green, side-veins greater than 45° to midrib, reticulation very dense, intramarginal vein present, oil glands apparently absent. -BREAK- Inflorescence terminal compound, peduncles 0.1--1.3 cm long; buds 7 per umbel, pedicels 0.1--0.3 cm long, rarely subsessile. Mature buds ovoid to obovoid, 0.3--0.5 cm long, 0.2--0.3 cm wide, glaucous or green, scar present (outer operculum falling early), operculum conical to more or less rounded, stamens inflexed or irregularly flexed, anthers cuboid to globular, adnate, basifixed, dehiscing by lateral slits, style long and straight, stigma blunt, locules 3 or 4, the placentae each with 4 vertical rows of ovules. Flowers creamy white. -BREAK- Fruit on pedicels 0.1--0.3(0.5) cm long, rarely sessile, obconical narrowing slightly at the top, thin-walled, 0.2--0.5 cm long, 0.3--0.6 cm wide, disc narrow, descending or apparently absent, valves 3 or 4, exserted or at rim level, curving inwards. -BREAK- Seeds brown, lustrous, 1--2 mm long, ovoid and faintly angled to flattened-ovoid, dorsal surface shallowly reticulate, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at node 10): cotyledons oblong-reniform; stems square in cross-section, glaucous or non-glaucous; leaves always petiolate, opposite for 3 or 4 nodes then alternate, lanceolate, 5--12.5 cm long, 1--4.5 cm wide, dull grey-green. "
eucalyptus yilgarnensis,R009/T19,CCA0010,NA,Eucalyptus,Symphyomyrtus,Bisectae,Destitutae,Heterostemones,NA,yilgarnensis,NA,NA,TRUE,TRUE,FALSE,FALSE,10,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50,80,5,15,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.8,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Tree or mallee to 10 m tall. Forming a lignotuber. -BREAK- Bark rough over part or all of trunk, grey-brown to dark-grey, flaky, or smooth throughout and brown-grey to coppery, olive green or pinkish grey, branches smooth. -BREAK- Branchlets lacking oil glands in the pith.  -BREAK- Juvenile growth (coppice or field seedlings to 50 cm):stems rounded in cross-section; juvenile leaves always petiolate, alternate, narrowly elliptical to lanceolate or ovate, 4--7 cm long, 1--2.3 cm wide, dull, blue-grey. -BREAK- Adult leaves alternate, petioles 0.5--2.5 cm long; blade narrowly elliptic to narrowly lanceolate or linear, (4.8)5--8(10) cm long, 0.5--1.5(2) cm wide, base tapering gradually to petiole, margin entire, apex pointed, concolorous, glossy, green, side-veins very acute, reticulation usually sparse to moderate, intramarginal vein present, oil glands island or intersectional.  -BREAK- Inflorescence axillary unbranched, peduncles 0.4--1.5 cm long, buds 7(9), slenderly pedicellate, pedicels 0.2--0.6 cm long. Mature buds pyriform or obovoid (0.3--0.6 cm long, 0.2--0.3 cm wide), scar present (outer operculum shed early), operculum rounded and often apiculate or sometimes conical (0.1--0.2 cm long), stamens inflexed, outer stamens longer but without anthers (staminodes), inner stamens much shorter and fertile, anthers globular to reniform, sub-versatile, basifixed, dehiscing by terminal pores, style long and straight, stigma tapering to rounded, locules 3(4), the placentae each with 4 vertical rows of ovules. Flowers white.  -BREAK- Fruit pedicellate (pedicels 0.2--0.8 cm long), barrel-shaped, 0.4--0.6 cm long, 0.3--0.4 cm wide, disc descending obliquely, valves 3(4), enclosed.  -BREAK- Seeds tan, 0.8--2 mm long, flattened-ovoid, often pointed at one end, dorsal surface Â± smooth, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at node 10): cotyledons Y-shaped (bisected); stems rounded in cross-section; leaves always petiolate, opposite for 5 to 12 nodes then alternate, ovate to elliptic or shortly lanceolate, 3.5--6.5 cm long, 1.2--3 cm wide, dull, greyish, non-glaucous. "
eucalyptus glomerosa,R009/T25,CCA0013,NA,Eucalyptus,Symphyomyrtus,Bisectae,Destitutae,Curviptera,Glomerosae,glomerosa,NA,NA,FALSE,TRUE,FALSE,FALSE,5,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38,95,8,23,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mallee to 5 m tall. Forming a lignotuber. -BREAK- Bark rough for basal 0.5--3 m of stems, matted and fibrous to thick, loose and flaky, yellow-brown weathering grey, smooth above coppery-orange to salmon pink. -BREAK- Branchlets sometimes glaucous; lacking oil glands in the pith.  -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section, glaucous or non-glaucous, slightly warty to smooth; juvenile leaves always petiolate, alternate, elliptical to ovate to lanceolate, 2.5--7 cm long, 1--3.3 cm wide, dull, grey-green. -BREAK- Adult leaves alternate, petioles 0.8--2.5 cm long; blade lanceolate to elliptical, at times narrowly so, 3.8--9.5 cm long, 0.8--2.3 cm wide, base tapering to petiole, margin entire, apex rounded to pointed, concolorous, dull, blue-grey to light green, side-veins greater than 45° to midrib, reticulation dense to very dense, intramarginal vein close to margin, oil glands intersectional. New growth in crown often with glaucous tinge but soon lost as leaves mature.  -BREAK- Inflorescence axillary unbranched, peduncles 1--3 cm long, buds 7(11) per umbel, pedicels 0.4-0.9 cm long. Mature buds globose (0.5--0.7 cm long, 0.5--0.6 cm wide), scar present, operculum rounded and usually apiculate (0.3 cm long), stamens oblique, anthers cuboid, versatile, Â± basifixed, dehiscing by longitudinal slits, style long and straight, stigma blunt, locules 4(5), the placentae each with 4 vertical rows of ovules with a central gap. Flowers not seen.  -BREAK- Fruit pedicellate (pedicels 0.4--0.9 cm long), shallowly and broadly obconical to hemispherical, 0.3--0.7 cm long, 0.7--1.4 cm wide, disc ascending steeply, valves 4(5), prominently exserted.  -BREAK- Seeds straw-coloured to brown, 3--5 mm long, obliquely elongated with a small tongue-like flange, obscurely ribbed ventrally, dorsal surface smooth, hilum terminal. -BREAK-  -BREAK- Cultivated seedlings (measured at node 10): cotyledons Y-shaped (bisected); stems rounded in cross-section, warty, sometimes slightly glaucous; leaves always petiolate, opposite for 7 to 10 nodes then alternate, orbicular to broadly elliptical or ovate, 3--4.5 cm long, 1.3--4 cm wide, dull, greyish green or slightly glaucous. -BREAK-  "
eucalyptus oxymitra,R009/T28,CCA0015,NA,Eucalyptus,Symphyomyrtus,Bisectae,Destitutae,Curviptera,Xylocarpae,oxymitra,NA,NA,FALSE,TRUE,FALSE,FALSE,4,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,55,125,15,40,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Mallees to 4 m tall. Forming a lignotuber. -BREAK- Bark of trunks more or less rough with grey-brown imperfectly decorticated ribbons, smooth grey and creamy above.  -BREAK- Branchlets glaucous or non-glaucous; lacking oil glands in the pith.  -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section; juvenile alternate leaves ovate, 4--11 cm long, 2.5--4.5 cm wide, grey-blue.  -BREAK- Adult leaves alternate, petioles 1.2--2.8 cm long; blade lanceolate to ovate, (4.8)5.5--12.5 cm long, 1.5--4 cm wide, base tapering to petiole, concolorous, dull, grey-green to bluish grey or sometimes light yellowish green, side-veins greater than 45° to midrib, reticulation dense, intramarginal vein close to margin, oil glands few and intersectional.  -BREAK- Inflorescence axillary unbranched, peduncles 0.7--1.5 cm long, buds 7, normally pedicellate, rarely sessile, pedicels (0)0.2--0.7 cm long. Mature buds ovoid (1.1--1.6 cm long, 0.6--1.3 cm wide), usually glaucous, scar present, operculum prominently beaked or sometimes long-conical (0.7--1.1 cm long), stamens erect to oblique with some inner inflexed, anthers globoid-oblong, versatile, basifixed, dehiscing by lateral slits, style long, stigma blunt, locules (3)4 or 5, the placentae each with 6 vertical ovule rows. Flowers white to pale yellow.  -BREAK- Fruit sessile or pedicellate, pedicels 0--0.7 cm long, shallowly hemispherical to truncate-globose, 0.5--1.2 cm long, 1--2.1 cm wide, scarcely ridged, disc raised, valves (3)4 or 5, exserted and often surmounted by short sharp style remnants.  -BREAK- Seeds fawn to greyish brown, 2--4 mm long, obliquely pyramidal, the dorsal surface smooth to shallowly reticulate, the sides ridged, with a prominent or narrow marginal flange, hilum terminal. -BREAK-  -BREAK- Cultivated seedlings (measured at node 10): cotyledons Y-shaped (bisected); stems rounded in cross-section; leaves always petiolate, opposite for 3--9 nodes, ovate, 4--7.5 cm long, 2.5--4 cm wide, dull, green to grey-green. "
eucalyptus socialis subsp. victoriensis,R009/T31,CCA0016,113,Eucalyptus,Symphyomyrtus,Bisectae,Destitutae,Subulatae,Decussatae,socialis,victoriensis,NA,FALSE,TRUE,FALSE,FALSE,7,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,15,34,15,30,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.5,2.2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Mallee to 7 m tall, usually lower and often spreading. Forming a lignotuber. -BREAK- Bark usually rough on the lower stem, occasionally smooth-barked to ground level, rough bark loose flaky, fibrous, ribbony, grey to brown, sometimes ribbons held in the upper branches; upper stem smooth-barked, grey over pale orange-brown. -BREAK- Branchlets lacking oil glands in the pith.  -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems square in cross-section and not glaucous; juvenile leaves opposite to alternate, sessile to shortly petiolate, ovate, 4--7.5 cm long, 2.5--3.5 cm wide, base rounded to tapering, dull grey-green (usually not glaucous). -BREAK- Adult leaves alternate, petioles (1.2)1.5--3.4 cm long; blade broadly lanceolate to lanceolate, 5.5--10(13) cm long, (1.4)1.5--3(3.5) cm wide, concolorous, dull to rarely slightly glossy green, side-veins at an acute or wider angle to midrib, moderately to densely reticulate, oil glands intersectional. -BREAK- Inflorescence axillary unbranched, peduncles (0.4)0.7--1.5(2) cm long, buds usually 9 or 11, rarely 7, pedicellate, pedicels 0.4--0.8 cm long. Mature buds ovoid to oblong (1.2--2 cm long, 0.5--0.8 cm wide), yellowish, rarely glaucous, scar present, operculum beaked (0.8--1.4 cm long), slightly wider than hypanthium at the join, stamens irregularly flexed, anthers versatile, globoid to cuboid, dehiscing by lateral pores, style long, stigma tapered, locules 3 or 4, the placentae each with 4 vertical ovule rows. Flowers creamy white to yellow. -BREAK- Fruit pedicellate, pedicels 0.3--0.7 cm long, barrel-shaped to cup-shaped, 0.7--1.2 cm long, 0.7--1 cm wide, rarely glaucous, disc descending, valves 3 or 4, valve tips strongly exserted due to fragile style remnants. -BREAK- Seeds brown to grey, 1.5--2.2(2.5) mm long, ovoid or flattened-ovoid, occasionally with shallow longitudinal furrows on otherwise smooth dorsal surface, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at node 10): cotyledons Y-shaped (bisected); stems square in cross-section, usually not glaucous, sometimes slightly glaucous on new growth; leaves opposite, sessile, slightly cordate to ovate, 2--6.5 cm long, 1.3--2.7 cm wide, dull grey-green, sometimes with slightly glaucous new leaves, bases rounded to truncate to amplexicaul. -BREAK-  "
eucalyptus pimpiniana,R009/T35,CCA0020,110,Eucalyptus,Symphyomyrtus,Dumaria,NA,Dissonae,NA,pimpiniana,NA,NA,FALSE,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,65,140,17,33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,3,5,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Mallees to 2 m tall and whole plant often wider than this. Forming a lignotuber. -BREAK- Bark smooth throughout, sometimes powdery, mottled salmon, pink, white, pale grey and brown. -BREAK- Branchlets have oil glands in the pith.  -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section; juvenile leaves alternate, petiolate, ovate to lanceolate, 6--8 cm long, 2.5--4 cm wide, base tapering, greenish grey.  -BREAK- Adult leaves alternate, petioles 1.5--2.5 cm long; blade lanceolate to broadly lanceolate, 6.5--14 cm long, 1.7--3.3 cm wide, base tapering to petiole, concolorous, thick, dull, blue-green to blue-grey or glaucous, side-veins usually obscured by oil glands, reticulation apparently absent, intramarginal vein rarely visible, oil glands very numerous.  -BREAK- Inflorescence axillary unbranched, peduncles always pendulous, (0.8)1.8--3(3.7) cm long, buds 9 to ?15, pedicellate, pedicels 0.6--1.3 cm long. Mature buds narrowly obovoid to pyriform (2--3.3 cm long, 0.7--1 cm wide), sometimes longitudinally ridged, scar present, operculum with a long beak (1.1--1.5 cm long), stamens inflexed, anthers oblong, versatile, dehiscing by lateral slits (non-confluent), style long, stigma blunt to tapered, locules usually 3, the placentae each with 4 vertical ovule rows. Flowers yellow.  -BREAK- Fruit pendulous, pedicellate, pedicels 0.5--1.2 cm long, cylindrical to barrel-shaped, 1.4--2 cm long, 0.9--1.2 cm wide, sometimes longitudinally ridged, disc descending, valves usually 3, enclosed.  -BREAK- Seeds grey-brown, 3--5 mm long, distorted-cuboid to ovoid with ridges on the sides, a conspicuous marginal flange, hilum more or less ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10): cotyledons reniform; stems rounded in cross-section; leaves always petiolate, opposite for 3 or 4 nodes then becoming alternate, ovate to lanceolate, 7--9 cm long, 2.5--5 cm wide, dull, dark green. "
eucalyptus suggrandis subsp. promiscua,R010/T01,CCA0022,311,Eucalyptus,Symphyomyrtus,Bisectae,Glandulosae,Erectae,Abundae,suggrandis,promiscua,NA,FALSE,TRUE,FALSE,FALSE,5,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33,70,3,10,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.8,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE," Mallee to 5 m tall. Forming a lignotuber. -BREAK- Bark smooth throughout, pale shiny or silvery grey over coppery or yellow. -BREAK- Branchlets have oil glands in the pith.  -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems rounded or squared in cross-section, green, smooth; leaves always shortly petiolate, alternate, linear to narrowly lanceolate, 3.2-6.7 cm long, 0.6-1.2 cm wide, base tapering, margin entire or with a few indentations, apex acute or apiculate, green, dull or slightly glossy. -BREAK- Adult leaves held erect, alternate, with petioles to 0.7 cm long; blade linear to narrowly elliptical, 3.3-7 cm long, 0.3-1 cm wide, base tapering to petiole, margin entire or distantly indented, apex pointed, concolorous, glossy, green, the surface appearing ""glazed"", only the midrib and sometimes part of the intramarginal vein visible, all other venation obscured by numerous round oil glands, or, if side-veins are visible, then acute and incomplete. -BREAK- Inflorescence axillary unbranched, peduncles more or less flattened, widening apically, 0.6--2.2 cm long, buds 3 per umbel, on pedicels 0.3-1.2 cm long. Mature buds ovoid-fusiform (1.1--1.7 cm long, 0.4--0.6 cm wide), hypanthium clearly 2 or 3-ridged/angled (rarely 4-angled), tapering to a flattened pedicel, operculum scar usually absent because the outer operculum rarely sheds whole but commonly fragments during bud development or splits with parts remaining on rim of flower/fruit as calyx lobes, inner operculum pointed or shortly beaked, as long as the hypanthium, sometimes slightly warty, stamens all erect, anthers versatile, dorsifixed, dehiscing by longitudinal slits, style long and straight arising from a conical ovary roof, stigma blunt, locules 3 or 4, the placentae each with 4 (sometimes 6) vertical rows of ovules. Flowers creamy white. -BREAK- Fruit pedicellate (pedicels 0.3-1.2 cm long), obconical, 0.6--1.5 cm long, 0.5--0.9 cm wide, conspicuously 2 or 3 ribbed/angled (rarely with 4 angles), disc descending, hidden by the conspicuous flat persistent staminophore, valves 3 or 4, at rim level or appearing exserted due to the persistent style fragments. -BREAK- Seeds brown, 0.8--2 mm long, ovoid, dorsal surface clearly but shallowly reticulate (not pitted), hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at node 10): cotyledons Y-shaped (bisected); not grown yet. "
