old,new
2073,2073
6796,6796
2082,2082
3206,3206
6746,6746
Ahisp_1,Ahisp_1
2103,2103
2484,2484
2534,2534
5141,5141
1905,1905
1929,1929
5858,5858
229,229
1160,1160
3421,3421
6707,6707
1335,1335
4192,4192
2474,2474
2695,2695
4264,4264
4288,4288
2213,2213
5076,5076
7227,7227
702,702
2541,2541
1940,1940
5851,5851
1900,1900
1906,1906
542,542
4267,4267
5750,5750
2439,2439
2463,2463
1928,1928
1907,1907
5112,5112
1210,1210
1708,1708
1208,1208
2530,2530
2466,2466
1336,1336
2443,2443
1138,1138
3761,3761
5523,5523
2461,2461
4215,4215
1147,1147
1190,1190
4260,4260
537,537
5733,5733
2527,2527
2504,2504
1259,1259
2092,2092
1319,1319
2515,2515
2479,2479
1196,1196
2434,2434
1939,1939
1198,1198
4207,4207
5806,5806
2497,2497
1902,1902
4197,4197
2457,2457
4218,4218
2476,2476
1343,1343
1912,1912
2502,2502
2437,2437
1318,1318
2513,2513
2507,2507
1290,1290
2120,2120
2449,2449
4175,4175
684,684
2084,2084
714,714
2110,2110
5128,5128
2488,2488
1246,1246
721,721
2547,2547
700,700
688,688
657,657
6217,6217
2087,2087
6456,6456
1299,1299
216,216
200,200
2083,2083
3448,3448
4677,4677
5458,5458
5200,5200
2934,2934
1754,1754
1224,1224
7365,7365
356,356
4745,4745
7,7
1530,1530
2475,2475
4211,4211
1676,1676
2898,2898
2214,2214
3437,3437
3699,3699
942,942
3180,3180
Ealb_1,Ealb_1
825,825
3675,3675
3678,3678
5480,5480
1774,1774
1773,1773
776,776
7046,7046
1284,1284
6497,6497
604,604
668,668
1987,1987
6723,6723
670,670
1136,1136
3706,3706
5983,5983
3746,3746
3554,3554
939,939
5905,5905
150,150
2264,2264
5996,5996
6359,6359
617,617
772,772
1263,1263
2090,2090
176,176
4604,4604
296,296
2216,2216
5556,5556
1127,1127
4803,4803
1800,1800
4319,4319
1990,1990
7389,7389
1588,1588
249,249
4626,4626
1191,1191
5766,5766
5778,5778
287,287
4313,4313
355,355
1149,1149
1888,1888
1890,1890
328,328
7001,7001
5468,5468
1826,1826
4551,4551
3423,3423
3438,3438
3503,3503
194,194
214,214
2243,2243
3585,3585
1903,1903
4224,4224
6104,6104
1227,1227
6263,6263
6312,6312
665,665
2938,2938
6455,6455
1269,1269
6177,6177
118,118
3602,3602
347,347
2784,2784
1241,1241
653,653
1989,1989
7412,7412
5577,5577
5575,5575
1734,1734
7378,7378
6097,6097
815,815
7234,7234
2208,2208
5708,5708
783,783
2065,2065
3183,3183
5285,5285
5915,5915
773,773
3203,3203
468,468
3212,3212
19492,19492
21163,21163
2518,2518
6438,6438
722,722
3796,3796
1225,1225
2916,2916
5872,5872
6284,6284
1733,1733
2902,2902
1739,1739
6307,6307
1072,1072
5966,5966
553,553
2245,2245
2801,2801
5514,5514
1316,1316
2512,2512
1936,1936
4220,4220
6640,6640
570,570
5271,5271
760,760
2950,2950
136,136
2166,2166
2168,2168
1988,1988
1965,1965
1967,1967
4513,4513
6478,6478
223,223
6703,6703
5542,5542
3813,3813
5550,5550
6026,6026
308,308
3679,3679
3683,3683
5612,5612
6682,6682
304,304
5455,5455
5610,5610
1691,1691
5281,5281
5929,5929
60,60
103,103
1074,1074
2587,2587
2800,2800
1674,1674
1669,1669
1878,1878
3753,3753
3757,3757
3978,3978
746,746
2102,2102
2930,2930
1249,1249
2943,2943
1112,1112
3177,3177
3829,3829
4558,4558
4786,4786
4794,4794
949,949
732,732
2896,2896
2553,2553
1206,1206
2555,2555
3523,3523
4177,4177
5077,5077
5571,5571
823,823
4733,4733
5156,5156
5233,5233
5279,5279
6136,6136
6389,6389
2489,2489
4231,4231
4258,4258
5747,5747
1314,1314
697,697
662,662
709,709
2077,2077
6794,6794
1248,1248
2546,2546
332,332
2174,2174
5660,5660
762,762
616,616
576,576
6333,6333
6782,6782
5024,5024
6219,6219
1506,1506
487,487
300,300
2192,2192
533,533
2722,2722
241,241
1076,1076
640,640
5262,5262
203,203
1236,1236
2925,2925
547,547
4302,4302
132,132
2232,2232
182,182
3574,3574
577,577
7387,7387
2509,2509
5143,5143
675,675
1255,1255
6148,6148
6464,6464
6806,6806
1315,1315
1334,1334
3211,3211
6277,6277
569,569
3182,3182
1053,1053
2569,2569
1683,1683
333,333
7295,7295
193,193
3779,3779
673,673
2097,2097
5025,5025
1897,1897
2767,2767
1391,1391
7307,7307
2631,2631
2715,2715
1639,1639
6370,6370
3570,3570
4805,4805
4585,4585
4588,4588
4611,4611
1908,1908
