"","Binomial","Genus","Subgenus","Section","Series","Subseries","Species","Subspecies","Regeneration.Strategy","RowTree","FieldID","name","EUCLID.name","cca.synonym","genus","species","subspecies","habit_tree","habit_mallee","habit_marlock","habit_shrub","height_max_m","leaf_length_mm_min","leaf_length_mm_max","leaf_width_mm_min","leaf_width_mm_max","EUCLID_botanical_desc","X"
"1","Eucalyptus gomphocephala","Eucalyptus","Symphyomyrtus","Bolites","","","gomphocephala","","Stem","R047/T35","CCA0699","eucalyptus gomphocephala","eucalyptus gomphocephala","","Eucalyptus","gomphocephala",NA,TRUE,FALSE,FALSE,FALSE,40,100,180,15,30,"Tree to 40 m tall. Lignotuber absent but has epicormic buds up stem. -BREAK- Bark rough throughout, finely fibrous, flaky and grey, becoming tessellated on large, old stems. -BREAK- Branchlets usually with oil glands in the pith (occasionally very few and difficult to find).  -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section; juvenile leaves always petiolate, opposite for ca 4 to 8 nodes then alternate, ovate or cordate, 9--15 cm long, 5.5--9.5 cm wide, base lobed to truncate, discolorous, green.  -BREAK- Adult leaves alternate, petioles 1--3 cm long; blade lanceolate, 10--18 cm long, 1.5--3 cm wide, base tapering to petiole, margin entire, apex pointed, concolorous, glossy, green, side-veins greater than 45° to midrib, reticulation dense, intramarginal vein close to margin, oil glands few, intersectional, or obscure.  -BREAK- Inflorescence axillary unbranched, peduncles flattened, widest apically, 1--3 cm long, buds 7 per umbel, usually shortly pedicellate or rarely sessile (pedicels 0--0.2 cm long). Mature buds like young mushrooms in outline (1.5--2.4 cm long, 0.9--1.2 cm wide), operculum hemispherical and wider than the obconical hypanthium at the join, scar present (outer operculum lost early), stamens irregularly flexed, anthers oblong, versatile, dorsifixed, dehiscing by longitudinal slits, style long and straight, stigma blunt, locules (3)4(5), the placentae each with 4 vertical rows of ovules (sometimes with a few extra laterally placed ovules). Flowers white.  -BREAK- Fruit pedicellate to rarely sessile (pedicels 0--0.8 cm long), campanulate to obconical, 1--1.9 cm long, 1.2--1.8 cm wide, sometimes with 2 partial longitudinal ridges extending from the pedicel, disc narrow, slightly raised to level or slightly descending, valves (3)4(5), rim level to partly exserted.  -BREAK- Seeds blackish to grey-brown, 2--3.5 mm long, flattened and saucer-shaped to flattened-ovoid, dorsal surface finely striate or wrinkled, a narrow circumferential flange sometimes present, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at node 10): cotyledons bisected to bilobed (broadly Y-shaped); stems rounded in cross-section; leaves always petiolate, opposite for 4 to 8 nodes then alternate, deltoid to ovate or rarely cordate, 6--8 cm long, 4--6.5 cm wide, discolorous, dull, light green above, paler still below.",""
"2","Eucalyptus gomphocephala","Eucalyptus","Symphyomyrtus","Bolites","","","gomphocephala","","Stem","R047/T36","CCA0700","eucalyptus gomphocephala","eucalyptus gomphocephala","","Eucalyptus","gomphocephala",NA,TRUE,FALSE,FALSE,FALSE,40,100,180,15,30,"Tree to 40 m tall. Lignotuber absent but has epicormic buds up stem. -BREAK- Bark rough throughout, finely fibrous, flaky and grey, becoming tessellated on large, old stems. -BREAK- Branchlets usually with oil glands in the pith (occasionally very few and difficult to find).  -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section; juvenile leaves always petiolate, opposite for ca 4 to 8 nodes then alternate, ovate or cordate, 9--15 cm long, 5.5--9.5 cm wide, base lobed to truncate, discolorous, green.  -BREAK- Adult leaves alternate, petioles 1--3 cm long; blade lanceolate, 10--18 cm long, 1.5--3 cm wide, base tapering to petiole, margin entire, apex pointed, concolorous, glossy, green, side-veins greater than 45° to midrib, reticulation dense, intramarginal vein close to margin, oil glands few, intersectional, or obscure.  -BREAK- Inflorescence axillary unbranched, peduncles flattened, widest apically, 1--3 cm long, buds 7 per umbel, usually shortly pedicellate or rarely sessile (pedicels 0--0.2 cm long). Mature buds like young mushrooms in outline (1.5--2.4 cm long, 0.9--1.2 cm wide), operculum hemispherical and wider than the obconical hypanthium at the join, scar present (outer operculum lost early), stamens irregularly flexed, anthers oblong, versatile, dorsifixed, dehiscing by longitudinal slits, style long and straight, stigma blunt, locules (3)4(5), the placentae each with 4 vertical rows of ovules (sometimes with a few extra laterally placed ovules). Flowers white.  -BREAK- Fruit pedicellate to rarely sessile (pedicels 0--0.8 cm long), campanulate to obconical, 1--1.9 cm long, 1.2--1.8 cm wide, sometimes with 2 partial longitudinal ridges extending from the pedicel, disc narrow, slightly raised to level or slightly descending, valves (3)4(5), rim level to partly exserted.  -BREAK- Seeds blackish to grey-brown, 2--3.5 mm long, flattened and saucer-shaped to flattened-ovoid, dorsal surface finely striate or wrinkled, a narrow circumferential flange sometimes present, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at node 10): cotyledons bisected to bilobed (broadly Y-shaped); stems rounded in cross-section; leaves always petiolate, opposite for 4 to 8 nodes then alternate, deltoid to ovate or rarely cordate, 6--8 cm long, 4--6.5 cm wide, discolorous, dull, light green above, paler still below.",""
"3","Eucalyptus gomphocephala","Eucalyptus","Symphyomyrtus","Bolites","","","gomphocephala","","Stem","R069/T12","CCA1202","eucalyptus gomphocephala","eucalyptus gomphocephala","","Eucalyptus","gomphocephala",NA,TRUE,FALSE,FALSE,FALSE,40,100,180,15,30,"Tree to 40 m tall. Lignotuber absent but has epicormic buds up stem. -BREAK- Bark rough throughout, finely fibrous, flaky and grey, becoming tessellated on large, old stems. -BREAK- Branchlets usually with oil glands in the pith (occasionally very few and difficult to find).  -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section; juvenile leaves always petiolate, opposite for ca 4 to 8 nodes then alternate, ovate or cordate, 9--15 cm long, 5.5--9.5 cm wide, base lobed to truncate, discolorous, green.  -BREAK- Adult leaves alternate, petioles 1--3 cm long; blade lanceolate, 10--18 cm long, 1.5--3 cm wide, base tapering to petiole, margin entire, apex pointed, concolorous, glossy, green, side-veins greater than 45° to midrib, reticulation dense, intramarginal vein close to margin, oil glands few, intersectional, or obscure.  -BREAK- Inflorescence axillary unbranched, peduncles flattened, widest apically, 1--3 cm long, buds 7 per umbel, usually shortly pedicellate or rarely sessile (pedicels 0--0.2 cm long). Mature buds like young mushrooms in outline (1.5--2.4 cm long, 0.9--1.2 cm wide), operculum hemispherical and wider than the obconical hypanthium at the join, scar present (outer operculum lost early), stamens irregularly flexed, anthers oblong, versatile, dorsifixed, dehiscing by longitudinal slits, style long and straight, stigma blunt, locules (3)4(5), the placentae each with 4 vertical rows of ovules (sometimes with a few extra laterally placed ovules). Flowers white.  -BREAK- Fruit pedicellate to rarely sessile (pedicels 0--0.8 cm long), campanulate to obconical, 1--1.9 cm long, 1.2--1.8 cm wide, sometimes with 2 partial longitudinal ridges extending from the pedicel, disc narrow, slightly raised to level or slightly descending, valves (3)4(5), rim level to partly exserted.  -BREAK- Seeds blackish to grey-brown, 2--3.5 mm long, flattened and saucer-shaped to flattened-ovoid, dorsal surface finely striate or wrinkled, a narrow circumferential flange sometimes present, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at node 10): cotyledons bisected to bilobed (broadly Y-shaped); stems rounded in cross-section; leaves always petiolate, opposite for 4 to 8 nodes then alternate, deltoid to ovate or rarely cordate, 6--8 cm long, 4--6.5 cm wide, discolorous, dull, light green above, paler still below.",""
"4","Eucalyptus gomphocephala","Eucalyptus","Symphyomyrtus","Bolites","","","gomphocephala","","Stem","R069/T13","CCA1203","eucalyptus gomphocephala","eucalyptus gomphocephala","","Eucalyptus","gomphocephala",NA,TRUE,FALSE,FALSE,FALSE,40,100,180,15,30,"Tree to 40 m tall. Lignotuber absent but has epicormic buds up stem. -BREAK- Bark rough throughout, finely fibrous, flaky and grey, becoming tessellated on large, old stems. -BREAK- Branchlets usually with oil glands in the pith (occasionally very few and difficult to find).  -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section; juvenile leaves always petiolate, opposite for ca 4 to 8 nodes then alternate, ovate or cordate, 9--15 cm long, 5.5--9.5 cm wide, base lobed to truncate, discolorous, green.  -BREAK- Adult leaves alternate, petioles 1--3 cm long; blade lanceolate, 10--18 cm long, 1.5--3 cm wide, base tapering to petiole, margin entire, apex pointed, concolorous, glossy, green, side-veins greater than 45° to midrib, reticulation dense, intramarginal vein close to margin, oil glands few, intersectional, or obscure.  -BREAK- Inflorescence axillary unbranched, peduncles flattened, widest apically, 1--3 cm long, buds 7 per umbel, usually shortly pedicellate or rarely sessile (pedicels 0--0.2 cm long). Mature buds like young mushrooms in outline (1.5--2.4 cm long, 0.9--1.2 cm wide), operculum hemispherical and wider than the obconical hypanthium at the join, scar present (outer operculum lost early), stamens irregularly flexed, anthers oblong, versatile, dorsifixed, dehiscing by longitudinal slits, style long and straight, stigma blunt, locules (3)4(5), the placentae each with 4 vertical rows of ovules (sometimes with a few extra laterally placed ovules). Flowers white.  -BREAK- Fruit pedicellate to rarely sessile (pedicels 0--0.8 cm long), campanulate to obconical, 1--1.9 cm long, 1.2--1.8 cm wide, sometimes with 2 partial longitudinal ridges extending from the pedicel, disc narrow, slightly raised to level or slightly descending, valves (3)4(5), rim level to partly exserted.  -BREAK- Seeds blackish to grey-brown, 2--3.5 mm long, flattened and saucer-shaped to flattened-ovoid, dorsal surface finely striate or wrinkled, a narrow circumferential flange sometimes present, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at node 10): cotyledons bisected to bilobed (broadly Y-shaped); stems rounded in cross-section; leaves always petiolate, opposite for 4 to 8 nodes then alternate, deltoid to ovate or rarely cordate, 6--8 cm long, 4--6.5 cm wide, discolorous, dull, light green above, paler still below.",""
"5","Eucalyptus vesiculosa","Eucalyptus","Symphyomyrtus","'Glandulosae' ms","Clinatae","","vesiculosa","","Seeder","R234/T09","CCA4637","eucalyptus vesiculosa","eucalyptus vesiculosa","","Eucalyptus","vesiculosa",NA,TRUE,FALSE,TRUE,FALSE,3,50,70,25,40,"Marlock (single-stemmed small tree branching low) to 3 m tall, trunk slender. Lignotuber absent. -BREAK- Bark smooth throughout, shiny, grey over rich red-brown. -BREAK- Branchlets with large, clear oil glands in the pith. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): not seen. -BREAK- Adult leaves thick, held erect, alternate, petioles 2--3 cm long; blade elliptical to sub-orbicular or ovate, (4.2)5--7 cm long, 2.5--4 cm wide, base tapering to petiole, margin entire or distantly indented, apex rounded and apiculate or shallowly emarginate, concolorous, green, side-veins acute, intramarginal vein remote from margin, reticulation obscured by numerous round oil glands. -BREAK- Inflorescence axillary unbranched, peduncles down-turned, strap-like, 1--4.5 cm long, buds (3)7, sessile to shortly pedicellate (pedicels 0--0.6 cm long). Mature buds more or less ovoid (1.5--1.7 cm long, 0.9--1 cm wide), egg-in-eggcup, i.e. the operculum narrower than the hypanthium at the join, scar present, operculum bluntly conical to rounded, grossly warty and pink to red contrasting with the green hypanthium with 4--6 prominent longitudinal ridges, stamens inflexed to varying degrees (rarely one or two outer stamens erect), anthers narrowly oblong, versatile, dorsifixed, dehiscing by longitudinal slits, style long and straight, stigma blunt, locules 5(6), the placentae each with 6 vertical rows of ovules. Flowers with red (rarely pale pink) filaments and cream anthers. -BREAK- Fruit sessile to shortly pedicellate (pedicels 0--0.1 cm long), obconical, 1.5--1.8 cm long, 1.4--2 cm wide, disc level and finally descending, valves 5(6), at rim level or enclosed. -BREAK- Seeds shiny blackish brown, 1--2 mm long, flattened-ovoid, dorsal surface shallowly reticulate, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at node 10): cotyledons Y-shaped (bisected); stems rounded in cross-section, scabrid; leaves always petiolate, opposite for 3 or 4 nodes then alternate, ovate or deltoid, 3--4.5 cm long, 2.5--3.5 cm wide, dull, green, scabrid on surfaces and margins for at least 11 nodes. Scabridity due to bristle-glands.",""
"6","Eucalyptus vesiculosa","Eucalyptus","Symphyomyrtus","'Glandulosae' ms","Clinatae","","vesiculosa","","Seeder","R234/T10","CCA4638","eucalyptus vesiculosa","eucalyptus vesiculosa","","Eucalyptus","vesiculosa",NA,TRUE,FALSE,TRUE,FALSE,3,50,70,25,40,"Marlock (single-stemmed small tree branching low) to 3 m tall, trunk slender. Lignotuber absent. -BREAK- Bark smooth throughout, shiny, grey over rich red-brown. -BREAK- Branchlets with large, clear oil glands in the pith. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): not seen. -BREAK- Adult leaves thick, held erect, alternate, petioles 2--3 cm long; blade elliptical to sub-orbicular or ovate, (4.2)5--7 cm long, 2.5--4 cm wide, base tapering to petiole, margin entire or distantly indented, apex rounded and apiculate or shallowly emarginate, concolorous, green, side-veins acute, intramarginal vein remote from margin, reticulation obscured by numerous round oil glands. -BREAK- Inflorescence axillary unbranched, peduncles down-turned, strap-like, 1--4.5 cm long, buds (3)7, sessile to shortly pedicellate (pedicels 0--0.6 cm long). Mature buds more or less ovoid (1.5--1.7 cm long, 0.9--1 cm wide), egg-in-eggcup, i.e. the operculum narrower than the hypanthium at the join, scar present, operculum bluntly conical to rounded, grossly warty and pink to red contrasting with the green hypanthium with 4--6 prominent longitudinal ridges, stamens inflexed to varying degrees (rarely one or two outer stamens erect), anthers narrowly oblong, versatile, dorsifixed, dehiscing by longitudinal slits, style long and straight, stigma blunt, locules 5(6), the placentae each with 6 vertical rows of ovules. Flowers with red (rarely pale pink) filaments and cream anthers. -BREAK- Fruit sessile to shortly pedicellate (pedicels 0--0.1 cm long), obconical, 1.5--1.8 cm long, 1.4--2 cm wide, disc level and finally descending, valves 5(6), at rim level or enclosed. -BREAK- Seeds shiny blackish brown, 1--2 mm long, flattened-ovoid, dorsal surface shallowly reticulate, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at node 10): cotyledons Y-shaped (bisected); stems rounded in cross-section, scabrid; leaves always petiolate, opposite for 3 or 4 nodes then alternate, ovate or deltoid, 3--4.5 cm long, 2.5--3.5 cm wide, dull, green, scabrid on surfaces and margins for at least 11 nodes. Scabridity due to bristle-glands.",""
"7","Eucalyptus vesiculosa","Eucalyptus","Symphyomyrtus","'Glandulosae' ms","Clinatae","","vesiculosa","","Seeder","R234/T12","CCA4639","eucalyptus vesiculosa","eucalyptus vesiculosa","","Eucalyptus","vesiculosa",NA,TRUE,FALSE,TRUE,FALSE,3,50,70,25,40,"Marlock (single-stemmed small tree branching low) to 3 m tall, trunk slender. Lignotuber absent. -BREAK- Bark smooth throughout, shiny, grey over rich red-brown. -BREAK- Branchlets with large, clear oil glands in the pith. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): not seen. -BREAK- Adult leaves thick, held erect, alternate, petioles 2--3 cm long; blade elliptical to sub-orbicular or ovate, (4.2)5--7 cm long, 2.5--4 cm wide, base tapering to petiole, margin entire or distantly indented, apex rounded and apiculate or shallowly emarginate, concolorous, green, side-veins acute, intramarginal vein remote from margin, reticulation obscured by numerous round oil glands. -BREAK- Inflorescence axillary unbranched, peduncles down-turned, strap-like, 1--4.5 cm long, buds (3)7, sessile to shortly pedicellate (pedicels 0--0.6 cm long). Mature buds more or less ovoid (1.5--1.7 cm long, 0.9--1 cm wide), egg-in-eggcup, i.e. the operculum narrower than the hypanthium at the join, scar present, operculum bluntly conical to rounded, grossly warty and pink to red contrasting with the green hypanthium with 4--6 prominent longitudinal ridges, stamens inflexed to varying degrees (rarely one or two outer stamens erect), anthers narrowly oblong, versatile, dorsifixed, dehiscing by longitudinal slits, style long and straight, stigma blunt, locules 5(6), the placentae each with 6 vertical rows of ovules. Flowers with red (rarely pale pink) filaments and cream anthers. -BREAK- Fruit sessile to shortly pedicellate (pedicels 0--0.1 cm long), obconical, 1.5--1.8 cm long, 1.4--2 cm wide, disc level and finally descending, valves 5(6), at rim level or enclosed. -BREAK- Seeds shiny blackish brown, 1--2 mm long, flattened-ovoid, dorsal surface shallowly reticulate, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at node 10): cotyledons Y-shaped (bisected); stems rounded in cross-section, scabrid; leaves always petiolate, opposite for 3 or 4 nodes then alternate, ovate or deltoid, 3--4.5 cm long, 2.5--3.5 cm wide, dull, green, scabrid on surfaces and margins for at least 11 nodes. Scabridity due to bristle-glands.",""
"8","Eucalyptus astringens subsp. astringens","Eucalyptus","Symphyomyrtus","'Glandulosae' ms","Erectae","Pedicellatae","astringens","astringens","Seeder","R227/T02","CCA4441","eucalyptus astringens subsp. astringens","eucalyptus astringens subsp. astringens","","Eucalyptus","astringens","astringens",FALSE,TRUE,FALSE,FALSE,25,60,140,10,25,"Mallet to 15 m tall, rarely to 25 m. Lignotuber absent. -BREAK- Bark smooth throughout, pale shiny grey over salmon to brown, but often with small curled flakes of dead bark adhering to lower trunk. -BREAK- Branchlets with oil glands in the pith. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section; juvenile leaves always petiolate, alternate, ovate-lanceolate, 6--10 cm long, 2--6 cm wide, dull, grey-green. -BREAK- Adult leaves alternate, petioles 1--2.5 cm long; blade lanceolate, rarely falcate, 6--14 cm long, (0.8)1--2.5(3.5) cm wide, base tapering to petiole, margin entire, apex finely pointed, concolorous, green, at least slightly glossy, side-veins at an acute or wider angle to midrib, reticulation sparse to moderate (or sometimes dense) and clear, intramarginal vein present, oil glands numerous, Â± round, island and intersectional. -BREAK- Inflorescence axillary unbranched, spreading to pendulous, peduncles narrowly to broadly flattened, 1.2--3.2 cm long, buds 7 per umbel, pedicellate (pedicels 0.2--0.9 cm long). Mature buds stubby to slightly elongated, 1.5--2 cm long, 0.5--0.7 cm wide, swollen at or just below the join, scar present (outer operculum shed early), inner operculum horn-shaped but usually blunt, ca 1.2--2 times the length of the hypanthium, stamens erect, anthers oblong, versatile, dorsifixed, dehiscing by longitudinal slits, style long and straight, stigma blunt, locules 3 or 4, the placentae each with 4 vertical rows of ovules. Flowers cream to pale lemon. -BREAK- Fruit pedicellate (pedicels 0.2--0.7 cm long), cupular to campanulate or obconical, 0.7--1.2 cm long, 0.6--1 cm wide, disc level at first then descending, valves 3 or 4, held at rim level or slightly exserted. -BREAK- Seeds blackish brown, 1--2.5 mm long, ovoid to flattened-ovoid, dorsal surface shallowly and clearly reticulate, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at node 10): cotyledons Y-shaped (bisected); stems rounded in cross-section; leaves always petiolate, opposite for 4 or 5 nodes then alternate, deltoid to ovate, 4--8 cm long, 2--6.5 cm wide, dull, green to blue-green.",""
"9","Eucalyptus astringens subsp. astringens","Eucalyptus","Symphyomyrtus","'Glandulosae' ms","Erectae","Pedicellatae","astringens","astringens","Seeder","R227/T03","CCA4442","eucalyptus astringens subsp. astringens","eucalyptus astringens subsp. astringens","","Eucalyptus","astringens","astringens",FALSE,TRUE,FALSE,FALSE,25,60,140,10,25,"Mallet to 15 m tall, rarely to 25 m. Lignotuber absent. -BREAK- Bark smooth throughout, pale shiny grey over salmon to brown, but often with small curled flakes of dead bark adhering to lower trunk. -BREAK- Branchlets with oil glands in the pith. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section; juvenile leaves always petiolate, alternate, ovate-lanceolate, 6--10 cm long, 2--6 cm wide, dull, grey-green. -BREAK- Adult leaves alternate, petioles 1--2.5 cm long; blade lanceolate, rarely falcate, 6--14 cm long, (0.8)1--2.5(3.5) cm wide, base tapering to petiole, margin entire, apex finely pointed, concolorous, green, at least slightly glossy, side-veins at an acute or wider angle to midrib, reticulation sparse to moderate (or sometimes dense) and clear, intramarginal vein present, oil glands numerous, Â± round, island and intersectional. -BREAK- Inflorescence axillary unbranched, spreading to pendulous, peduncles narrowly to broadly flattened, 1.2--3.2 cm long, buds 7 per umbel, pedicellate (pedicels 0.2--0.9 cm long). Mature buds stubby to slightly elongated, 1.5--2 cm long, 0.5--0.7 cm wide, swollen at or just below the join, scar present (outer operculum shed early), inner operculum horn-shaped but usually blunt, ca 1.2--2 times the length of the hypanthium, stamens erect, anthers oblong, versatile, dorsifixed, dehiscing by longitudinal slits, style long and straight, stigma blunt, locules 3 or 4, the placentae each with 4 vertical rows of ovules. Flowers cream to pale lemon. -BREAK- Fruit pedicellate (pedicels 0.2--0.7 cm long), cupular to campanulate or obconical, 0.7--1.2 cm long, 0.6--1 cm wide, disc level at first then descending, valves 3 or 4, held at rim level or slightly exserted. -BREAK- Seeds blackish brown, 1--2.5 mm long, ovoid to flattened-ovoid, dorsal surface shallowly and clearly reticulate, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at node 10): cotyledons Y-shaped (bisected); stems rounded in cross-section; leaves always petiolate, opposite for 4 or 5 nodes then alternate, deltoid to ovate, 4--8 cm long, 2--6.5 cm wide, dull, green to blue-green.",""
"10","Eucalyptus astringens subsp. astringens","Eucalyptus","Symphyomyrtus","'Glandulosae' ms","Erectae","Pedicellatae","astringens","astringens","Seeder","R227/T04","CCA4443","eucalyptus astringens subsp. astringens","eucalyptus astringens subsp. astringens","","Eucalyptus","astringens","astringens",FALSE,TRUE,FALSE,FALSE,25,60,140,10,25,"Mallet to 15 m tall, rarely to 25 m. Lignotuber absent. -BREAK- Bark smooth throughout, pale shiny grey over salmon to brown, but often with small curled flakes of dead bark adhering to lower trunk. -BREAK- Branchlets with oil glands in the pith. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section; juvenile leaves always petiolate, alternate, ovate-lanceolate, 6--10 cm long, 2--6 cm wide, dull, grey-green. -BREAK- Adult leaves alternate, petioles 1--2.5 cm long; blade lanceolate, rarely falcate, 6--14 cm long, (0.8)1--2.5(3.5) cm wide, base tapering to petiole, margin entire, apex finely pointed, concolorous, green, at least slightly glossy, side-veins at an acute or wider angle to midrib, reticulation sparse to moderate (or sometimes dense) and clear, intramarginal vein present, oil glands numerous, Â± round, island and intersectional. -BREAK- Inflorescence axillary unbranched, spreading to pendulous, peduncles narrowly to broadly flattened, 1.2--3.2 cm long, buds 7 per umbel, pedicellate (pedicels 0.2--0.9 cm long). Mature buds stubby to slightly elongated, 1.5--2 cm long, 0.5--0.7 cm wide, swollen at or just below the join, scar present (outer operculum shed early), inner operculum horn-shaped but usually blunt, ca 1.2--2 times the length of the hypanthium, stamens erect, anthers oblong, versatile, dorsifixed, dehiscing by longitudinal slits, style long and straight, stigma blunt, locules 3 or 4, the placentae each with 4 vertical rows of ovules. Flowers cream to pale lemon. -BREAK- Fruit pedicellate (pedicels 0.2--0.7 cm long), cupular to campanulate or obconical, 0.7--1.2 cm long, 0.6--1 cm wide, disc level at first then descending, valves 3 or 4, held at rim level or slightly exserted. -BREAK- Seeds blackish brown, 1--2.5 mm long, ovoid to flattened-ovoid, dorsal surface shallowly and clearly reticulate, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at node 10): cotyledons Y-shaped (bisected); stems rounded in cross-section; leaves always petiolate, opposite for 4 or 5 nodes then alternate, deltoid to ovate, 4--8 cm long, 2--6.5 cm wide, dull, green to blue-green.",""
