,TaxonoriginalDN,Taxonsimplified_DN,Acceptedname_ALA,Note.Gbif,Taxonresolution_ALA,Collector,UniqueID,Provenance,Latitudedegrees,Latitudeminutes,Latitudeseconds,Longitudedegrees,Longitudeminutes,Longitudeseconds,Lat,Long,Row,Tree,Row.Tree,StatusFeb2016,Drought2019,Drought2020,Recovery2019.2020,Regrowth,RegrowthLocation,RegrowthAge,Regrowthdieback,Timesincedeath.June2019.,Drought2006,MaturityMar2020,Maturity.at.June.2019,Yearplanted,DroughtImpact_20192020,DroughtImpact_20192020_shift,affected_tree_bin,number_rep_total_per_UniqueID,number_rep_2020_alive_per_UniqueID,percentage_affected,.groups
1,Eucalyptus viminalis subsp. hentyensis,Eucalyptus viminalis subsp. hentyensis,Eucalyptus viminalis subsp. hentyensis,,Subspecies,D.Nicolle,103,"Zeehan, Tas",42,2,33,145,16,13,42.0425,145.2702778,340,3,R340/T03,Alive,Moderate,Slight,?,None evident,,,,,Not applicable,,,2017,1,2,1,8,4,NA,drop
2,Eucalyptus viminalis subsp. hentyensis,Eucalyptus viminalis subsp. hentyensis,Eucalyptus viminalis subsp. hentyensis,,Subspecies,D.Nicolle,103,"Zeehan, Tas",42,2,33,145,16,13,42.0425,145.2702778,340,4,R340/T04,Alive,Moderate,Slight,?,None evident,,,,,Not applicable,,,2017,1,2,1,8,4,NA,drop
3,Eucalyptus sp. 'Southern wheatbelt' (aff. leptocalyx),Eucalyptus sp. Southern wheatbelt,Eucalyptus leptocalyx,,Species,D.Nicolle,103,"Lake Magenta, WA",33,35,37,119,23,54,33.59361111,119.3983333,314,5,R314/T05,Alive,Slight,Slight,?,None evident,,,,,Not applicable,Flowered,Flowered,2011,1,2,1,4,4,NA,drop
4,Eucalyptus cladocalyx subsp. crassa,Eucalyptus cladocalyx subsp. crassa,Eucalyptus cladocalyx subsp. crassa,,Subspecies,D.Nicolle,103,"Kangaroo Island, SA",35,58,38,136,51,26,35.97722222,136.8572222,75,10,R075/T10,Alive,Slight,Slight,?,Very scattered,Secondary branches,3 - 6 months,None evident,,None evident,Flowered,Flowered,1995,1,2,1,4,3,NA,drop
5,Eucalyptus occidentalis,Eucalyptus occidentalis,Eucalyptus occidentalis,,Species ,D.Nicolle,1053,"Cape Arid, WA",33,43,23,123,22,2,33.72305556,123.3672222,65,15,R065/T15,Alive,None evident,Slight,?,None evident,,,,,None evident,Flowered,Flowered,1995,1,2,1,4,4,NA,drop
6,Eucalyptus sporadica,Eucalyptus sporadica,Eucalyptus sporadica,,Species ,D.Nicolle,1053,"Ravensthorpe Range, WA",33,30,43,120,2,20,33.51194444,120.0388889,69,24,R069/T24,Alive,Moderate,Moderate,?,Extensive,Trunk + primary & secondary branches,3 - 9 months,Moderate,,None evident,Flowered,Flowered,1995,2,3,1,4,4,NA,drop
7,Eucalyptus sporadica,Eucalyptus sporadica,Eucalyptus sporadica,,Species ,D.Nicolle,1053,"Ravensthorpe Range, WA",33,30,43,120,2,20,33.51194444,120.0388889,69,25,R069/T25,Alive,None evident,Slight,?,Scattered,Primary & secondary branches,3 - 6 months,None evident,,None evident,Flowered,Flowered,1995,1,2,1,4,4,NA,drop
8,Eucalyptus glaucina,Eucalyptus glaucina,Eucalyptus glaucina,,Species ,CSIRO,1053,"Casino, NSW",29,8,30,153,0,30,29.14166667,153.0083333,80,3,R080/T03,Alive,Moderate,Slight,?,None evident,,,,,Slight,Flowered,Flowered,1999,1,2,1,4,4,NA,drop
9,Eucalyptus glaucina,Eucalyptus glaucina,Eucalyptus glaucina,,Species ,CSIRO,1072,"Casino, NSW",29,8,30,153,0,30,29.14166667,153.0083333,80,4,R080/T04,Alive,Moderate,Slight,?,None evident,,,,,None evident,Flowered,Flowered,1999,1,2,1,4,4,NA,drop
10,Eucalyptus rudis subsp. rudis,Eucalyptus rudis subsp. rudis,Eucalyptus rudis subsp. rudis,,Subspecies,D.Nicolle,1072,"Pallinup River, WA",34,24,21,118,43,48,34.40583333,118.73,69,34,R069/T34,Alive,Moderate,Moderate,?,None evident,,,,,Severe,Flowered,Flowered,1995,2,3,1,4,3,NA,drop
