UniqueID,Yearplanted.x,Taxonsimplified_DN,Provenance.x,latitude,longitude,AICorrected,MAT,ISOT,AP,PDryM,MaxTWarmM,PrecDeficit,height_max_m,LeafLenghtavg_mm,LeafWidth_avg_mm,LeafAreaEst_cm2,Thornhill_bionomial_tip_match2,percentage_affected,per_aff_spavg,per_aff_spavg_shift,AICorrected_spavg,MAT_spavg,MAP_spavg,PDryM_spavg,MaxTWarmM_spavg,PrecDeficit_spavg,height_max_m_spavg,LeafLenghtavg_mm_spavg,LeafWidth_avg_mm_spavg,LeafAreaEst_cm2_spavg
1076,1995,Eucalyptus capitanea,"Koonibba, SA",-31.79277778,133.43,0.1214,17.28750038,50.14254409,270,11,29.5,-269.7778,4,100,29.5,20.65,eucalyptus_angulosa,0,0,1,0.147525,17.70520991,282.5,10,31.00000038,-282.286975,4.75,96.25,32.5,21.870625
1078,1995,Eucalyptus yumbarrana,"Yumbarra Con. Park, SA",-31.81222222,133.4577778,0.121,17.35833359,54.31951905,269,11,29.60000038,-268.7779,8,100,35,24.5,eucalyptus_yumbarrana,0,0,1,0.12325,17.36458302,273,11,29.69999981,-272.7787,8,100,35,24.5
1079,1995,Eucalyptus omissa,"Yumbarra Con. Park, SA",-31.82416667,133.4558333,0.1215,17.375,49.13638422,269,11,29.60000038,-268.7788,9,54,8,3.024,eucalyptus_leptophylla,0,0,1,0.1586,17.63333393,326.6666667,16.16666667,32.28333359,-326.4465167,8.833333333,58.41666667,7.916666667,3.2305
1081,1995,Eucalyptus sinuensis,"Madura Beach, WA",-32.04555556,127.0430556,0.112,17.57500076,56.41464102,242,12,28.5,-241.784,6,70,8.5,4.165,eucalyptus_discreta,0,0.125,1.125,0.17935,16.7916667,341.25,16.75,28.9750001,-341.056275,6.75,71,9.25,4.58675
1095,1995,Eucalyptus occidentalis,"Cape Arid, WA",-33.72305556,123.3672222,0.287,16.25833321,56.90489197,510,23,28.20000076,-509.8224,20,112.5,22.5,17.71875,eucalyptus_occidentalis,0.25,0.25,1.25,0.3056,16.15694427,531.3333333,21.33333333,28.26666705,-531.1596,20,112.5,22.5,17.71875
1099,1995,Eucalyptus quadrans,"Truslove, WA",-33.3675,121.6933333,0.2239,16.38333321,53.99011421,410,18,29.29999924,-409.817,12,80,10,5.6,eucalyptus_quadrans,0,0,1,0.2145,16.16249991,392.5,18,29.19999981,-392.3171,12,80,10,5.6
1101,1995,Eucalyptus kessellii subsp. kessellii,"Mt Ridley, WA",-33.25861111,122.1244444,0.2206,16.29166603,53.9886055,398,23,28.79999924,-397.8197,10,107.5,25,18.8125,eucalyptus_kessellii,0,0,1,0.2206,16.29166603,398,23,28.79999924,-397.8197,10,107.5,25,18.8125
1104,1995,Eucalyptus flocktoniae subsp. hebes,"Salmon Gums, WA",-33.14694444,122.1080556,0.203,16.19583321,53.6395216,367,23,28.79999924,-366.8193,8,100,15,10.5,eucalyptus_flocktoniae,0,0,1,0.2035,16.4781251,375.25,18.5,29.22500038,-375.061275,8,37,14.25,3.801
1108,1995,Eucalyptus incrassata,"Bremer Range, WA",-32.695,120.7838889,0.1533,16.23749924,54.38943713,293,12,29.60000038,-292.809,8,100,20,14,eucalyptus_incrassata,0,0.071428571,1.071428571,0.205571429,16.59880914,382.4285714,15.28571429,28.6857145,-382.2378714,8,100,20,14
1110,1995,Eucalyptus deflexa,"Lake King, WA",-32.92027778,120.3658333,0.1512,16.42916679,52.36625671,290,11,29.79999924,-289.8083,3,62.5,7,3.0625,eucalyptus_deflexa,0,0,1,0.1512,16.42916679,290,11,29.79999924,-289.8083,3,62.5,7,3.0625
1112,1995,Eucalyptus calycogona subsp. calycogona,"Lake King, WA",-33.0725,120.2169444,0.1626,15.91250038,51.38501104,301,12,28.89999962,-300.815,5,75,13.5,7.0875,eucalyptus_calycogona,0,0,1,0.161,17.09722201,328.6666667,11.66666667,31.56666629,-328.4613,8.333333333,68.33333333,10.83333333,5.244166667
1121,1995,Eucalyptus megacornuta,"Ravensthorpe Range, WA",-33.51194444,120.0388889,0.2086,15.8125,53.73302841,375,18,28.20000076,-374.8203,15,80,17.5,9.8,eucalyptus_megacornuta,0,0,1,0.2086,15.8125,375,18,28.20000076,-374.8203,15,80,17.5,9.8
1122,1995,Eucalyptus sporadica,"Ravensthorpe Range, WA",-33.51194444,120.0388889,0.2086,15.8125,49.77526746,375,18,28.20000076,-374.8203,4,75,13,6.825,eucalyptus_aspratilis,0.5,0.166666667,1.166666667,0.1629,16.61249919,325.3333333,15.33333333,30.86666692,-325.1300333,4.666666667,78.33333333,15,8.248333333
