"","Taxon","name","binomial","genus","species","subspecies","taxon.1","Status","Accepted.name","Authority","Collection.source","ETS.accession","ITS.accession","matK.accession","psbA.accession"
"1","Acmena smithii","acmena smithii","acmena smithii","acmena","smithii",NA,"acmena smithii","Synonym","Syzygium smithii","(Poir.) Nied.","GenBank","AM489889","AM234137","DQ088545","AM489808"
"2","Agonis flexuosa","agonis flexuosa","agonis flexuosa","agonis","flexuosa",NA,"agonis flexuosa","Accepted","","(Muhl. ex Willd.) Sweet","GenBank","EU850635","DQ499115","AF184711",""
"3","Allosyncarpia ternata","allosyncarpia ternata","allosyncarpia ternata","allosyncarpia","ternata",NA,"allosyncarpia ternata","Accepted","","S.T.Blake","GenBank","DQ352477","DQ352477","","AF190370"
"4","Amomyrtus luma","amomyrtus luma","amomyrtus luma","amomyrtus","luma",NA,"amomyrtus luma","Accepted","","(Molina) D.Legrand & Kausel","GenBank","AM489892","AM234073","","AM489811"
"5","Angophora bakeri subsp. bakeri","angophora bakeri subsp. bakeri","angophora bakeri ","angophora","bakeri","bakeri","angophora bakeri subsp. bakeri","Accepted","","C.C.Hall","CANB 786317**","KT631411","KT630893","KT632621","KT632063"
"6","Angophora exul","angophora exul","angophora exul","angophora","exul",NA,"angophora exul","Accepted","","K.D.Hill","NSW 573034**","KT631413","KT630894","KT632623","KT632065"
"7","Angophora robur","angophora robur","angophora robur","angophora","robur",NA,"angophora robur","Accepted","","L.A.S.Johnson & K.D.Hill","NSW 537287**","KT631418","KT630899","KT632627",""
"8","Angophora woodsiana","angophora woodsiana","angophora woodsiana","angophora","woodsiana",NA,"angophora woodsiana","Accepted","","F.M.Bailey","CANB 786271**","KT631420","KT630901","KT632629","KT632070"
"9","Arillastrum gummiferum","arillastrum gummiferum","arillastrum gummiferum","arillastrum","gummiferum",NA,"arillastrum gummiferum","Accepted","","(Brongn. & Gris) Pancher ex Baill.","GenBank","DQ352479","DQ352479","AF368198","AF190372"
"10","Cloezia floribunda","cloezia floribunda","cloezia floribunda","cloezia","floribunda",NA,"cloezia floribunda","Accepted","","Brongn. & Gris","GenBank","AY606255","AF172767","AY521533",""
"11","Corymbia aparrerinja","corymbia aparrerinja","corymbia aparrerinja","corymbia","aparrerinja",NA,"corymbia aparrerinja","Accepted","","K.D.Hill & L.A.S.Johnson","CANB 785580**","KT631423","KT630902","KT632630","KT632072"
"12","Corymbia arafurica","corymbia arafurica","corymbia arafurica","corymbia","arafurica",NA,"corymbia arafurica","Accepted","","K.D.Hill & L.A.S.Johnson","CANB 557707**","KT631424","KT630903","KT632631","KT632073"
"13","Corymbia arenaria","corymbia arenaria","corymbia arenaria","corymbia","arenaria",NA,"corymbia arenaria","Accepted","","(Blakely) K.D.Hill &","CANB 785523**","KT631425","KT630904","KT632632","KT632074"
"14","Corymbia aspera","corymbia aspera","corymbia aspera","corymbia","aspera",NA,"corymbia aspera","Accepted","","(F.Muell.) K.D.Hill &","CANB 785505**","KT631426","","",""
"15","Corymbia blakei","corymbia blakei","corymbia blakei","corymbia","blakei",NA,"corymbia blakei","Accepted","","K.D.Hill & L.A.S.Johnson","CANB 582767**","KT631428","","",""
"16","Corymbia candida subsp. dispodes","corymbia candida subsp. dispodes","corymbia candida","corymbia","candida","dispodes","corymbia candida subsp. dispodes","Accepted","","K.D.Hill & L.A.S.Johnson","Currency Creek 2752","KT631435","KT630909","KT632640",""
"17","Corymbia catenaria","corymbia catenaria","corymbia catenaria","corymbia","catenaria",NA,"corymbia catenaria","Synonym","Corymbia watsoniana","(Brooker & A.R.Bean)","Currency Creek 700","KT631436","KT630910","KT632641",""
"18","Corymbia confertiflora","corymbia confertiflora","corymbia confertiflora","corymbia","confertiflora",NA,"corymbia confertiflora","Accepted","","(Kippist ex F.Muell.) K.D.Hill","CANB 785485**","KT631441","KT630914","KT632645","KT632085"
"19","Corymbia dallachiana","corymbia dallachiana","corymbia dallachiana","corymbia","dallachiana",NA,"corymbia dallachiana","Accepted","","(Benth.) K.D.Hill &","CANB 697829**","KT631442","KT630915","KT632646","KT632086"
"20","Corymbia dampieri","corymbia dampieri","corymbia dampieri","corymbia","dampieri",NA,"corymbia dampieri","Synonym","Corymbia greeniana","(D.J.Carr & S.G.M.Carr)","GenBank","DQ352493","GQ366359","",""
"21","Corymbia dendromerinx","corymbia dendromerinx","corymbia dendromerinx","corymbia","dendromerinx",NA,"corymbia dendromerinx","Accepted","","K.D.Hill & L.A.S.Johnson","CANB 644448**","KT631443","GQ366360","KT632647",""
"22","Corymbia dimorpha","corymbia dimorpha","corymbia dimorpha","corymbia","dimorpha",NA,"corymbia dimorpha","Synonym","Corymbia peltata","(Benth.) K.D.Hill &","GenBank","DQ352496","GQ366362","",""
"23","Corymbia dolichocarpa","corymbia dolichocarpa","corymbia dolichocarpa","corymbia","dolichocarpa",NA,"corymbia dolichocarpa","Synonym","Corymbia clarksoniana","(D.J.Carr & S.G.M.Carr)","GenBank","DQ352497","GQ366363","",""
"24","Corymbia dunlopiana","corymbia dunlopiana","corymbia dunlopiana","corymbia","dunlopiana",NA,"corymbia dunlopiana","Accepted","","K.D.Hill & L.A.S.Johnson","CANB 640209**","KT631446","KT630917","KT632650","KT632088"
"25","Corymbia flavescens","corymbia flavescens","corymbia flavescens","corymbia","flavescens",NA,"corymbia flavescens","Accepted","","K.D.Hill & L.A.S.Johnson","CANB 785561**","DQ352500","KT630922","KT632658",""
"26","Corymbia gilbertensis","corymbia gilbertensis","corymbia gilbertensis","corymbia","gilbertensis",NA,"corymbia gilbertensis","Accepted","","(Maiden & Blakely) K.D.Hill","CANB 739029**","KT631453","","",""
"27","Corymbia hylandii","corymbia hylandii","corymbia hylandii","corymbia","hylandii",NA,"corymbia hylandii","Accepted","","(D.J.Carr & S.G.M.Carr)","CANB 738922**","","","","KT632103"
"28","Corymbia lamprophylla","corymbia lamprophylla","corymbia lamprophylla","corymbia","lamprophylla",NA,"corymbia lamprophylla","Accepted","","(Brooker & A.R.Bean) K.D.Hill &","Mt Annan 842093","KT631462","","KT632665","KT632106"
"29","Corymbia ligans subsp. ligans","corymbia ligans subsp. ligans","corymbia ligans","corymbia","ligans","ligans","corymbia ligans subsp. ligans","Accepted","","K.D.Hill & L.A.S.Johnson","Mt Annan 892078","DQ352509","GQ366368","",""
"30","Corymbia opacula","corymbia opacula","corymbia opacula","corymbia","opacula",NA,"corymbia opacula","Accepted","","L.A.S.Johnson","GenBank","","DQ993125","",""
"31","Corymbia papuana","corymbia papuana","corymbia papuana","corymbia","papuana",NA,"corymbia papuana","Accepted","","(F.Muell.) K.D.Hill &","CANB 583122**","KT631471","AF190359","KT632671","KT632112"
"32","Corymbia pauciseta","corymbia pauciseta","corymbia pauciseta","corymbia","pauciseta",NA,"corymbia pauciseta","Accepted","","K.D.Hill & L.A.S.Johnson","CANB 448845**","KT631472","KT630929","KT632672","KT632113"
"33","Corymbia porphyritica","corymbia porphyritica","corymbia porphyritica","corymbia","porphyritica",NA,"corymbia porphyritica","Synonym","Corymbia ellipsoidea","(D.J.Carr & S.G.M.Carr) K.D.Hill","GenBank","DQ352516","","",""
"34","Corymbia stockeri subsp. stockeri","corymbia stockeri subsp. stockeri","corymbia stockeri","corymbia","stockeri","stockeri","corymbia stockeri subsp. stockeri","Accepted","","(D.J.Carr & S.G.M.Carr) K.D.Hill","GenBank","DQ352520","","",""
"35","Corymbia tessellaris","corymbia tessellaris","corymbia tessellaris","corymbia","tessellaris",NA,"corymbia tessellaris","Accepted","","(F.Muell.) K.D.Hill &","Currency Creek s.n.","KT631481","AF058457","KT632680","KT632122"
"36","Corymbia torelliana","corymbia torelliana","corymbia torelliana","corymbia","torelliana",NA,"corymbia torelliana","Accepted","","(F.Muell.) K.D.Hill &","Mt Annan 981102","KT631482","GQ366373","KT632681","KT632123"
"37","Corymbia torta","corymbia torta","corymbia torta","corymbia","torta",NA,"corymbia torta","Accepted","","K.D.Hill & L.A.S.Johnson","CANB 644409**","KT631483","","",""
"38","Corymbia variegata","corymbia variegata","corymbia variegata","corymbia","variegata",NA,"corymbia variegata","Synonym","Corymbia citriodora","(Hook.) K.D.Hill &","GenBank","DQ352524","AF390462","AF368203",""
"39","Decaspermum humile","decaspermum humile","decaspermum humile","decaspermum","humile",NA,"decaspermum humile","Accepted","","(Sweet ex G.Don) A.J.Scott","GenBank","AM489905","AM234128","","AM489824"
"40","Eucalyptopsis alauda","eucalyptopsis alauda","eucalyptopsis alauda","eucalyptopsis","alauda",NA,"eucalyptopsis alauda","Accepted","","Craven","CANB 704249**","KT631486","","","KT632126"
"41","Eucalyptopsis papuana","eucalyptopsis papuana","eucalyptopsis papuana","eucalyptopsis","papuana",NA,"eucalyptopsis papuana","Accepted","","C.T.White","GenBank","DQ352538","AF190354","AF368205","AF190388"
"42","Eucalyptus abdita","eucalyptus abdita","eucalyptus abdita","eucalyptus","abdita",NA,"eucalyptus abdita","Accepted","","Brooker & Hopper","CANB 687864**","KT631487","KT630934","KT632685","KT632127"
"43","Eucalyptus acroleuca","eucalyptus acroleuca","eucalyptus acroleuca","eucalyptus","acroleuca",NA,"eucalyptus acroleuca","Accepted","","L.A.S.Johnson & K.D.Hill","CANB 593424**","KT631493","","",""
"44","Eucalyptus alba","eucalyptus alba","eucalyptus alba","eucalyptus","alba",NA,"eucalyptus alba","Accepted","","Reinw. ex Blume","GenBank","","AF390485","",""
"45","Eucalyptus andrewsii subsp. andrewsii","eucalyptus andrewsii subsp. andrewsii","eucalyptus andrewsii","eucalyptus","andrewsii","andrewsii","eucalyptus andrewsii subsp. andrewsii","Accepted","","Maiden","ANBG 8410679","KT631506","","KT632702","KT632140"
"46","Eucalyptus apodophylla subsp. provecta","eucalyptus apodophylla subsp. provecta","eucalyptus apodophylla","eucalyptus","apodophylla","provecta","eucalyptus apodophylla subsp. provecta","Accepted","","Blakely & Jacobs","CANB 7855329**","KT631511","KT630953","KT632707","KT632145"
"47","Eucalyptus approximans subsp. codonocarpa","eucalyptus approximans subsp. codonocarpa","eucalyptus approximans","eucalyptus","approximans","codonocarpa","eucalyptus approximans subsp. codonocarpa","Accepted","","(Blakely & McKie) L.A.S.Johnson","ANBG 69702","KT631513","KT630955","KT632709","KT632147"
"48","Eucalyptus arachneae subsp. arecta","eucalyptus arachneae subsp. arecta","eucalyptus arachneae","eucalyptus","arachneae","arecta","eucalyptus arachneae subsp. arecta","Accepted","","Brooker & Hopper","CANB 435460**","KT631515","KT630956","KT632710","KT632148"
"49","Eucalyptus argyphea","eucalyptus argyphea","eucalyptus argyphea","eucalyptus","argyphea",NA,"eucalyptus argyphea","Accepted","","L.A.S.Johnson & K.D.Hill","Currency Creek 3433","KT631521","KT630960","KT632715","KT632151"
"50","Eucalyptus aromaphloia subsp. aromaphloia","eucalyptus aromaphloia subsp. aromaphloia","eucalyptus aromaphloia","eucalyptus","aromaphloia","aromaphloia","eucalyptus aromaphloia subsp. aromaphloia","Accepted","","Pryor & J.H.Willis","CANB 564611**","KT631522","AF058465","KT632716","KT632152"
"51","Eucalyptus balanites","eucalyptus balanites","eucalyptus balanites","eucalyptus","balanites",NA,"eucalyptus balanites","Accepted","","Grayling & Brooker","CANB 687715**","KT631532","","","KT632160"
"52","Eucalyptus balanopelex","eucalyptus balanopelex","eucalyptus balanopelex","eucalyptus","balanopelex",NA,"eucalyptus balanopelex","Accepted","","L.A.S.Johnson & K.D.Hill","Waite Arboretum 2459","KT631533","KT630970","KT632724","KT632161"
"53","Eucalyptus brachycorys","eucalyptus brachycorys","eucalyptus brachycorys","eucalyptus","brachycorys",NA,"eucalyptus brachycorys","Accepted","","Blakely","Currency Creek 1897","KT631550","KT630989","KT632741","KT632177"
"54","Eucalyptus brachyphylla","eucalyptus brachyphylla","eucalyptus brachyphylla","eucalyptus","brachyphylla",NA,"eucalyptus brachyphylla","Accepted","","C.A.Gardner","ANBG 9807043","KT631551","KT630990","KT632742","KT632178"
"55","Eucalyptus brookeriana subsp. brookeriana","eucalyptus brookeriana subsp. brookeriana","eucalyptus brookeriana","eucalyptus","brookeriana","brookeriana","eucalyptus brookeriana subsp. brookeriana","Accepted","","A.M.Gray","Currency Creek 1988","KT631558","KT630993","KT632749",""
"56","Eucalyptus brunnea","eucalyptus brunnea","eucalyptus brunnea","eucalyptus","brunnea",NA,"eucalyptus brunnea","Accepted","","L.A.S.Johnson & K.D.Hill","Currency Creek 669","KT631559","KT630994","KT632750","KT632183"
"57","Eucalyptus burgessiana","eucalyptus burgessiana","eucalyptus burgessiana","eucalyptus","burgessiana",NA,"eucalyptus burgessiana","Accepted","","L.A.S.Johnson & Blaxell","ANBG s.n.","KT631562","","KT632753","KT632185"
"58","Eucalyptus caesia subsp. caesia","eucalyptus caesia subsp. caesia","eucalyptus caesia","eucalyptus","caesia","caesia","eucalyptus caesia subsp. caesia","Accepted","","Benth.","Currency Creek 3683","KT631565","KT630998","KT632756","KT632188"
"59","Eucalyptus carnabyi","eucalyptus carnabyi","eucalyptus carnabyi","eucalyptus","carnabyi",NA,"eucalyptus carnabyi","Accepted","","Blakely & H.Steedman","CANB 632591**","KT631579","","","KT632200"
"60","Eucalyptus celastroides subsp. celastroides","eucalyptus celastroides subsp. celastroides","eucalyptus celastroides","eucalyptus","celastroides","celastroides","eucalyptus celastroides subsp. celastroides","Accepted","","Turcz.","Currency Creek 132","KT631583","KT631013","KT632773","KT632203"
"61","Eucalyptus cladocalyx","eucalyptus cladocalyx","eucalyptus cladocalyx","eucalyptus","cladocalyx",NA,"eucalyptus cladocalyx","Accepted","","F.Muell.","ANBG 652722","KT631592","EF488228","KT632778","KT632211"
"62","Eucalyptus clelandii","eucalyptus clelandii","eucalyptus clelandii","eucalyptus","clelandii",NA,"eucalyptus clelandii","Accepted","","(Maiden) Maiden","Currency Creek 333","KT631593","KT631020","KT632779","KT632212"
"63","Eucalyptus communalis","eucalyptus communalis","eucalyptus communalis","eucalyptus","communalis",NA,"eucalyptus communalis","Accepted","","Brooker & Hopper","Currency Creek 200","KT631598","KT631024","KT632784","KT632217"
"64","Eucalyptus cordata","eucalyptus cordata","eucalyptus cordata","eucalyptus","cordata",NA,"eucalyptus cordata","Accepted","","Labill.","ANBG 8804430","KT631608","KT631033","KT632794","KT632225"
"65","Eucalyptus cuspidata","eucalyptus cuspidata","eucalyptus cuspidata","eucalyptus","cuspidata",NA,"eucalyptus cuspidata","Synonym","Eucalyptus angulosa","Schauer","Currency Creek 3746","KT631623","","KT632808","KT632238"
"66","Eucalyptus decipiens subsp. decipens","eucalyptus decipiens subsp. decipens","eucalyptus decipiens","eucalyptus","decipiens","decipens","eucalyptus decipiens subsp. decipens","Accepted","","Endl.","Currency Creek 3700","KT631633","KT631052","KT632817","KT632246"
