"","TaxonoriginalDN","taxonsimplified_dn","Taxonsimplified_DN","Acceptedname_ALA","name","Note.Gbif","Taxonresolution_ALA","Collector","UniqueID","Provenance","Latitudedegrees","Latitudeminutes","Latitudeseconds","Longitudedegrees","Longitudeminutes","Longitudeseconds","Row","Tree","StatusFeb2016","Drought2019","Drought2020","Recovery2019.2020","Regrowth","RegrowthLocation","RegrowthAge","Regrowthdieback","Timesincedeath.June2019.","Drought2006","MaturityMar2020","Maturity.at.June.2019","Yearplanted","RowTree","Taxon","binomial","genus","species","subspecies","taxon.1","Status","Accepted.name","Authority","Collection.source","ETS.accession","ITS.accession","matK.accession","psbA.accession"
"1","Eucalyptus olivina","eucalyptus olivina","Eucalyptus olivina","Eucalyptus olivina","eucalyptus olivina","","Species ","D.Nicolle","319","Forrestania, WA",32,23,3,119,45,"2",20,30,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R020/T30","Eucalyptus olivina","eucalyptus olivina","eucalyptus","olivina",NA,"eucalyptus olivina","Accepted","","Brooker & Hopper","Currency Creek 3670","KT631852","KT631242","KT633022","KT632436"
"2","Eucalyptus viminalis subsp. hentyensis","eucalyptus viminalis subsp. hentyensis","Eucalyptus viminalis subsp. hentyensis","Eucalyptus viminalis subsp. hentyensis","eucalyptus viminalis subsp. hentyensis","","Subspecies","D.Nicolle","1969","Zeehan, Tas",42,2,33,145,16,"13",340,1,"Alive","Moderate","None evident","??","None evident","","","","","Not applicable","","",2017,"R340/T01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Eucalyptus socialis subsp. viridans
","eucalyptus socialis subsp. viridans","Eucalyptus socialis subsp. viridans","Eucalyptus socialis subsp. viridans","eucalyptus socialis subsp. viridans","","Subspecies","D.Nicolle","2879","Sherlock, SA",35,20,59,139,45,"20",205,9,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2002,"R205/T09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Corymbia polycarpa","corymbia polycarpa","Corymbia polycarpa","Corymbia polycarpa","corymbia polycarpa","","Species ","D.Nicolle","4197","Daly Waters, NT",16,15,3,133,23,"56",340,5,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2017,"R340/T05","Corymbia polycarpa","corymbia polycarpa","corymbia","polycarpa",NA,"corymbia polycarpa","Accepted","","(F.Muell.) K.D.Hill &","CANB 785478**","KT631476","AF390452","","KT632117"
"5","Eucalyptus cornuta ","eucalyptus cornuta","Eucalyptus cornuta","Eucalyptus cornuta","eucalyptus cornuta","","Species ","D.Nicolle","4608","Observatory Island, WA",33,55,23,121,47,"45",268,4,"Dead","","","","","","","","","","","",2004,"R268/T04","Eucalyptus cornuta","eucalyptus cornuta","eucalyptus","cornuta",NA,"eucalyptus cornuta","Accepted","","Labill.","Currency Creek 3748","","AF390496","","KT632226"
"6","Eucalyptus conferruminata subsp. recherche ","eucalyptus conferruminata subsp. recherche","Eucalyptus conferruminata subsp. recherche","Eucalyptus conferruminata subsp. recherche","eucalyptus conferruminata subsp. recherche","","Subspecies","D.Nicolle","4611","Woody Island, WA",33,58,1,122,0,"37",267,2,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2004,"R267/T02","Eucalyptus conferruminata subsp. recherche","eucalyptus conferruminata","eucalyptus","conferruminata","recherche","eucalyptus conferruminata subsp. recherche","Accepted","","D.J.Carr & S.G.M.Carr","Currency Creek 4588","KT631600","","KT632786","KT632219"
"7","Eucalyptus insulana","eucalyptus insulana","Eucalyptus insulana","Eucalyptus exserta","eucalyptus exserta","","Species ","D.Nicolle","5144","White Mountains, Qld",20,40,26,145,14,"27",302,1,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2010,"R302/T01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Eucalyptus sp. 'Southern wheatbelt' (aff. leptocalyx)","eucalyptus sp. southern wheatbelt","Eucalyptus sp. Southern wheatbelt","Eucalyptus leptocalyx","eucalyptus leptocalyx","","Species","D.Nicolle","5507","Lake Magenta, WA",33,35,37,119,23,"54",314,6,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2011,"R314/T06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Eucalyptus erythrocorys","eucalyptus erythrocorys","Eucalyptus erythrocorys","Eucalyptus erythrocorys","eucalyptus erythrocorys","","Species ","D.Nicolle","5570","Murchison House Station, WA",27,27,13,114,8,"21",319,19,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2011,"R319/T19","Eucalyptus erythrocorys","eucalyptus erythrocorys","eucalyptus","erythrocorys",NA,"eucalyptus erythrocorys","Accepted","","F.Muell.","ANBG 9806156","FJ654422","AF190365","KT632856","AF190382"
"10","Eucalyptus oligantha ","eucalyptus oligantha","Eucalyptus oligantha","Eucalyptus oligantha","eucalyptus oligantha","","Species ","D.Nicolle","5810","Walcott Inlet, WA",16,0,3,125,28,"33",311,24,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2011,"R311/T24","Eucalyptus oligantha","eucalyptus oligantha","eucalyptus","oligantha",NA,"eucalyptus oligantha","Accepted","","Schauer","CANB 785536**","KT631851","KT631241","KT633021",""
