Taxonsimplified_DN,Taxa_names_no_hyb,Binomial,binomial,UniqueID,Drought2020Scale.mean,AICorrected,AP,PDryQ,PrecDeficit,height_max_m,RowTree,Genus,Subgenus,Section,Series,Subseries,Species,Subspecies,Wooddensity.g.cm3..mean,Diamthickness.mm..mean,SLA_m2.kg.mean,d13C.mean,totalN.mean,Habit,Habit_num,RegenStrategysimplified,RegenStrategysimplified_num,LeafAreaEst_cm2,Aridclass,Aridclass_num,latitude,longitude
Eucalyptus calcareana,Eucalyptus calcareana,Eucalyptus calcareana,eucalyptus_calcareana,103,0,0.1232,263,42,-262.7867,8,R024/T25,Eucalyptus,Symphyomyrtus,Dumaria,Rufispermae,NA,calcareana,NA,NA,NA,NA,NA,NA,Tree,0,Lignotuber resprouter,2,13.16875,Arid,3,-31.76805556,132.1966667
Eucalyptus calcareana,Eucalyptus calcareana,Eucalyptus calcareana,eucalyptus_calcareana,103,0,0.1232,263,42,-262.7867,8,R024/T27,Eucalyptus,Symphyomyrtus,Dumaria,Rufispermae,NA,calcareana,NA,NA,NA,NA,NA,NA,Tree,0,Lignotuber resprouter,2,13.16875,Arid,3,-31.76805556,132.1966667
Eucalyptus calcareana,Eucalyptus calcareana,Eucalyptus calcareana,eucalyptus_calcareana,103,0,0.1232,263,42,-262.7867,8,R024/T28,Eucalyptus,Symphyomyrtus,Dumaria,Rufispermae,NA,calcareana,NA,NA,NA,NA,NA,NA,Tree,0,Lignotuber resprouter,2,13.16875,Arid,3,-31.76805556,132.1966667
Eucalyptus cladocalyx subsp. crassa,Eucalyptus cladocalyx subsp. crassa,Eucalyptus cladocalyx,eucalyptus_cladocalyx,1053,0.333333333,0.4428,673,58,-672.8481,45,R075/T10,Eucalyptus,Symphyomyrtus,Sejunctae,NA,NA,cladocalyx,crassa,NA,NA,NA,NA,NA,Tree,0,Stem resprouter,1,21.385,Semiarid,2,-35.97722222,136.8572222
Eucalyptus cladocalyx subsp. crassa,Eucalyptus cladocalyx subsp. crassa,Eucalyptus cladocalyx,eucalyptus_cladocalyx,1053,0.333333333,0.4428,673,58,-672.8481,45,R075/T12,Eucalyptus,Symphyomyrtus,Sejunctae,NA,NA,cladocalyx,crassa,NA,NA,NA,NA,NA,Tree,0,Stem resprouter,1,21.385,Semiarid,2,-35.97722222,136.8572222
Eucalyptus cladocalyx subsp. crassa,Eucalyptus cladocalyx subsp. crassa,Eucalyptus cladocalyx,eucalyptus_cladocalyx,1053,0.333333333,0.4428,673,58,-672.8481,45,R075/T13,Eucalyptus,Symphyomyrtus,Sejunctae,NA,NA,cladocalyx,crassa,NA,NA,NA,NA,NA,Tree,0,Stem resprouter,1,21.385,Semiarid,2,-35.97722222,136.8572222
Eucalyptus brachycalyx,Eucalyptus brachycalyx,Eucalyptus brachycalyx,eucalyptus_brachycalyx,1072,0,0.1255,277,37,-276.7795,10,R067/T29,Eucalyptus,Symphyomyrtus,Dumaria,Torquatae,NA,brachycalyx,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,7,Arid,3,-31.84166667,133.4572222
Eucalyptus brachycalyx,Eucalyptus brachycalyx,Eucalyptus brachycalyx,eucalyptus_brachycalyx,1072,0,0.1255,277,37,-276.7795,10,R067/T30,Eucalyptus,Symphyomyrtus,Dumaria,Torquatae,NA,brachycalyx,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,7,Arid,3,-31.84166667,133.4572222
Eucalyptus brachycalyx,Eucalyptus brachycalyx,Eucalyptus brachycalyx,eucalyptus_brachycalyx,1072,0,0.1255,277,37,-276.7795,10,R067/T31,Eucalyptus,Symphyomyrtus,Dumaria,Torquatae,NA,brachycalyx,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,7,Arid,3,-31.84166667,133.4572222
Eucalyptus calcareana,Eucalyptus calcareana,Eucalyptus calcareana,eucalyptus_calcareana,1074,0,0.1206,268,36,-267.7779,8,R067/T13,Eucalyptus,Symphyomyrtus,Dumaria,Rufispermae,NA,calcareana,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,13.16875,Arid,3,-31.80972222,133.445
