TaxonoriginalDN,Taxonsimplified_DN,DNname,Acceptedname_ALA,ALAname,Taxonresolution_ALA,Collector,UniqueID,Provenance,Latitudedegrees,Latitudeminutes,Latitudeseconds,Longitudedegrees,Longitudeminutes,Longitudeseconds,Row,Tree,StatusFeb2016,Drought2019,Drought2020,Recovery2019.2020,Regrowth,RegrowthLocation,RegrowthAge,Regrowthdieback,Timesincedeath.June2019.,Drought2006,MaturityMar2020,Maturity.at.June.2019,Yearplanted,original,name2.y,name3
Angophora costata subsp. costata,Angophora costata subsp. costata,angophora costata subsp. costata,Angophora costata subsp. costata,angophora costata subsp. costata,Subspecies,D.Nicolle,2073,"Glenbrook, NSW",33,47,57,150,35,49,158,12,Alive,Moderate,Moderate,?,None evident,,,,,Slight,Flowered,Flowered,1998,Angophora_costata_subsp_costata_LAN043,angophora_costata_subsp._costata,angophora_costata_subsp_costata
Angophora costata subsp. euryphylla,Angophora costata subsp. euryphylla,angophora costata subsp. euryphylla,Angophora costata subsp. euryphylla,angophora costata subsp. euryphylla,Subspecies,D.Nicolle,2082,"Broken Back Range, NSW",32,46,15,151,13,9,152,3,Alive,Moderate,Slight,?,None evident,,,,,Slight,Flowered,Flowered,1998,NA,NA,NA
Angophora floribunda,Angophora floribunda,angophora floribunda,Angophora floribunda,angophora floribunda,Species ,D.Nicolle,2551,"Roma, Qld",26,25,56,148,47,32,171,17,Alive,None evident,None evident,?,,,,,,None evident,,,1999,Angophora_floribunda_LAN107,angophora_floribunda,angophora_floribunda
Angophora hispida,Angophora hispida,angophora hispida,Angophora hispida,angophora hispida,Species ,D.Nicolle,6746,"St Ives, NSW",33,42,33,151,11,46,295,8,Alive,Moderate,None evident,??,None evident,,,,,Not applicable,,,2015,Angophora_hispida_LAN009,angophora_hispida,angophora_hispida
Angophora inopina,Angophora inopina,angophora inopina,Angophora inopina,angophora inopina,Species ,D.Nicolle,6258,"Wyee, NSW",33,11,13,151,29,30,279,5,Alive,None evident,None evident,?,,,,,,Not applicable,,,2013,Angophora_inopina_LAN025,angophora_inopina,angophora_inopina
Angophora leiocarpa,Angophora leiocarpa,angophora leiocarpa,Angophora leiocarpa,angophora leiocarpa,Species ,D.Nicolle,2103,"Karara, Qld",28,9,9,151,33,20,84,6,Alive,None evident,None evident,?,,,,,,None evident,,,1998,NA,NA,NA
Angophora melanoxylon,Angophora melanoxylon,angophora melanoxylon,Angophora melanoxylon,angophora melanoxylon,Species ,D.Nicolle,2552,"St George, Qld",27,57,46,148,41,14,173,1,Alive,None evident,None evident,?,,,,,,None evident,,,1999,Angophora_melanoxylon_509,angophora_melanoxylon,angophora_melanoxylon
Angophora subvelutina,Angophora subvelutina,angophora subvelutina,Angophora subvelutina,angophora subvelutina,Species ,D.Nicolle,3204,"Mulgoa, NSW",33,50,8,150,39,10,239,21,Alive,None evident,None evident,?,,,,,,None evident,,,2001,Angophora_subvelutina_LAN059,angophora_subvelutina,angophora_subvelutina
Corymbia abbreviata,Corymbia abbreviata,corymbia abbreviata,Corymbia abbreviata,corymbia abbreviata,Species ,D.Nicolle,1932,"Kununurra, WA",15,45,42,127,43,42,84,20,Dead,,,,,,,,,,,,1998,Corymbia_abbreviata_CANB_459002,corymbia_abbreviata,corymbia_abbreviata
Corymbia abergiana,Corymbia abergiana,corymbia abergiana,Corymbia abergiana,corymbia abergiana,Species ,D.Nicolle,1303,"Paluma, Qld",19,0,26,146,5,28,93,19,Dead,,,,,,,,,,,,1996,Corymbia_abergiana_633,corymbia_abergiana,corymbia_abergiana
