"","x"
"1","2552"
"2","2551"
"3","6258"
"4","3204"
"5","Ahisp_1"
"6","6746"
"7","2103"
"8","3206"
"9","2082"
"10","6796"
"11","2073"
"12","632"
"13","1752"
"14","2092"
"15","1259"
"16","721"
"17","1246"
"18","702"
"19","4215"
"20","2461"
"21","687"
"22","2505"
"23","1302"
"24","1277"
"25","2542"
"26","711"
"27","688"
"28","700"
"29","2547"
"30","2528"
"31","1262"
"32","1278"
"33","2752"
"34","7230"
"35","4218"
"36","2457"
"37","4204"
"38","2471"
"39","5733"
"40","537"
"41","1290"
"42","2507"
"43","2513"
"44","1318"
"45","2434"
"46","1196"
"47","4175"
"48","2449"
"49","2120"
"50","1306"
"51","2437"
"52","1198"
"53","1939"
"54","2479"
"55","1907"
"56","1928"
"57","2463"
"58","4192"
"59","1335"
"60","1922"
"61","1932"
"62","1912"
"63","1343"
"64","2476"
"65","2511"
"66","2464"
"67","708"
"68","1303"
"69","2543"
"70","1228"
"71","5128"
"72","2110"
"73","714"
"74","2084"
"75","684"
"76","5523"
"77","3761"
"78","1138"
"79","6707"
"80","3421"
"81","1160"
"82","229"
"83","1147"
"84","7227"
"85","5076"
"86","2213"
"87","2541"
"88","5141"
"89","2534"
"90","2502"
"91","2484"
"92","4288"
"93","4264"
"94","2695"
"95","4260"
"96","1190"
"97","2550"
"98","4197"
"99","1902"
"100","5806"
"101","4207"
"102","2474"
"103","2488"
"104","2530"
"105","5851"
"106","1940"
"107","2535"
"108","2504"
"109","2527"
"110","1185"
"111","2497"
"112","5112"
"113","701"
"114","1208"
"115","1708"
"116","1210"
"117","2439"
"118","5750"
"119","4267"
"120","542"
"121","2470"
"122","1906"
"123","1900"
"124","2443"
"125","1336"
"126","2466"
"127","5858"
"128","1929"
"129","1905"
"130","1915"
"131","2515"
"132","1319"
"133","1923"
"134","2108"
"135","1917"
"136","1918"
"137","1320"
"138","4228"
"139","4216"
"140","1926"
"141","4224"
"142","1903"
"143","2483"
"144","5143"
"145","2509"
"146","6455"
"147","2938"
"148","665"
"149","1282"
