all,genus,species,subspecies,provence,,,,,provence____,Taxa,name
Acmena_smithii,Acmena,smithii,,,,,,,____,Acmena smithii ,acmena smithii
Agonis_flexuosa,Agonis,flexuosa,,,,,,,____,Agonis flexuosa ,agonis flexuosa
Allosyncarpia_ternata_CANB_760015,Allosyncarpia,ternata,,CANB,760015,,,,CANB_760015___,Allosyncarpia ternata ,allosyncarpia ternata
Amomyrtus_luma,Amomyrtus,luma,,,,,,,____,Amomyrtus luma ,amomyrtus luma
Angophora_bakeri_subsp_bakeri_LAN103,Angophora,bakeri,bakeri,,,LAN103,,,__LAN103__,Angophora bakeri subsp. bakeri,angophora bakeri subsp. bakeri
Angophora_costata_subsp_costata_LAN043,Angophora,costata,costata,,,LAN043,,,__LAN043__,Angophora costata subsp. costata,angophora costata subsp. costata
Angophora_exul_573034,Angophora,exul,,573034,,,,,573034____,Angophora exul ,angophora exul
Angophora_floribunda_LAN107,Angophora,floribunda,,LAN107,,,,,LAN107____,Angophora floribunda ,angophora floribunda
Angophora_hispida_LAN009,Angophora,hispida,,LAN009,,,,,LAN009____,Angophora hispida ,angophora hispida
Angophora_inopina_LAN025,Angophora,inopina,,LAN025,,,,,LAN025____,Angophora inopina ,angophora inopina
Angophora_melanoxylon_509,Angophora,melanoxylon,,509,,,,,509____,Angophora melanoxylon ,angophora melanoxylon
Angophora_robur_LAN056,Angophora,robur,,LAN056,,,,,LAN056____,Angophora robur ,angophora robur
Angophora_subvelutina_LAN059,Angophora,subvelutina,,LAN059,,,,,LAN059____,Angophora subvelutina ,angophora subvelutina
Angophora_woodsiana_LAN058,Angophora,woodsiana,,LAN058,,,,,LAN058____,Angophora woodsiana ,angophora woodsiana
Arillastrum_gummiferum,Arillastrum,gummiferum,,,,,,,____,Arillastrum gummiferum ,arillastrum gummiferum
Cloezia_floribunda,Cloezia,floribunda,,,,,,,____,Cloezia floribunda ,cloezia floribunda
Corymbia_abbreviata_CANB_459002,Corymbia,abbreviata,,CANB,459002,,,,CANB_459002___,Corymbia abbreviata ,corymbia abbreviata
Corymbia_abergiana_633,Corymbia,abergiana,,633,,,,,633____,Corymbia abergiana ,corymbia abergiana
Corymbia_aparrerinja_MC_10615,Corymbia,aparrerinja,,MC,10615,,,,MC_10615___,Corymbia aparrerinja ,corymbia aparrerinja
Corymbia_arafurica_CANB_557707,Corymbia,arafurica,,CANB,557707,,,,CANB_557707___,Corymbia arafurica ,corymbia arafurica
Corymbia_arenaria_MC_10558,Corymbia,arenaria,,MC,10558,,,,MC_10558___,Corymbia arenaria ,corymbia arenaria
Corymbia_aspera_CANB_785505,Corymbia,aspera,,CANB,785505,,,,CANB_785505___,Corymbia aspera ,corymbia aspera
Corymbia_aureola_CANB_582839,Corymbia,aureola,,CANB,582839,,,,CANB_582839___,Corymbia aureola ,corymbia aureola
Corymbia_bella_MC_10518,Corymbia,bella,,MC,10518,,,,MC_10518___,Corymbia bella ,corymbia bella
Corymbia_blakei_CANB_582767,Corymbia,blakei,,CANB,582767,,,,CANB_582767___,Corymbia blakei ,corymbia blakei
Corymbia_bleeseri_MC_10516,Corymbia,bleeseri,,MC,10516,,,,MC_10516___,Corymbia bleeseri ,corymbia bleeseri
Corymbia_bloxsomei_238,Corymbia,bloxsomei,,238,,,,,238____,Corymbia bloxsomei ,corymbia bloxsomei
Corymbia_brachycarpa_Mt_Annan_891988,Corymbia,brachycarpa,,Mt,Ann,891988,,,Mt_Ann_891988__,Corymbia brachycarpa ,corymbia brachycarpa
Corymbia_bunites_229,Corymbia,bunites,,229,,,,,229____,Corymbia bunites ,corymbia bunites
Corymbia_cadophora_subsp_cadophora_MC_10577,Corymbia,cadophora,cadophora,,,MC,10577,,__MC_10577_,Corymbia cadophora subsp. cadophora,corymbia cadophora subsp. cadophora
Corymbia_calophylla_377,Corymbia,calophylla,,377,,,,,377____,Corymbia calophylla ,corymbia calophylla
Corymbia_candida_subsp_dispodes_454,Corymbia,candida,dispodes,,,454,,,__454__,Corymbia candida subsp. dispodes,corymbia candida subsp. dispodes
Corymbia_catenaria_240,Corymbia,catenaria,,240,,,,,240____,Corymbia catenaria ,corymbia catenaria
