"","TaxonoriginalDN","Taxonsimplified_DN","Acceptedname_ALA","name","Note.Gbif","Taxonresolution_ALA","Collector","UniqueID","Provenance","Latitudedegrees","Latitudeminutes","Latitudeseconds","Longitudedegrees","Longitudeminutes","Longitudeseconds","Row","Tree","StatusFeb2016","Drought2019","Drought2020","Recovery2019.2020","Regrowth","RegrowthLocation","RegrowthAge","Regrowthdieback","Timesincedeath.June2019.","Drought2006","MaturityMar2020","Maturity.at.June.2019","Yearplanted","RowTree","FieldID","DNNumber"
"1","Eucalyptus olivina","Eucalyptus olivina","Eucalyptus olivina","eucalyptus olivina","","Species ","D.Nicolle","319","Forrestania, WA",32,23,3,119,45,"2",20,30,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R020/T30","CCA0286",319
"2","Eucalyptus viminalis subsp. hentyensis","Eucalyptus viminalis subsp. hentyensis","Eucalyptus viminalis subsp. hentyensis","eucalyptus viminalis subsp. hentyensis","","Subspecies","D.Nicolle","1969","Zeehan, Tas",42,2,33,145,16,"13",340,1,"Alive","Moderate","None evident","??","None evident","","","","","Not applicable","","",2017,"R340/T01","CCA5897",6961
"3","Eucalyptus socialis subsp. viridans
","Eucalyptus socialis subsp. viridans","Eucalyptus socialis subsp. viridans","eucalyptus socialis subsp. viridans","","Subspecies","D.Nicolle","2879","Sherlock, SA",35,20,59,139,45,"20",205,9,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2002,"R063/T33","CCA1047",928
"4","Corymbia polycarpa","Corymbia polycarpa","Corymbia polycarpa","corymbia polycarpa","","Species ","D.Nicolle","4197","Daly Waters, NT",16,15,3,133,23,"56",340,5,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2017,"R340/T05","CCA5901",6961
"5","Eucalyptus cornuta ","Eucalyptus cornuta","Eucalyptus cornuta","eucalyptus cornuta","","Species ","D.Nicolle","4608","Observatory Island, WA",33,55,23,121,47,"45",268,4,"Dead","","","","","","","","","","","",2004,"R028/T16","CCA0460",173
"6","Eucalyptus conferruminata subsp. recherche ","Eucalyptus conferruminata subsp. recherche","Eucalyptus conferruminata subsp. recherche","eucalyptus conferruminata subsp. recherche","","Subspecies","D.Nicolle","4611","Woody Island, WA",33,58,1,122,0,"37",267,2,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2004,"R263/T13","CCA4987",4588
"7","Eucalyptus erythrocorys","Eucalyptus erythrocorys","Eucalyptus erythrocorys","eucalyptus erythrocorys","","Species ","D.Nicolle","5570","Murchison House Station, WA",27,27,13,114,8,"21",319,19,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2011,"R042/T20","CCA0581",265
"8","Eucalyptus oligantha ","Eucalyptus oligantha","Eucalyptus oligantha","eucalyptus oligantha","","Species ","D.Nicolle","5810","Walcott Inlet, WA",16,0,3,125,28,"33",311,24,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2011,"R138/T05","CCA2970",1919
"9","Eucalyptus rupestris","Eucalyptus rupestris","Eucalyptus rupestris","eucalyptus rupestris","","Species ","D.Nicolle","5812","Walcott Inlet, WA",16,1,3,125,19,"41",313,25,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2011,"R084/T13","CCA1433",1920
"10","Eucalyptus uncinata subsp. uncinata","Eucalyptus uncinata subsp. uncinata","Eucalyptus uncinata","eucalyptus uncinata","","Species ","D.Nicolle","5992","Culver Beach, WA",32,55,41,124,25,"10",291,14,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2013,"R291/T14","CCA5307",5922
