thornhill_bionomial_tip_match,drought.incidence
angophora costata,NA
angophora floribunda,0.666666667
angophora hispida,0
angophora inopina,0
angophora melanoxylon,0
angophora subvelutina,0.75
corymbia abbreviata,NA
corymbia abergiana,0
corymbia arenaria,0
corymbia aspera,0
corymbia aureola,0.5
corymbia bella,0
corymbia bleeseri,NA
corymbia bloxsomei,0.75
corymbia brachycarpa,0
corymbia bunites,1
corymbia cadophora,NA
corymbia calophylla,NA
corymbia chippendalei,NA
corymbia citriodora,NA
corymbia clarksoniana,NA
corymbia collina,NA
corymbia deserticola,NA
corymbia dichromophloia,NA
corymbia dimorpha,1
corymbia ellipsoidea,NA
corymbia eremaea,0.6
corymbia erythrophloia,NA
corymbia eximia,2
corymbia ferriticola,1
corymbia ferruginea,NA
corymbia ficifolia,NA
corymbia foelscheana,NA
corymbia grandifolia,NA
corymbia greeniana,NA
corymbia gummifera,2
corymbia haematoxylon,NA
corymbia hamersleyana,NA
corymbia hendersonii,1.333333333
corymbia henryi,0.5
corymbia intermedia,3
corymbia jacobsiana,0
corymbia latifolia,NA
corymbia leichhardtii,1
corymbia lenziana,0
corymbia leptoloma,0.75
corymbia ligans,NA
corymbia maculata,1
corymbia nesophila,NA
corymbia novoguinensis,NA
corymbia opaca,NA
corymbia pachycarpa,NA
corymbia papillosa,NA
corymbia peltata,0
corymbia petalophylla,0
corymbia plena,0
corymbia polycarpa,NA
corymbia polysciada,NA
corymbia porrecta,NA
corymbia ptychocarpa,NA
corymbia rhodops,0
corymbia scabrida,1
corymbia setosa,0
corymbia stockeri,NA
corymbia terminalis,NA
corymbia trachyphloia,0.588235294
corymbia watsoniana,0.714285714
corymbia xanthope,0
corymbia zygophylla,NA
eucalyptus abdita,0
eucalyptus absita,1
eucalyptus acaciiformis,NA
eucalyptus accedens,0.25
eucalyptus acies,1
eucalyptus acmenoides,1.222222222
eucalyptus aequioperta,0
eucalyptus agglomerata,NA
eucalyptus aggregata,1.2
eucalyptus alba,NA
eucalyptus albens,0.5
eucalyptus albida,NA
eucalyptus albopurpurea,0.357142857
eucalyptus alipes,0
eucalyptus alligatrix,2.777777778
eucalyptus amplifolia,1.166666667
eucalyptus amygdalina,NA
eucalyptus ancophila,0.75
eucalyptus andrewsii,2.2
eucalyptus angophoroides,1.333333333
eucalyptus angulosa,0.12
eucalyptus angustissima,0.125
eucalyptus annulata,0.5
eucalyptus apiculata,NA
eucalyptus apodophylla,0
eucalyptus apothalassica,1
eucalyptus approximans,NA
eucalyptus aquilina,NA
eucalyptus arachnaeae,0.125
eucalyptus arborella,NA
eucalyptus arenacea,0.333333333
eucalyptus argillacea,0
eucalyptus argophloia,0
eucalyptus argutifolia,NA
eucalyptus aromaphloia,NA
eucalyptus articulata,0
eucalyptus aspersa,NA
eucalyptus aspratilis,0.166666667
eucalyptus assimilans,0
eucalyptus astringens,0
eucalyptus atrata,0.25
eucalyptus badjensis,1.333333333
eucalyptus baeuerlenii,NA
eucalyptus baileyana,NA
eucalyptus baiophylla,0
eucalyptus bakeri,0
eucalyptus balanites,NA
eucalyptus balanopelex,0
eucalyptus balladoniensis,0
eucalyptus barberi,1.833333333
eucalyptus baueriana,0.636363636
eucalyptus baxteri,NA
eucalyptus beaniana,0.25
eucalyptus beardiana,0
eucalyptus behriana,0.333333333
eucalyptus bensonii,NA
eucalyptus benthamii,2.666666667
eucalyptus beyeriana,0
eucalyptus blakelyi,0.090909091
eucalyptus blaxellii,0
eucalyptus blaxlandii,NA
eucalyptus boliviana,0.25
eucalyptus bosistoana,0.75
eucalyptus botryoides,2
eucalyptus brachyandra,NA
eucalyptus brachycalyx,0
eucalyptus brachyphylla,0
eucalyptus brassiana,2
eucalyptus brevifolia,NA
eucalyptus brevipes,0
eucalyptus brevistylis,2.333333333
eucalyptus bridgesiana,1.066666667
eucalyptus brockwayi,0
eucalyptus brookeriana,NA
eucalyptus brunnea,2.8
eucalyptus buprestium,NA
eucalyptus burdettiana,0
eucalyptus burgessiana,NA
eucalyptus burracoppinensis,0
eucalyptus cadens,2
eucalyptus caesia,NA
eucalyptus calcareana,0
eucalyptus calcicola,NA
eucalyptus caleyi,0
eucalyptus caliginosa,1.142857143
eucalyptus calycogona,NA
eucalyptus camaldulensis,0.662337662
eucalyptus campaspe,NA
eucalyptus camphora,2.318181818
eucalyptus canaliculata,2
eucalyptus canescens,0
eucalyptus canobolensis,3.2
eucalyptus capillosa,NA
eucalyptus capitellata,1.142857143
eucalyptus captiosa,1
eucalyptus carnea,NA
eucalyptus carnei,0
eucalyptus castrensis,1
eucalyptus celastroides,0
eucalyptus cephalocarpa,2
eucalyptus ceracea,NA
eucalyptus cerasiformis,0
eucalyptus ceratocorys,0
eucalyptus cernua,0.2
eucalyptus chartaboma,NA
eucalyptus chlorophylla,0
eucalyptus cinerea,1.818181818
eucalyptus cladocalyx,0.090909091
eucalyptus clelandii,0
eucalyptus clivicola,0.5
eucalyptus cloeziana,1
eucalyptus cneorifolia,1.333333333
eucalyptus coccifera,NA
eucalyptus comitae-vallis,0
eucalyptus concinna,0
eucalyptus conferruminata,NA
eucalyptus confluens,0
eucalyptus conglobata,0.043478261
eucalyptus conglomerata,NA
eucalyptus conica,1
eucalyptus consideniana,3
eucalyptus conspicua,2.25
eucalyptus conveniens,0
eucalyptus coolabah,0
eucalyptus cooperiana,0.166666667
eucalyptus cordata,1.75
eucalyptus cornuta,NA
eucalyptus coronata,1.666666667
eucalyptus corrugata,0
eucalyptus corticosa,NA
eucalyptus cosmophylla,NA
eucalyptus crebra,0.264705882
eucalyptus crenulata,NA
eucalyptus creta,0
eucalyptus cretata,0
eucalyptus croajingolensis,4
eucalyptus crucis,0.2
eucalyptus cunninghamii,NA
eucalyptus cuprea,0
eucalyptus cupularis,0
eucalyptus curtisii,1
eucalyptus cyanophylla,0
eucalyptus cyclostoma,0
eucalyptus cylindriflora,0
eucalyptus cylindrocarpa,0
eucalyptus cypellocarpa,1.705882353
eucalyptus dalrympleana,NA
eucalyptus dawsonii,0.25
eucalyptus dealbata,0.333333333
eucalyptus deanei,3
eucalyptus decipiens,2.166666667
eucalyptus decolor,0.75
eucalyptus decorticans,1
eucalyptus decurva,NA
eucalyptus deflexa,0
eucalyptus deglupta,NA
eucalyptus delegatensis,NA
eucalyptus delicata,0
eucalyptus densa,0
eucalyptus denticulata,3
eucalyptus depauperata,0
eucalyptus desmondensis,0
eucalyptus deuaensis,1
eucalyptus dielsii,0
eucalyptus diminuta,0
eucalyptus diptera,0
eucalyptus disclusa,2
eucalyptus discreta,0.1
eucalyptus dissimulata,0
eucalyptus distans,0
eucalyptus distuberosa,0
eucalyptus diversicolor,3
eucalyptus diversifolia,0.090909091
eucalyptus dives,NA
eucalyptus dolichocera,0
eucalyptus dolichorhyncha,0
eucalyptus drummondii,1.090909091
eucalyptus dumosa,0
eucalyptus dundasii,0
eucalyptus dunnii,4
eucalyptus dura,0.444444444
eucalyptus dwyeri,0.125
eucalyptus ebbanoensis,0
eucalyptus educta,NA
eucalyptus effusa,0
eucalyptus elaeophloia,NA
eucalyptus elata,NA
eucalyptus elliptica,NA
eucalyptus erectifolia,NA
eucalyptus eremicola,0
eucalyptus eremophila,NA
