name.in.euclid,classification.name,in CCA,
corymbia arafurica,not in cca,n,
corymbia arenaria,not in cca,n,
corymbia aspera,not in cca,n,
corymbia blakei,not in cca,n,
corymbia citriodora,in cca,y,
corymbia clavigera,not in cca,n,
corymbia confertiflora,not in cca,n,
corymbia dallachiana,not in cca,n,
corymbia dendromerinx,not in cca,n,
corymbia disjuncta,not in cca,n,
corymbia dunlopiana,not in cca,n,
corymbia eremaea,"subsp. oligocarpa, subsp. eremaea",y,
corymbia flavescens,not in cca,n,
corymbia gilbertensis,not in cca,n,
corymbia grandifolia subsp. grandifolia,not in cca,n,
corymbia grandifolia subsp. longa,"not in cca, is it subsp. longior? longa is in classification but not longior",n,
corymbia greeniana,corymbia dampieri or corymbia dampiere (c. greeniana) in cca,y,
corymbia henryi,corymbia maculata or corymbia maculata (c. henryi) in cca,y,
corymbia hylandii,not in cca,n,
corymbia kombolgiensis,not in cca,n,
corymbia lamprophylla,corymbia stockeri subsp. stockeri (c. lamprophylla) in cca,y,
corymbia papuana,not in cca,n,
corymbia pauciseta,not in cca,n,
corymbia setosa,corymbia setosa subsp. sestosa in cca,y,
corymbia torta,not in cca,n,
corymbia trachyphloia,"split in subsp. trachyphloia, subsp. amphistomatica in classification, both in cca",y,
angophora bakeri subsp. bakeri,is this angophora bakeri in classification?,n,
angophora bakeri subsp. crassifolia,angophora crassifolia,n,
angophora costata subsp. leiocarpa,angophora leiocarpa in cca and classification,y,
angophora robur,not in cca,n,
angophora woodsiana,not in cca,n,
eucalyptus abdita,eucalyptus x abdita,y,
eucalyptus acroleuca,not in cca,n,
eucalyptus alligatrix subsp. limaensis,eucalyptus alligatrix subsp. alligatrix or eucalyptus alligatrix subsp. alligatrix (subsp. limaensis) in cca,y,
eucalyptus andrewsii subsp. andrewsii,eucalyptus andrewsii,y,
eucalyptus andrewsii subsp. campanulata,eucalyptus campanulata,y,
eucalyptus angularis,eucalyptus x angularis,y,
eucalyptus annuliformis,eucalyptus drummondii,y,
eucalyptus approximans subsp. approximans,eucalyptus approximans,y,
eucalyptus approximans subsp. codonocarpa,eucalyptus codonocarpa,y,
eucalyptus aromaphloia subsp. aromaphloia,eucalyptus aromaphloia,y,
eucalyptus aromaphloia subsp. sabulosa,eucalyptus sabulosa,y,
eucalyptus brachyphylla,eucalyptus x brachyphylla,y,
eucalyptus burgessiana,"eucalyptus obtans (e. burgessiana) in cca, springwood samples",y,
eucalyptus caesia subsp. caesia,eucalyptus caesia subsp. caesia,y,check why this one is not a match
eucalyptus calyerup,eucalyptus x calyerup,y,
eucalyptus capillosa subsp. capillosa,,,
eucalyptus capillosa subsp. polyclada,eucalyptus capillosa,y,
eucalyptus carnabyi,eucalyptus x carnabyi,y,
eucalyptus celastroides subsp. celastroides,eucalyptus celastroides,y,
eucalyptus celastroides subsp. virella,eucalyptus virella,y,
eucalyptus cladocalyx,"split in subsp. cladocalyx, subsp. crassa and subsp. petila in cca",y,check flora in articles and euclid species page
eucalyptus comitaevallis,eucalyptus comitae-vallis,y,put back hyphen
eucalyptus communalis,eucalyptus x communalis,y,
eucalyptus conglobata subsp. perata,not in cca,n,
eucalyptus conspicua subsp. conspicua,"not sure if this is e. conspicua, if yes, then present in cca",y,
eucalyptus conspicua subsp. dispar,eucalyptus conspicua,y,
eucalyptus crebra,eucalyptus crebra,y,check why this one is not a match
eucalyptus crispata,eucalyptus x crispata,y,
eucalyptus densa subsp. densa,eucalyptus densa,y,
eucalyptus densa subsp. improcera,eucalyptus improcera,y,
eucalyptus depauperata,eucalyptus tenera,y,
eucalyptus discreta,eucalyptus discreta,y,check why this one is not a match
eucalyptus dolorosa,not in cca,n,
eucalyptus dorrienii,eucalyptus dorrienii,y,check why this one is not a match
eucalyptus effusa,"subsp. exsul, subsp. effusa",y,compile flora from exsul and effusa or split data between the two from additional info in euclid and original article
eucalyptus erectifolia,eucalyptus x erectifolia,y,
eucalyptus erythrandra,eucalyptus x erythrandra,y,put back the cross for hybrids in euclid
eucalyptus eudesmioides subsp. eudesmioides,eucalyptus eudesmioides in cca ?,y,
eucalyptus eudesmioides subsp. pallida,eucalyptus pallida in cca ?,y,
eucalyptus famelica,eucalyptus litorea,y,compile flora from litorea and famelica for species or split in two subsp.
eucalyptus fibrosa subsp. fibrosa,eucalyptus fibrosa,y,
eucalyptus fibrosa subsp. nubilis,eucalyptus nubilis,y,
eucalyptus foecunda,eucalyptus foecunda,y,combination of both subspecies
eucalyptus formanii,eucalyptus formanii,y,go to article
eucalyptus globulus subsp. bicostata,eucalyptus bicostata,y,
eucalyptus globulus subsp. globulus,eucalyptus globulus,y,
eucalyptus globulus subsp. maidenii,eucalyptus maidenii,y,
eucalyptus globulus subsp. pseudoglobulus,eucalyptus pseudoglobulus,y,
