name.in.euclid,classification.name
corymbia arafurica,
corymbia arenaria,
corymbia aspera,
corymbia blakei,
corymbia citriodora,
corymbia clavigera,
corymbia confertiflora,
corymbia dallachiana,
corymbia dendromerinx,
corymbia disjuncta,
corymbia dunlopiana,
corymbia eremaea,"subsp. oligocarpa, subsp. eremaea"
corymbia flavescens,
corymbia gilbertensis,
corymbia grandifolia subsp. grandifolia,
corymbia grandifolia subsp. longa,
corymbia greeniana,corymbia dampieri
corymbia henryi,corymbia maculata
corymbia hylandii,
corymbia kombolgiensis,
corymbia lamprophylla,corymbia stockeri subsp. stockeri
corymbia papuana,
corymbia pauciseta,
corymbia setosa,"subsp. pedicellaris, subsp. sestosa"
corymbia torta,
corymbia trachyphloia,"subsp. trachyphloia, subsp. amphistomatica"
angophora bakeri subsp. bakeri,
angophora bakeri subsp. crassifolia,angophora crassifolia
angophora costata subsp. leiocarpa,angophora leiocarpa
angophora robur,
angophora woodsiana,
eucalyptus abdita,eucalyptus x abdita
eucalyptus acroleuca,
eucalyptus alligatrix subsp. limaensis,eucalyptus alligatrix subsp. alligatrix
eucalyptus andrewsii subsp. andrewsii,eucalyptus andrewsii
eucalyptus andrewsii subsp. campanulata,eucalyptus campanulata
eucalyptus angularis,eucalyptus x angularis
eucalyptus annuliformis,eucalyptus drummondii
eucalyptus approximans subsp. approximans,eucalyptus approximans
eucalyptus approximans subsp. codonocarpa,eucalyptus codonocarpa
eucalyptus aromaphloia subsp. aromaphloia,eucalyptus aromaphloia
eucalyptus aromaphloia subsp. sabulosa,eucalyptus sabulosa
eucalyptus brachyphylla,eucalyptus x brachyphylla
eucalyptus burgessiana,
eucalyptus caesia subsp. caesia,
eucalyptus calyerup,eucalyptus x calyerup
eucalyptus capillosa subsp. capillosa,
eucalyptus capillosa subsp. polyclada,eucalyptus capillosa
eucalyptus carnabyi,eucalyptus x carnabyi
eucalyptus celastroides subsp. celastroides,eucalyptus celastroides
eucalyptus celastroides subsp. virella,eucalyptus virella
eucalyptus cladocalyx,NA
eucalyptus comitaevallis,eucalyptus comitae-vallis
eucalyptus communalis,eucalyptus x communalis
eucalyptus conglobata subsp. perata,
eucalyptus conspicua subsp. conspicua,NA
eucalyptus conspicua subsp. dispar,eucalyptus conspicua
eucalyptus crebra,
eucalyptus crispata,eucalyptus x crispata
eucalyptus densa subsp. densa,eucalyptus densa
eucalyptus densa subsp. improcera,eucalyptus improcera
eucalyptus depauperata,eucalyptus tenera
eucalyptus discreta,
eucalyptus dolorosa,
eucalyptus dorrienii,
eucalyptus effusa,"subsp. exsul, subsp. effusa"
eucalyptus erectifolia,eucalyptus x erectifolia
eucalyptus erythrandra,eucalyptus x erythrandra
eucalyptus eudesmioides subsp. eudesmioides,NA
eucalyptus eudesmioides subsp. pallida,NA
eucalyptus famelica,eucalyptus litorea
eucalyptus fibrosa subsp. fibrosa,eucalyptus fibrosa
eucalyptus fibrosa subsp. nubilis,eucalyptus nubilis
eucalyptus foecunda,eucalyptus foecunda subsp. foecunda
eucalyptus formanii,eucalyptus formanii subsp. formanii
eucalyptus globulus subsp. bicostata,eucalyptus bicostata
eucalyptus globulus subsp. globulus,eucalyptus globulus
eucalyptus globulus subsp. maidenii,eucalyptus maidenii
eucalyptus globulus subsp. pseudoglobulus,eucalyptus pseudoglobulus
eucalyptus lockyeri subsp. exuta,eucalyptus insulana
eucalyptus gracilis,
eucalyptus lockyeri subsp. lockyeri,eucalyptus lockyeri
eucalyptus gunnii,"subsp. divaricata, subsp. gunnii"
eucalyptus horistes,eucalyptus horistes subsp. horistes
eucalyptus hypostomatica,eucalyptus rudderi
eucalyptus ignorabilis,eucalyptus corticosa
eucalyptus imlayensis,
eucalyptus impensa,eucalyptus x impensa
eucalyptus insularis,"subsp. insularis, subsp. continentalis"
eucalyptus kenneallyi,
eucalyptus kingsmillii subsp. alatissima,eucalyptus alatissima
eucalyptus kingsmillii subsp. kingsmillii,eucalyptus kingsmillii
eucalyptus kondininensis subsp. tuberosa,eucalyptus kondininensis
eucalyptus lateritica,eucalyptus x lateritica
eucalyptus leprophloia,eucalyptus x leprophloia
eucalyptus leptocalyx,"subsp. petilipes, subsp. leptocalyx"
eucalyptus leptophylla,
eucalyptus leptopoda subsp. arctata,eucalyptus arctata
eucalyptus limitaris,eucalyptus leucophylla
eucalyptus litoralis,
eucalyptus luteola,eucalyptus histophylla
eucalyptus mannifera subsp. mannifera,
eucalyptus mannifera subsp. praecox,eucalyptus lactea
